Ctrl_602_R1B1	LMP_602_R1B1	Ola_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000113387.12|SUB1	4179	3779	4473	4401	4243	4208	3832	3897
ENSG00000113391.19|FAM172A	509	445	623	432	526	406	482	408
ENSG00000113407.13|TARS	2984	2872	3308	3130	3166	3283	3023	3232
ENSG00000113441.16|LNPEP	936.24	1108.84	1310	1313.71	1235.1	1269.51	1065.57	1428.81
ENSG00000113448.19|PDE4D	36	38	49	30	28	30	26	28
ENSG00000113456.19|RAD1	763.79	871.13	856.95	1022.09	773.05	940.58	826.22	1053.45
ENSG00000113460.12|BRIX1	1042.21	1041.87	1168.05	1203.91	1108.95	1167.42	1041.78	1154.55
ENSG00000113504.21|SLC12A7	623	731	729	776	629	704	698	643
ENSG00000113522.14|RAD50	689.15	606.39	817.57	872	789.18	845.45	756.15	803.09
ENSG00000113532.13|ST8SIA4	72	65	98	79	116	88	103	113
ENSG00000113552.16|GNPDA1	1001	1067	1234	1321	1061	1044	1020	984
ENSG00000113555.5|PCDH12	37	37	38	32	25	40	23	32
ENSG00000113558.18|SKP1	3447.98	3495.84	3957.91	3597.8	3804.74	3474.35	3342.79	3478.94
ENSG00000113569.16|NUP155	2010	2247	2524	2684	2160	2283	2117	2450
ENSG00000113575.10|PPP2CA	1729.9	1808.8	2062.73	1949.95	1963.49	2028.62	1924.08	1948.88
ENSG00000113578.18|FGF1	185	205	168	165	133	139	143	144
ENSG00000113580.15|NR3C1	407	464	527	527	496	487	484	565
ENSG00000113583.8|C5orf15	766	807	873.99	879	959	860	794	888
ENSG00000113593.12|PPWD1	712	768	833	913	826	931	744	898
ENSG00000113594.10|LIFR	920	1133.55	1274.07	1065.25	1014.92	904.08	748	791.8
ENSG00000113595.15|TRIM23	466	557	594	639	605	698	557	714
ENSG00000113597.18|TRAPPC13	623.66	732.01	769.27	755.32	752.24	817.44	672.37	769.66
ENSG00000113615.13|SEC24A	512.55	541.53	665.11	564	654.67	608.06	561.91	622
ENSG00000113621.14|TXNDC15	620	617	704	725	732	695	655	670
ENSG00000113638.14|TTC33	290	281	324	338	332	363	280	335
ENSG00000113643.9|RARS	813	788	909	868	958	878	836	916
ENSG00000113648.16|H2AFY	3346.49	3488.65	3570.91	3868.89	3256.56	3770.6	3104.37	3629.23
ENSG00000113649.11|TCERG1	1335	1532	1574	1689	1505	1622	1305	1537
ENSG00000113657.13|DPYSL3	1758	1800	1971	1913	1805	1966	1758	1921
ENSG00000113658.18|SMAD5	945	1141	1126	1202	1113	1059	989.38	1202
ENSG00000113712.17|CSNK1A1	2695.06	2712.75	3127.1	2890.2	3073.45	2883.57	2910	2892.22
ENSG00000113716.13|HMGXB3	1054	1039	1166.05	1202	923	1210	983.27	1106
ENSG00000113719.16|ERGIC1	3030	2691	3244	2842	2692	2836	2639	2560
ENSG00000113721.14|PDGFRB	144	141	187	123	146	175	200	179
ENSG00000113732.9|ATP6V0E1	457	455	532	503	512	503	493	477
ENSG00000113734.17|BNIP1	151	184	195	176	206	175	170	161
ENSG00000113742.13|CPEB4	307	280	349	326	289	296	287	320
ENSG00000113749.7|HRH2	738	765	876	809	679	796	717	807
ENSG00000113758.13|DBN1	2946	3251	3465	3482	2686	3394	2914	2829
ENSG00000113761.12|ZNF346	257	280	301	314	286	286	258	313
ENSG00000113763.12|UNC5A	7	6	10	9	2	13	1	3
ENSG00000113790.11|EHHADH	546	557	635	593	576	602	550	632
ENSG00000113810.16|SMC4	5958.14	6826.17	7482.61	8033.07	6673.78	7339.88	6180.85	7641.66
ENSG00000113811.11|SELENOK	336	367	387	420	434	388	395	422
ENSG00000113812.14|ACTR8	449	463	521	506	483	529	460	504
ENSG00000113838.13|TBCCD1	381.1	408.87	488	444.88	451	468.86	459.45	461.94
ENSG00000113845.9|TIMMDC1	839	785	823	801	824	843	761	818
ENSG00000113851.14|CRBN	578.21	621.66	742.4	684.18	679.1	644.03	585.33	584.73
ENSG00000113916.18|BCL6	1296	1300	1467.05	1328	1646.98	1850	1667.97	1684
ENSG00000113966.10|ARL6	85	130	126	118	117	131	128	124
ENSG00000113971.20|NPHP3	505.99	542.41	584.79	556.74	616.23	675.3	525.06	611.39
ENSG00000114019.14|AMOTL2	369	323	410	309	317	308	283	268
ENSG00000114021.12|NIT2	540	539	563	599	581	595	510	552
ENSG00000114023.15|FAM162A	254	314	319	324	331	281	265	305
ENSG00000114026.21|OGG1	741.44	793.62	813.27	888.61	783.78	898.51	738.57	855.62
ENSG00000114030.13|KPNA1	1468.66	1430.13	1619.14	1527.29	1563.49	1499.7	1313.84	1419.74
ENSG00000114054.14|PCCB	1039.57	1084.58	1271.81	1167.62	1111.25	1084.79	1036.64	960.2
ENSG00000114062.19|UBE3A	2407	2607	3136	2827	2982	2867	2518.99	2732.99
ENSG00000114098.17|ARMC8	918	890	1068	991	1026	930	965	1006
ENSG00000114107.9|CEP70	376	436	488	416	397	431	366	405
ENSG00000114120.12|SLC25A36	1143	1395	1481	1499	1370	1551	1163	1494
ENSG00000114125.14|RNF7	672	700.59	786	709	743	729	711	706
ENSG00000114126.17|TFDP2	1713	1915	1970	2211	1513	1748	1442	1728
ENSG00000114127.10|XRN1	485	560	682	616	541	665	543	637
ENSG00000114166.8|KAT2B	846	934	1144	951	1170	1103	1106	1122
ENSG00000114200.10|BCHE	2660	2522	2944	2521	3154	2908	2831	2772
ENSG00000114204.14|SERPINI2	5	11	3	7	13	9	5	8
ENSG00000114209.15|PDCD10	558	563	609	643	655	695	590	651
ENSG00000114251.14|WNT5A	94	128	145	146	115	113	111	120
ENSG00000114268.12|PFKFB4	135	108	122.69	137.41	123	128	115.85	134
ENSG00000114270.17|COL7A1	227	211	238	218	179	239	170	200
ENSG00000114279.13|FGF12	70	57	75	89	53	68	56	45
ENSG00000114302.16|PRKAR2A	829	860.99	951	944	786	999.99	780	842
ENSG00000114315.4|HES1	243	205	282	193	257	241	279	192
ENSG00000114316.12|USP4	566	578	678	640	654	673	646	666
ENSG00000114331.14|ACAP2	874	1062	1171	1169	1165	1102	989	1262
ENSG00000114346.13|ECT2	2143	2608	2674	2908	2369	2546	2313	2651
ENSG00000114353.17|GNAI2	2392	2423	2672	2594	2353	2777	2525	2490
ENSG00000114354.14|TFG	1668	1618	1862	1740	1787	1796	1653	1786
ENSG00000114383.10|TUSC2	330	308	344	314	296	328	306	341
ENSG00000114388.12|NPRL2	281.92	256.99	280.62	348.72	366.74	335.76	313.77	305.48
ENSG00000114391.13|RPL24	4406.99	4005	4342.98	4110.99	3983	4158	3825	3761.99
ENSG00000114395.10|CYB561D2	97.74	89.23	115.08	107.6	84.83	96.26	82.84	112.77
ENSG00000114416.18|FXR1	1820	1951	2210	2138	2097	2125	1867	2037
ENSG00000114423.21|CBLB	510	463	621	475	470	414	429	384
ENSG00000114439.19|BBX	1628	1582	1930	1685	1905	1626	1618	1608
ENSG00000114446.5|IFT57	566	532	662	663	627	608	596	625
ENSG00000114450.10|GNB4	1540.79	1727.28	1918.75	1952.82	2007.66	1924.78	1772.98	2067.59
ENSG00000114473.14|IQCG	157	184	202	224	231	235	193	230
ENSG00000114480.13|GBE1	722	653	797	661	861	673	797	750
ENSG00000114491.14|UMPS	871	901	940	1048	889	1072	914	1070
ENSG00000114503.11|NCBP2	1945.86	1922.48	2132	2032.89	2116.5	2109.82	1838.51	1941
ENSG00000114520.11|SNX4	1109	1158	1284	1244	1251	1264	1105	1307
ENSG00000114529.12|C3orf52	138	169	150	190	148	150	134	165
ENSG00000114541.15|FRMD4B	16	20	21	23	23	16	16	22
ENSG00000114544.16|SLC41A3	482	483	579	473	473	481	491	443
ENSG00000114554.11|PLXNA1	1543	1767	1927	1784	1388	1817	1712	1404
ENSG00000114573.10|ATP6V1A	1529	1614	1823	1850	1655	1700	1564	1773
ENSG00000114626.18|ABTB1	213	227	247	271	202	245	210	216
ENSG00000114631.11|PODXL2	1836	1799	1927	1816	1450	1679	1569	1461
ENSG00000114646.10|CSPG5	1582	1302	1672	1491	1493	1412	1358	1318
ENSG00000114648.12|KLHL18	269.89	297	349.71	377	292.72	400.87	351	334
ENSG00000114650.20|SCAP	1006	1002	1037	1006	820	960	857	869
ENSG00000114654.7|EFCC1	14	14	11	11	13	9	12	10
ENSG00000114656.11|KIAA1257	32.04	24.09	29.19	38.01	19	16.04	27.05	35
ENSG00000114670.14|NEK11	33	28	22	21	32.82	32	41	27
ENSG00000114686.9|MRPL3	1423	1370	1648	1524	1460	1513	1423	1414
ENSG00000114698.15|PLSCR4	123	146	115	132	136	148	120	157
ENSG00000114735.9|HEMK1	506	593	616	595	524	611	549	523
ENSG00000114737.15|CISH	25	36	18	33	28	23	23	22
ENSG00000114738.11|MAPKAPK3	467	476	475	510	386	449	364	414
ENSG00000114739.14|ACVR2B	357	383	496	451	370	417	383	384
ENSG00000114742.14|WDR48	695	698	798	797	772	783	651	742
ENSG00000114744.9|COMMD2	3184	3186	3924	3575	3909	3518	3622	3846
ENSG00000114745.13|GORASP1	730	767	759	933	688	801	714.14	735.2
ENSG00000114767.7|RRP9	471	391	391	418	311	429	345	409
ENSG00000114770.17|ABCC5	954	1111	1215	1085	1052	1220	1021	1105
ENSG00000114779.19|ABHD14B	170	142	194	195	153	154	170	145
ENSG00000114784.4|EIF1B	437	394	448	509	418	452	388	411
ENSG00000114786.16|ABHD14A-ACY1	52.49	19.13	48.5	22.04	63.53	56.19	48.1	41.34
ENSG00000114790.13|ARHGEF26	209	201	224	221	183	154	165	203
ENSG00000114796.16|KLHL24	706	905	940	931	825	773	704	832
ENSG00000114805.17|PLCH1	248	303	313	402	306	371	247	363
ENSG00000114812.13|VIPR1	163.43	117.06	197.56	172.65	221.61	224.57	231.39	217.05
ENSG00000114841.17|DNAH1	113	131	114	102	101	100	121	86
ENSG00000114850.6|SSR3	1453	1530	1786	1752	1686	1715	1614	1753
ENSG00000114853.14|ZBTB47	363	374	372	369	289	336	312	335
ENSG00000114857.18|NKTR	1560	1766	2008	1725	1916	1930	1654	1961
ENSG00000114859.16|CLCN2	231	263.87	280.08	277	228	267.61	256	250.47
ENSG00000114861.20|FOXP1	391	378	514	509	416	475	383	464
ENSG00000114867.20|EIF4G1	9097	9278	10037	10091	8597	10304	8305	9337
ENSG00000114902.14|SPCS1	612.22	600.85	733.75	744.02	690	719.43	591.07	682.53
ENSG00000114904.13|NEK4	541.78	605.15	650.25	632.98	616	737.57	622.93	701.47
ENSG00000114923.17|SLC4A3	1150	1409	1378	1435	1283	1610	1522	1491
ENSG00000114933.16|INO80D	295.33	346.47	413.02	360.3	372.21	409.24	352.58	410.35
ENSG00000114942.14|EEF1B2	4229.98	3986.99	4377.36	4530.3	4042.07	4398.24	3890.15	4310.02
ENSG00000114948.13|ADAM23	489	466	589	482	587	550	539	489
ENSG00000114956.20|DGUOK	661	620	659	642	653	613	660	601
ENSG00000114978.18|MOB1A	1401	1524	1701	1774	1576	1640	1402	1750
ENSG00000114982.18|KANSL3	1286	1326	1478	1475	1231	1387	1147	1368
ENSG00000114988.11|LMAN2L	811	817	949	894	900	1052	884	991
ENSG00000114993.16|RTKN	1253	1157	1322	1118	1150	1179	1192	1062
ENSG00000114999.8|TTL	1840	2063	2244	2462	1995	2374	1888	2281
ENSG00000115020.17|PIKFYVE	1301	1483	1759	1566	1582	1602	1454	1569
ENSG00000115041.13|KCNIP3	4	13	10	12	4	13	9	8
ENSG00000115042.10|FAHD2A	411.18	342.13	458.3	452.2	371.57	404.72	370.49	382.76
ENSG00000115053.16|NCL	12180	11328	12869	12450	11528	12253	10511	11830
ENSG00000115073.7|ACTR1B	793	836	791	912	693	890	723	735
ENSG00000115084.14|SLC35F5	824	961	1038	1016	1086	1122	1006	1124
ENSG00000115085.13|ZAP70	7	16	8	15	1	12	8	10
ENSG00000115091.11|ACTR3	3727	3555	4220	3717	4338	4119	3863	4077
ENSG00000115107.20|STEAP3	1380.7	1487	1535.29	1701.59	1234.29	1433.63	1308.42	1473.89
ENSG00000115109.14|EPB41L5	1807	2040	2236	2097	2373	2190.98	2031	2152
ENSG00000115112.8|TFCP2L1	56	63	98	96	85	90	87	100
ENSG00000115128.7|SF3B6	1006	974	1130	1106	1038	1087	961	1097
ENSG00000115129.14|TP53I3	593	694	619	742.97	705	817	710	816
ENSG00000115137.11|DNAJC27	133	159	175	169.85	166	166	134	160.24
ENSG00000115145.10|STAM2	400	416	491	488	498	573	475	501
ENSG00000115159.16|GPD2	1071	1059	1357	1327	1329	1338	1288	1456
ENSG00000115163.15|CENPA	319.17	379.13	447	534.62	338.51	446.12	377.11	399.73
ENSG00000115170.13|ACVR1	211	169	213	183	197	207	178	136
ENSG00000115183.15|TANC1	4008	3948	4983	3751	4109	4178	3931	3499
ENSG00000115194.10|SLC30A3	69	78	63	70	43	55	51	37
ENSG00000115204.15|MPV17	686	685	773	725	723	736	689	738
ENSG00000115207.13|GTF3C2	1754.84	1740.9	1896.65	1904.35	1587.21	1885.03	1634	1907.31
ENSG00000115211.15|EIF2B4	1014.82	1023	1161.75	1020.43	1027.61	1211	1071	1111
ENSG00000115216.14|NRBP1	2524	2452	2649	2513	2562	2670	2490	2518
ENSG00000115226.10|FNDC4	374	389	438	408	348	456	362	436
ENSG00000115232.14|ITGA4	29.24	36	54	43	54	46	75	56
ENSG00000115233.12|PSMD14	1520	1584	1852	1879	2021	1775	1775	1828
ENSG00000115234.11|SNX17	1386.89	1460.13	1566.21	1602.15	1443.42	1480.35	1478.56	1500.09
ENSG00000115239.21|ASB3	486.64	482	574	518	573	564	503	550
ENSG00000115241.11|PPM1G	3487	3368	3553	3965	3197	3829	3129	3830
ENSG00000115252.18|PDE1A	4	1	7	13	1	0	1	2
ENSG00000115255.11|REEP6	41	53	64	45	21	49	40	26
ENSG00000115257.15|PCSK4	63	89	88	102	79	91	92	67
ENSG00000115266.11|APC2	616.1	714.65	772.34	796.9	491.86	703.44	613.07	539.37
ENSG00000115267.7|IFIH1	181	182	228	222	210	275	186	250
ENSG00000115268.9|RPS15	4689.98	4645	4979.84	5067.9	3884.88	4613.54	4627.45	3970.99
ENSG00000115271.11|GCA	136	142	154	176	151	166	158	184
ENSG00000115274.15|INO80B	360.27	367.94	521.49	479.37	445.18	378.43	471.22	434.56
ENSG00000115275.12|MOGS	1347	1145	1344	1335	1233	1410	1123	1338
ENSG00000115282.19|TTC31	858	873	891	888	835	938	880	951
ENSG00000115286.20|NDUFS7	757.8	869.26	879.79	926.94	719.99	892.95	832.01	899.54
ENSG00000115289.14|PCGF1	238	215	223	187	211	226	210	208
ENSG00000115290.9|GRB14	178	119	198	178	137	116	103	82
ENSG00000115295.20|CLIP4	185	211	268	272	227	239	222	269
ENSG00000115297.11|TLX2	73	66	94	73	60	76	66	81
ENSG00000115306.16|SPTBN1	6152.05	5789.73	7083.82	6405.41	5905	6651.5	6162.93	6024.12
ENSG00000115307.17|AUP1	2506	2181	2480.92	2537.98	2358	2635	2298.88	2534
ENSG00000115310.18|RTN4	3598	3734	4066	4041	4137	4075	4176	3893
ENSG00000115317.11|HTRA2	739.14	687.97	780.02	780.21	747.22	780.16	811.92	848.97
ENSG00000115318.12|LOXL3	263.86	252.03	285.06	261.82	330.78	351.84	330.2	337.03
ENSG00000115325.13|DOK1	55	41	48	74	49	64	41	65
ENSG00000115350.11|POLE4	256	279	297	298	248	270	313	314
ENSG00000115355.16|CCDC88A	3395	3682	4509.92	3964.33	4013	3994.99	3575	3869.65
ENSG00000115364.14|MRPL19	907.49	1071.66	1103.48	1046.8	1165.23	1073.59	989.65	1116.08
ENSG00000115365.11|LANCL1	1944	2226	2348	2521	2277	2356	2075	2541
ENSG00000115368.10|WDR75	942	1080	1215	1135	1181	1163	1101	1257
ENSG00000115380.20|EFEMP1	10	9	15	13	9	13	4	10
ENSG00000115392.11|FANCL	536.17	521	584.4	638.43	582.15	627.71	494	711.69
ENSG00000115414.19|FN1	4781	4893	6189	5558	5654	5688	6045	5454
ENSG00000115415.18|STAT1	1498	1640	1937	1960	1609	1688	1538.55	1719
ENSG00000115419.12|GLS	2020	2112.97	2654.82	2474.85	2742.96	2551.93	2608.33	2855.91
ENSG00000115421.13|PAPOLG	343	389	373	382	404	399	337	350
ENSG00000115423.18|DNAH6	32	31	27	26	38	38	39	27
ENSG00000115425.14|PECR	155.1	177	217.3	213	191.07	191.2	161	173.06
ENSG00000115446.11|UNC50	462	529	568	583	625	607	599	621
ENSG00000115457.10|IGFBP2	7329	6325	7610	6821	6692	7079	7026	6163
ENSG00000115459.18|ELMOD3	341.03	362.1	406.34	430.14	358.15	447.05	364.17	453.03
ENSG00000115461.5|IGFBP5	19740	22203	24339	28176	19328	25536	21812	26562
ENSG00000115464.14|USP34	2124.03	2119.92	2544.59	2230.54	2484.77	2240.46	2200.22	2072.05
ENSG00000115468.12|EFHD1	404	508	461	681	420	569	395	613
ENSG00000115484.15|CCT4	2650.87	2677.82	3107.95	3058.77	2815	3028.92	2710.86	2929.81
ENSG00000115486.12|GGCX	546.13	627.83	734.94	686.36	646.13	651.58	618.38	623.86
ENSG00000115504.14|EHBP1	1040.8	1038.58	1125.68	1142.36	1177	1089.64	988	1106.36
ENSG00000115507.10|OTX1	88	100	92	110	85	118	76	91
ENSG00000115514.12|TXNDC9	555	546	612	663	670	664	544	700
ENSG00000115520.8|COQ10B	335	383	440	404	385	373	375	441
ENSG00000115524.16|SF3B1	7556	8062	8737	8000	8606	8212	7715	7988
ENSG00000115525.18|ST3GAL5	1389	1404	1654	1500	1196	1181	1065	1180
ENSG00000115526.11|CHST10	695	679	649	710	613	706	580	663
ENSG00000115539.14|PDCL3	501.73	479.12	542.07	515.9	525.43	509.38	458.63	513.46
ENSG00000115540.15|MOB4	800.64	756.61	842.65	793.78	887.93	808.66	714.8	794.43
ENSG00000115541.11|HSPE1	1828.7	1632.95	1889.78	1910.7	1856.33	1989.92	1671.95	1810.72
ENSG00000115548.17|KDM3A	1667	1867	2046	1995	1773	1842	1604	1793
ENSG00000115556.14|PLCD4	672.38	756.89	685.07	863.13	527.29	749.04	552.27	752.08
ENSG00000115561.16|CHMP3	1833.5	1799.91	2076.68	1937.79	1987.97	2011.6	1880	2003.57
ENSG00000115568.15|ZNF142	888	936	980	1070	692	1012.98	784	892.96
ENSG00000115594.12|IL1R1	163	213	212	297	248	325	256	331
ENSG00000115604.10|IL18R1	10	20	21	15	11	23	11	25
ENSG00000115616.2|SLC9A2	34	31	46	34	36	39	29	42
ENSG00000115649.16|CNPPD1	979.82	973	1097	1005.66	1032	1161	1052	1082
ENSG00000115652.14|UXS1	628	558	735	591	640	681	644	628
ENSG00000115657.14|ABCB6	1749.57	1507.48	1749.98	1643.47	1797.83	1950.42	1762.62	1985.94
ENSG00000115661.14|STK16	633.43	592.13	696.37	697.89	647.32	657.44	678.98	643.27
ENSG00000115677.17|HDLBP	9097	9111	9802	10114.93	8091	9551	7832	9089
ENSG00000115685.15|PPP1R7	839	856	886	908	917	994	954	1030
ENSG00000115687.13|PASK	600	631	693	737	540	678	518	639
ENSG00000115694.15|STK25	1989.63	1970.18	2081.08	2041.79	1725.93	2141.93	1817.65	1974.24
ENSG00000115738.10|ID2	102	96	103	98	111	90	108	97
ENSG00000115750.17|TAF1B	341	333	373	374	395	382	343	375
ENSG00000115756.13|HPCAL1	137	169	165	203	147	211	160	143
ENSG00000115758.13|ODC1	4538	4448	4892	5011	4619	4827	4459	4845
ENSG00000115760.14|BIRC6	1242	1271	1642	1382	1494	1435	1435	1317
ENSG00000115761.16|NOL10	682	658	767	699	734	652	683	706
ENSG00000115762.16|PLEKHB2	1787	1975	2129	2027	1985	2015	1903	1808
ENSG00000115806.13|GORASP2	2020	2068	1996	2240	1843	2152	1929	2013
ENSG00000115808.12|STRN	880	1045	1146	1088	1109	1050	1013	1134
ENSG00000115816.15|CEBPZ	1342.61	1354.34	1552.4	1431.37	1417.75	1487.61	1425.75	1688.68
ENSG00000115825.10|PRKD3	2012.69	2074.79	2451.34	2394.37	2240.3	2310.05	2159.08	2397.34
ENSG00000115827.14|DCAF17	553	541	632	619	604	588	512	572
ENSG00000115839.17|RAB3GAP1	889	991	1057	1001	1040	995	917	1011
ENSG00000115840.14|SLC25A12	612	576	609	647	653	647	629	652
ENSG00000115841.20|RMDN2	43	45	44	37	53	39	51	55
ENSG00000115844.11|DLX2	10	11	10	25	9	17	13	17
ENSG00000115850.10|LCT	6	7	8	4	6	3	7	13
ENSG00000115866.11|DARS	3114	3301	3719	3694	3591.99	3611.82	3467	3769.99
ENSG00000115875.19|SRSF7	3226	3228	3370	3514	3004	3358	2792	3362
ENSG00000115884.11|SDC1	592	586	669	823	531	721	588	777
ENSG00000115902.11|SLC1A4	718	728	819	841	797	901	840	875
ENSG00000115904.12|SOS1	822	905	1161	987	1034	999	969	1108
ENSG00000115935.17|WIPF1	1579	1841	1888	1890	1855	2049	1803	1953
ENSG00000115942.9|ORC2	434	485	520.9	582	478.92	560	445	524
ENSG00000115944.15|COX7A2L	919	997	961	1001	927	947	875	980
ENSG00000115946.8|PNO1	458.68	380.69	451.79	381.3	460.46	423.18	409.6	437.49
ENSG00000115947.13|ORC4	503.13	582.22	582.89	613.84	567.99	602.24	544.64	571.7
ENSG00000115956.10|PLEK	48	42	77	42	41	36	53	57
ENSG00000115963.13|RND3	1666	1774	1848	1967	1571	1649	1533	1804
ENSG00000115966.17|ATF2	707	785	886.91	876.98	872	839.97	822.96	832.99
ENSG00000115970.18|THADA	800	672	869.72	732	809	713	767	695
ENSG00000115977.19|AAK1	634	689	867	819	779	780	764	801
ENSG00000115993.13|TRAK2	1035	1146	1237.98	1312	1190	1312.98	1116	1377
ENSG00000115998.7|C2orf42	211	217	216	217	251	203	230	220
ENSG00000116001.16|TIA1	2496	2804	3071	3029	3140	3042	2606	3140
ENSG00000116005.12|PCYOX1	1643	1814	1985	1998	2081	1987	1867	1880
ENSG00000116016.14|EPAS1	451	490	614	446	538	558	562	461
ENSG00000116017.11|ARID3A	117	127	91	135	91	103	86	108
ENSG00000116030.16|SUMO1	2144.77	2035.77	2361.74	2406.57	2312.88	2218.91	1958.9	2256.91
ENSG00000116031.9|CD207	25	18	33	24	26	23	27	20
ENSG00000116035.4|VAX2	78.3	96.4	112.18	114.58	86.09	134.91	87.81	93.98
ENSG00000116039.13|ATP6V1B1	87.7	69.6	84.82	59.42	57.91	64.09	58.19	56.02
ENSG00000116044.16|NFE2L2	2522.71	2716.81	3153.52	3013.06	3255.51	3240.87	3142.54	3277.27
ENSG00000116062.15|MSH6	2281.68	2155.79	2447.82	2644.37	2206.18	2269.09	2037.13	2534.76
ENSG00000116095.11|PLEKHA3	290	253	324	284	322	287	316	289
ENSG00000116096.6|SPR	243	243	230	283	221	273	210	261
ENSG00000116106.12|EPHA4	1241.3	1493.03	1604.32	1505.03	1349	1501.47	1307.58	1440.29
ENSG00000116117.18|PARD3B	310	210	354	232	305	203	252	206
ENSG00000116120.10|FARSB	1490	1328	1565	1529	1625	1383	1364	1458
ENSG00000116127.18|ALMS1	460	546	648	621	587	599	557	597
ENSG00000116128.11|BCL9	933	1005	1097	1104	991	1174	887	1010
ENSG00000116132.12|PRRX1	36	30	45	42	41	61	41	62
ENSG00000116133.13|DHCR24	3015.92	3191.95	3393.79	3771.34	3062	3691.6	3205.87	3697.79
ENSG00000116138.13|DNAJC16	292	340	406	394	417	398	410	430
ENSG00000116141.15|MARK1	738	781	981	941	889	866	895	957
ENSG00000116147.17|TNR	365	210	394	246	241	155	253	134
ENSG00000116151.14|MORN1	43	52	72	70	68	78	58	54
ENSG00000116157.6|GPX7	474	431	473	496	423	488	530	507
ENSG00000116161.17|CACYBP	1898.28	1782	1949.43	2115.8	1951.52	1985.86	1705	2043.86
ENSG00000116171.18|SCP2	1219.01	1151.43	1297	1243	1356	1124.57	1221	1158
ENSG00000116183.11|PAPPA2	2	3	6	3	1	3	10	1
ENSG00000116191.17|RALGPS2	110	107	124	130	146	155	141	158
ENSG00000116194.13|ANGPTL1	35	43	38	55	35	27	25	31
ENSG00000116198.13|CEP104	135	144	149	175	162	197	171	161
ENSG00000116199.12|FAM20B	1227	1314	1460	1456	1237	1308	1109	1398
ENSG00000116205.14|TCEANC2	325	314	385	383	356	395	303	383
ENSG00000116209.11|TMEM59	1190	1207	1288	1104	1298	1145	1255	1147
ENSG00000116212.15|LRRC42	503	566	601	609	582	578	567	672
ENSG00000116213.16|WRAP73	299	302	339	292	314	339	289	312
ENSG00000116221.15|MRPL37	941	994	1070	1158	987	1095	919	1189
ENSG00000116237.16|ICMT	637	589	657	635	619	591	584	618
ENSG00000116251.11|RPL22	1695.25	1640.22	1771.69	1794.37	1647.72	1550.37	1469.13	1563.99
ENSG00000116254.18|CHD5	46.61	39.29	41	41	21	18.69	20	21
ENSG00000116260.17|QSOX1	1102	1097	1195	1109	1063	1069	1079	1006
ENSG00000116266.11|STXBP3	697	753	847	815	861	807	779	826
ENSG00000116273.6|PHF13	323	378	368	355	352	376	327	412
ENSG00000116285.13|ERRFI1	327	400	383	434.81	351.53	440	340	416
ENSG00000116288.13|PARK7	968	903	1039	1094	996	996	904	983
ENSG00000116329.11|OPRD1	348.7	561.68	428.56	719.58	253.41	476.23	277.13	488.48
ENSG00000116337.16|AMPD2	494	485.15	516.6	539.05	446.77	552.9	520.81	441.23
ENSG00000116350.17|SRSF4	2932	3026	3378	3380	3007	3420	2761	3037
ENSG00000116353.15|MECR	224	223	264	215	256	251	244	218
ENSG00000116396.14|KCNC4	49	45	51	68	54	71	56	81
ENSG00000116406.19|EDEM3	1135	1308	1420	1441	1494	1502	1402	1616
ENSG00000116455.14|WDR77	998.72	1016.21	1076.15	1000.37	1000.51	1140.59	1006.95	1034.23
ENSG00000116459.11|ATP5PB	2611.8	2686	2915.93	2993.42	2795.87	2801.76	2653.6	2806
ENSG00000116473.14|RAP1A	942	926	1083	1057	1152	1000	1122	1072
ENSG00000116478.12|HDAC1	1724	1956	1970	2123	1861	2069	1756	2087
ENSG00000116489.13|CAPZA1	2318	2538	2745	2861	2630	2704	2501	2763
ENSG00000116497.18|S100PBP	832	857.01	1069.01	1015.02	972	1013	923	1043
ENSG00000116514.16|RNF19B	278	277	292	362	345	362	302	367
ENSG00000116521.11|SCAMP3	875	881	870	954	743	1010	876	950
ENSG00000116525.14|TRIM62	404	420	444	431	304	389	334	356
ENSG00000116539.13|ASH1L	2137	2226	2824	2350	2303	2438	2307	2298
ENSG00000116544.12|DLGAP3	20	29	46	44	25	33	30	37
ENSG00000116560.11|SFPQ	7239	7581	8384	8181	7672.94	8078	7044	7676
ENSG00000116574.6|RHOU	353	471	458	563	385	440	330	452
ENSG00000116580.18|GON4L	2265.87	2334.03	2549.67	2493.55	2289.8	2513.23	2236.88	2404.34
ENSG00000116584.18|ARHGEF2	5240	4973	5614	5091	5072	5667	4933	5076
ENSG00000116586.11|LAMTOR2	558	548	573	523	575	658	501	518
ENSG00000116604.18|MEF2D	1446	1425	1528	1516	1374	1482	1422	1363
ENSG00000116641.17|DOCK7	786	870	1015	894	926	861	847	848
ENSG00000116649.10|SRM	770	633	731	781	670	702	650	663
ENSG00000116652.6|DLEU2L	15.13	11	6	4.5	14	11.11	9.71	17.06
ENSG00000116667.14|C1orf21	1801	1667	2028	1718	1593	1483	1477	1516
ENSG00000116668.13|SWT1	117	110	138	92	119	120	125	127
ENSG00000116670.15|MAD2L2	741	844	873	1050	761	968	726	951
ENSG00000116675.16|DNAJC6	144	130	164	131	141	130	108	139
ENSG00000116678.19|LEPR	83.07	103.98	122.4	78.76	114.54	79.43	84.1	96.58
