Ola_602_R1B1	LMP.Olap_602_R1B1	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000006530.17|AGK	766.25	703.93	669	648.05
ENSG00000006534.16|ALDH3B1	247	247	173	197
ENSG00000006576.16|PHTF2	1155	1282	1015	1328
ENSG00000006607.14|FARP2	1131.92	1026.21	1019.35	929.76
ENSG00000006625.18|GGCT	946	1050	765	1040.49
ENSG00000006634.8|DBF4	1330.89	1338	1172.11	1395.11
ENSG00000006638.11|TBXA2R	42	46	40	51
ENSG00000006652.14|IFRD1	1925	1888	1770	1882
ENSG00000006695.11|COX10	235.59	213.8	201.22	192.92
ENSG00000006704.10|GTF2IRD1	740	829	631	724
ENSG00000006712.15|PAF1	2105	2244	1810	2049
ENSG00000006715.16|VPS41	1966	1729	1818	1707
ENSG00000006744.19|ELAC2	1513	1436	1284	1358
ENSG00000006747.15|SCIN	34	29	23	23
ENSG00000006756.16|ARSD	52.56	74	50	55.99
ENSG00000006831.10|ADIPOR2	1458	1466	1331	1476
ENSG00000006837.12|CDKL3	30.26	37	19.65	28.98
ENSG00000007047.15|MARK4	824	811	645	814
ENSG00000007062.11|PROM1	467	338	391	354
ENSG00000007080.11|CCDC124	788	803	713	691
ENSG00000007168.13|PAFAH1B1	4598	4341	4079	4405
ENSG00000007171.17|NOS2	327	358	241	335
ENSG00000007174.18|DNAH9	86	76	97	81
ENSG00000007202.15|KIAA0100	5281.59	5073.16	4240.91	4527.02
ENSG00000007237.18|GAS7	9659	8630	8226	8076
ENSG00000007255.10|TRAPPC6A	84	74	79	76
ENSG00000007314.12|SCN4A	12	12	1	5
ENSG00000007341.19|ST7L	373.29	401.8	318.67	329.56
ENSG00000007372.22|PAX6	908.08	1026.61	771.3	885.74
ENSG00000007376.8|RPUSD1	139	184	198	157
ENSG00000007384.15|RHBDF1	550	539	543	491
ENSG00000007392.16|LUC7L	1247	1314	1075	1144
ENSG00000007402.11|CACNA2D2	199	161	119	112
ENSG00000007516.13|BAIAP3	354.42	279.44	358.13	285.19
ENSG00000007520.4|TSR3	334.58	316.56	262.87	295.81
ENSG00000007541.16|PIGQ	354.88	419.5	383	340.18
ENSG00000007545.15|CRAMP1	1281.62	1182.48	1051.99	1153.03
ENSG00000007866.21|TEAD3	113	122	89	94
ENSG00000007923.16|DNAJC11	633	599.8	469.84	489
ENSG00000007944.15|MYLIP	148	133	94	98
ENSG00000007968.7|E2F2	1028	1579	787	1386
ENSG00000008018.9|PSMB1	1431	1369	1350	1475
ENSG00000008056.14|SYN1	44.52	51.32	36	47
ENSG00000008083.14|JARID2	1080	833	956	845
ENSG00000008086.11|CDKL5	537	451	466	487
ENSG00000008118.10|CAMK1G	156	181	117	151
ENSG00000008128.23|CDK11A	292.22	307.38	255.88	280.94
ENSG00000008130.15|NADK	981	880	956	939
ENSG00000008196.13|TFAP2B	11	10	20	22
ENSG00000008256.16|CYTH3	705	611	727	665
ENSG00000008277.14|ADAM22	2398	1792	2070	1759
ENSG00000008282.8|SYPL1	1527	1645	1337	1708
ENSG00000008283.16|CYB561	158	169	168	175
ENSG00000008294.21|SPAG9	5192	4853	4156	4423
ENSG00000008300.17|CELSR3	1109	1083	923	958
ENSG00000008311.15|AASS	2392.99	2693	2084	2451
ENSG00000008324.11|SS18L2	102	156	98	141
ENSG00000008382.15|MPND	294.9	373	259	317
ENSG00000008405.12|CRY1	473	444	435	504
ENSG00000008441.16|NFIX	3730	4229	3016	3336
ENSG00000008513.16|ST3GAL1	755	628	674	726
ENSG00000008710.19|PKD1	1145.35	1160.52	1042.67	883.55
ENSG00000008735.14|MAPK8IP2	333	416	283	375
ENSG00000008838.20|MED24	2465	2682	2228	2546
ENSG00000008853.16|RHOBTB2	1042.33	1253.25	880.9	1212.71
ENSG00000008869.12|HEATR5B	1417	1303	1429	1419
ENSG00000008952.17|SEC62	2093	2155	1858	2044
ENSG00000008988.9|RPS20	5729	5486	4828.99	4825.99
ENSG00000009307.16|CSDE1	10582	10307	8812	9388
ENSG00000009335.18|UBE3C	990	907	860	893
ENSG00000009413.15|REV3L	7411.43	5844.1	5449.01	5722.89
ENSG00000009724.16|MASP2	51	44	23	40
ENSG00000009780.15|FAM76A	168	174	138	169
ENSG00000009830.11|POMT2	2009	1948	1576	1796
ENSG00000009844.16|VTA1	940	905	948	896
ENSG00000009954.11|BAZ1B	7386	7515	6107	7293
ENSG00000010017.13|RANBP9	2353.86	2409.69	2477.9	2502.61
ENSG00000010072.16|SPRTN	329.63	354.81	280.16	349.26
ENSG00000010165.20|EEF1AKNMT	578	566	599	561
ENSG00000010219.13|DYRK4	310.84	325.65	354	279
ENSG00000010244.18|ZNF207	4709	4689	4209	4392
ENSG00000010256.11|UQCRC1	1735	2007	1641	1801
ENSG00000010270.13|STARD3NL	1204	1067	1119	1225
ENSG00000010278.14|CD9	3805	3440	4308	3805
ENSG00000010282.14|HHATL	22	16	8.36	9
ENSG00000010292.13|NCAPD2	3687.5	4447.51	3085.62	3697.08
ENSG00000010295.19|IFFO1	909	741	990	845
ENSG00000010310.9|GIPR	97	97	79	70
ENSG00000010318.21|PHF7	73	79	60	66
ENSG00000010322.16|NISCH	1849	1871	1662	1821
ENSG00000010361.13|FUZ	443.16	559.1	355.18	428.4
ENSG00000010404.18|IDS	1095.19	1092.21	1011.95	1158.31
ENSG00000010539.11|ZNF200	318	344	322	369
ENSG00000010626.15|LRRC23	110.09	87.03	74.37	68
ENSG00000010803.16|SCMH1	713	788.99	657.99	700
ENSG00000010810.17|FYN	6058	4743	5488	4584
ENSG00000010818.10|HIVEP2	369	305.92	288	322
ENSG00000011007.12|ELOA	2401.52	2487.82	2053.23	2447.73
ENSG00000011009.11|LYPLA2	1192	1165	1160	1193
ENSG00000011021.23|CLCN6	1109.51	1036.82	961.05	894.19
ENSG00000011028.14|AC080038.1	2018.68	2036.74	2372.79	2263.66
ENSG00000011052.21|NME1-NME2	449.69	238.5	222.41	340.43
ENSG00000011105.14|TSPAN9	648	573	572	641
ENSG00000011114.15|BTBD7	945	842	751	798
ENSG00000011132.12|APBA3	298.98	330.56	298	385
ENSG00000011143.16|MKS1	561	554	536	538
ENSG00000011198.9|ABHD5	424	416	391	432
ENSG00000011243.18|AKAP8L	2233.16	2235.24	1961.65	1950.8
ENSG00000011258.16|MBTD1	974	812	787	862
ENSG00000011260.14|UTP18	936	942	867	997
ENSG00000011275.18|RNF216	2100.73	1966.91	1777.46	1842.7
ENSG00000011295.16|TTC19	1029.35	1058.03	968.66	1049.25
ENSG00000011304.20|PTBP1	7791	7972	6715	7152
ENSG00000011332.19|DPF1	321	393	366	424
ENSG00000011347.9|SYT7	12	21	7	6
ENSG00000011376.11|LARS2	775	765	706	714
ENSG00000011405.13|PIK3C2A	1630	1800	1460	1611
ENSG00000011422.12|PLAUR	165	166	97	124
ENSG00000011426.11|ANLN	3872	4428	2996	4173
ENSG00000011451.19|WIZ	2267	2421	2023	1906
ENSG00000011454.17|RABGAP1	2847	2613	2475	2433
ENSG00000011478.12|QPCTL	128	150	114	117
ENSG00000011485.14|PPP5C	1719	1866	1496	1702
ENSG00000011523.14|CEP68	1075.12	1079.07	905	1061.79
ENSG00000011566.15|MAP4K3	892	794	713	793
ENSG00000011638.10|TMEM159	67	60	37	58
ENSG00000012048.22|BRCA1	1552	1930	1283	2003
ENSG00000012061.15|ERCC1	1823.44	1747.58	1500.69	1434.54
ENSG00000012171.19|SEMA3B	153	193	108	146
ENSG00000012174.12|MBTPS2	853.89	759.11	716.06	719.64
ENSG00000012232.8|EXTL3	5080	4824	3946	3926
ENSG00000012660.14|ELOVL5	1050	1045	906	1136
ENSG00000012822.16|CALCOCO1	1506	1349	1281	1260
ENSG00000012963.15|UBR7	1613	1775.41	1304	1666.03
ENSG00000012983.11|MAP4K5	976	906	833	997
ENSG00000013016.16|EHD3	155	122	145	138
ENSG00000013275.7|PSMC4	1874	1815	1725	1878
ENSG00000013288.8|MAN2B2	638	633	670	611
ENSG00000013306.16|SLC25A39	1357	1479	1232	1372
ENSG00000013364.19|MVP	91	98	76	91
ENSG00000013374.16|NUB1	604.87	537.96	513.91	522
ENSG00000013375.16|PGM3	1202.85	1171.95	1027.91	1181.49
ENSG00000013392.8|RWDD2A	262	216	195	225
ENSG00000013441.16|CLK1	1792	1815	1648	1915
ENSG00000013503.10|POLR3B	346	266	273	269
ENSG00000013523.9|ANGEL1	2791.89	2341.11	2452.1	2565.41
ENSG00000013561.18|RNF14	472	521.97	479	581
ENSG00000013563.14|DNASE1L1	133.12	151.11	110.26	140.08
ENSG00000013573.17|DDX11	1496.58	1620.69	1199.42	1446.49
ENSG00000013583.10|HEBP1	168	150	124	154
ENSG00000013588.8|GPRC5A	8	7	21	19
ENSG00000013619.14|MAMLD1	717	625	662	567
ENSG00000013810.19|TACC3	3821.37	4670	3175	4073.31
ENSG00000014123.10|UFL1	952	1032	868	932
ENSG00000014138.9|POLA2	742.54	970.34	613.94	939.06
ENSG00000014164.7|ZC3H3	297	349	271	260
ENSG00000014216.15|CAPN1	1134.43	1217.71	1055	1194
ENSG00000014641.18|MDH1	2569.25	2907.11	2395.88	2724.72
ENSG00000014824.14|SLC30A9	1118	1020	944	997
ENSG00000014914.21|MTMR11	150	141	137	166
ENSG00000014919.12|COX15	662.82	563.84	563.42	645.33
ENSG00000015133.19|CCDC88C	421	367	320	351
ENSG00000015153.14|YAF2	166	152	160	135
ENSG00000015171.19|ZMYND11	1325	1200	1226	1257
ENSG00000015285.10|WAS	47	38	43	47
ENSG00000015475.18|BID	587	573	459	484
ENSG00000015479.18|MATR3	8206.63	8078.38	6569.11	7600.97
ENSG00000015532.9|XYLT2	535	573	539	528
ENSG00000015568.13|RGPD5	356.53	47.58	334.35	93.54
ENSG00000015592.16|STMN4	20	17	2	4
ENSG00000015676.18|NUDCD3	2804	2589	2380	2568
ENSG00000016391.11|CHDH	108	88	73	105
ENSG00000016864.18|GLT8D1	531	555	533	524
ENSG00000017260.19|ATP2C1	1570.29	1505.38	1390.46	1563.05
ENSG00000017797.13|RALBP1	993	939	910	975
ENSG00000018189.13|RUFY3	3151	2652	2702	2830
ENSG00000018236.15|CNTN1	87	73	54	62
ENSG00000018280.17|SLC11A1	7	13	16	10
ENSG00000018408.14|WWTR1	514.79	451.16	654.44	637.23
ENSG00000018510.15|AGPS	1305	1288.5	1205	1305
ENSG00000018610.14|CXorf56	586.95	582.76	552.85	588
ENSG00000018699.13|TTC27	322	255	285	260
ENSG00000018869.16|ZNF582	115.84	112.11	112.25	123.29
ENSG00000019144.19|PHLDB1	1209	1132	971	1079
ENSG00000019485.13|PRDM11	358	403	357	333
ENSG00000019549.12|SNAI2	142	92	186	144
ENSG00000019991.17|HGF	13	7	14	9
ENSG00000019995.6|ZRANB1	566.61	598.39	479.37	566.51
ENSG00000020129.16|NCDN	620	615	518	523
ENSG00000020181.17|ADGRA2	97.49	108.91	81.62	103.13
ENSG00000020256.20|ZFP64	563	531	448	474
ENSG00000020426.11|MNAT1	380	405	377	371
ENSG00000020577.13|SAMD4A	996	813	963	820
ENSG00000020633.18|RUNX3	16	20	25	17
ENSG00000020922.12|MRE11	559	589	432	592
ENSG00000021300.14|PLEKHB1	1638	1778	1391	1572
ENSG00000021574.12|SPAST	439	469	416	472
ENSG00000021762.20|OSBPL5	352	395	324	352
ENSG00000021776.11|AQR	2492	2317	2087	2236
ENSG00000021826.15|CPS1	1805	1435	1516	1250
ENSG00000022267.17|FHL1	910	915	715	865
