Ola_602_R1B1	LMP.Olap_602_R1B1	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000075240.17|GRAMD4	428	460	460	441
ENSG00000075275.16|CELSR1	709	715	657	639
ENSG00000075292.19|ZNF638	2749	2612	2466	2749
ENSG00000075303.13|SLC25A40	558	625	456.56	576.71
ENSG00000075336.12|TIMM21	642	650	551	677
ENSG00000075340.23|ADD2	1473	1720	1229	1444
ENSG00000075391.16|RASAL2	339	362	293	321
ENSG00000075399.14|VPS9D1	780.81	738.77	685.53	659
ENSG00000075407.18|ZNF37A	2137.74	1807.32	1866.27	1898.46
ENSG00000075413.18|MARK3	2015	1874	1772	1888
ENSG00000075415.12|SLC25A3	3650	3542	3355	3318
ENSG00000075420.13|FNDC3B	2319	1739	2145	1874
ENSG00000075426.12|FOSL2	415	446	421	484
ENSG00000075461.6|CACNG4	1697.78	1854	1539	1754
ENSG00000075539.14|FRYL	1630	1322	1318	1303
ENSG00000075568.17|TMEM131	2131	1870	2045	1842
ENSG00000075618.18|FSCN1	7228	7168	5975	5557
ENSG00000075624.15|ACTB	41189.32	39583.33	38665.28	37454.3
ENSG00000075651.16|PLD1	158	177	184	230
ENSG00000075673.11|ATP12A	6	13	12	10
ENSG00000075702.18|WDR62	1798	2306	1463	1943
ENSG00000075711.20|DLG1	1965	1683	1723	1609
ENSG00000075785.12|RAB7A	4838	4419	4381	4086
ENSG00000075790.10|BCAP29	2038.74	2047.71	1868.6	2154.4
ENSG00000075826.17|SEC31B	310.78	277.55	239.6	253.64
ENSG00000075856.12|SART3	1331	1365	1116	1360
ENSG00000075914.13|EXOSC7	416	384	383	369
ENSG00000075945.13|KIFAP3	598	554	641	714
ENSG00000075975.16|MKRN2	825	753.05	670	766
ENSG00000076003.5|MCM6	3243	3248	2702	3106
ENSG00000076043.10|REXO2	342	382.9	357.68	376
ENSG00000076053.10|RBM7	304.48	273.59	277.1	299.38
ENSG00000076067.13|RBMS2	545.2	496.14	515.61	471.74
ENSG00000076108.11|BAZ2A	2174.8	2172.86	1932.39	2133.26
ENSG00000076201.15|PTPN23	998	1025	821	900
ENSG00000076242.14|MLH1	994	980	963	1038
ENSG00000076248.10|UNG	941	914	758	890
ENSG00000076258.10|FMO4	34	30	27	44
ENSG00000076321.11|KLHL20	833	838	819	879
ENSG00000076344.16|RGS11	283.56	321.99	280.99	348.8
ENSG00000076351.13|SLC46A1	502.73	641.84	466.19	551.56
ENSG00000076356.7|PLXNA2	1147	1045	967	933
ENSG00000076382.17|SPAG5	3897.87	4733.63	3156.97	4386.86
ENSG00000076513.16|ANKRD13A	419.25	515.38	387.56	487.48
ENSG00000076554.15|TPD52	258.47	264.96	256	262.61
ENSG00000076555.15|ACACB	300	279	256	265
ENSG00000076604.15|TRAF4	3948.45	4007.76	3317.72	3453.94
ENSG00000076641.4|PAG1	1419	1321	1188	1352
ENSG00000076650.6|GPATCH1	326	371	298	377
ENSG00000076685.18|NT5C2	1313.97	1277.37	1181	1302.99
ENSG00000076706.17|AP002956.1	2691	3170	2607	3099.2
ENSG00000076716.9|GPC4	520	601	363	453
ENSG00000076770.14|MBNL3	1208	1069	809	929
ENSG00000076826.9|CAMSAP3	83	51	49	35
ENSG00000076864.19|RAP1GAP	510	463	392	490
ENSG00000076924.12|XAB2	1304	1341	1134	1123
ENSG00000076928.17|ARHGEF1	1118	1120	1074	1110
ENSG00000076944.16|STXBP2	38.72	46.94	36	26.99
ENSG00000076984.17|MAP2K7	780.76	696.83	656	613.82
ENSG00000077044.10|DGKD	1366	1193	1053	1162
ENSG00000077092.19|RARB	36	38	26	42
ENSG00000077097.15|TOP2B	6407	5808	5268	5715
ENSG00000077147.16|TM9SF3	2524	2348	2155	2405
ENSG00000077150.19|NFKB2	373	448	361	483
ENSG00000077152.10|UBE2T	1345	1757	1286	1646
ENSG00000077157.22|PPP1R12B	839.37	762.67	659.54	656.89
ENSG00000077232.18|DNAJC10	1931	1725	1791.56	1879
ENSG00000077235.18|GTF3C1	4184	4233	3410	3714
ENSG00000077238.14|IL4R	82	82.94	69	80
ENSG00000077254.14|USP33	1157	1067	969	1079
ENSG00000077264.15|PAK3	43	24	31	37
ENSG00000077279.18|DCX	123	143	72	87
ENSG00000077312.9|SNRPA	1244	1321	977	1143
ENSG00000077348.9|EXOSC5	155	128	131	162
ENSG00000077380.15|DYNC1I2	3374.97	3271	3249.89	3449.96
ENSG00000077454.16|LRCH4	979.82	1075.85	898.57	858.25
ENSG00000077458.13|FAM76B	913	1005	815	1043
ENSG00000077463.15|SIRT6	327	344	336	327
ENSG00000077514.8|POLD3	849	1062	714	1130
ENSG00000077522.13|ACTN2	124	84	86	72
ENSG00000077549.18|CAPZB	3886	3479	3491	3333
ENSG00000077585.14|GPR137B	354	308	369	339
ENSG00000077684.16|JADE1	1284.86	1328.56	956.88	1209.62
ENSG00000077721.16|UBE2A	1086	1086	1021	1143
ENSG00000077782.20|FGFR1	5002.51	5053.83	4807.54	4505.75
ENSG00000077942.19|FBLN1	35	71	47	71
ENSG00000078018.19|MAP2	17784	12871	14630	12872
ENSG00000078043.16|PIAS2	2050	1686	1843	1809
ENSG00000078053.17|AMPH	28	28	34	18
ENSG00000078061.13|ARAF	1271	1187	1130	1080
ENSG00000078070.13|MCCC1	688	580	543	634
ENSG00000078098.14|FAP	12	15.78	11	15
ENSG00000078124.12|ACER3	907	867	814	798
ENSG00000078140.14|UBE2K	2106	2099	1779	2046
ENSG00000078142.13|PIK3C3	1045	920	921	853
ENSG00000078177.14|N4BP2	587	563	439	536
ENSG00000078237.7|TIGAR	538.01	578.03	491.32	545.09
ENSG00000078246.17|TULP3	1139	1191	978	1100
ENSG00000078269.15|SYNJ2	643	638	883	832
ENSG00000078295.16|ADCY2	1504	1086	905	698
ENSG00000078304.19|PPP2R5C	4526	4443	3808	3732
ENSG00000078319.9|PMS2P1	248.46	238.17	236.97	211.58
ENSG00000078369.18|GNB1	3869	3382	3265	3255
ENSG00000078399.18|HOXA9	14	12	15	10
ENSG00000078403.17|MLLT10	992	859	847	889
ENSG00000078487.17|ZCWPW1	212.35	213.37	149.32	182.81
ENSG00000078549.14|ADCYAP1R1	80	70	36	40
ENSG00000078618.21|NRDC	2532.51	2590.12	2216.19	2412.85
ENSG00000078668.14|VDAC3	2039	2164	1827	2057
ENSG00000078674.17|PCM1	4556	4645	3821	4368
ENSG00000078687.17|TNRC6C	1501.83	1327.98	1097.99	1139
ENSG00000078699.21|CBFA2T2	1419	1630	995	1171
ENSG00000078747.14|ITCH	2450	2287	2031	2226
ENSG00000078804.13|TP53INP2	1062	1147	871	1011
ENSG00000078808.16|SDF4	757	677	712	792
ENSG00000078814.15|MYH7B	54	29	47	35
ENSG00000078900.15|TP73	173.06	239.51	140.14	174.09
ENSG00000078902.16|TOLLIP	693	701	662	680
ENSG00000078967.13|UBE2D4	584.39	467.3	398.6	455.07
ENSG00000079102.16|RUNX1T1	273	258	264	282
ENSG00000079134.12|THOC1	872	904	801	920
ENSG00000079150.18|FKBP7	176	180	135	137
ENSG00000079156.17|OSBPL6	1223	1104	1163	1129
ENSG00000079215.14|SLC1A3	6722	5235	6117	4978
ENSG00000079246.16|XRCC5	9863	9380	8276	9296
ENSG00000079277.20|MKNK1	35	28	38	23
ENSG00000079308.19|TNS1	195	178	201	165
ENSG00000079313.15|REXO1	1289.67	1249.1	997.98	1029.51
ENSG00000079332.15|SAR1A	1403	1452	1278	1327
ENSG00000079335.20|CDC14A	121	115	97	113
ENSG00000079337.16|RAPGEF3	365.96	376.43	264.9	370.34
ENSG00000079387.14|SENP1	569	595	423	532.8
ENSG00000079432.7|CIC	2389	2546	2099	2129
ENSG00000079435.10|LIPE	139	185	112	142
ENSG00000079459.13|FDFT1	2361	2187	2542	2399
ENSG00000079462.7|PAFAH1B3	633.56	637.55	507.93	557.01
ENSG00000079482.13|OPHN1	768	792	598	739
ENSG00000079616.12|KIF22	2375.97	2862.31	2048.43	2646.85
ENSG00000079739.17|PGM1	823	849	708	826
ENSG00000079785.15|DDX1	2116	2000	1877	2010
ENSG00000079805.16|DNM2	3357.75	3367.62	2870.25	3078.35
ENSG00000079819.19|EPB41L2	2655	2651	2300	2515
ENSG00000079841.18|RIMS1	11	17	18	14
ENSG00000079950.14|STX7	358	368	350	405
ENSG00000079974.17|RABL2B	385.67	354.65	409.23	380.07
ENSG00000079999.14|KEAP1	1974	2183	1789	2157
ENSG00000080189.15|SLC35C2	998	979	877	913
ENSG00000080200.10|CRYBG3	429.7	381.71	345.7	427.43
ENSG00000080298.15|RFX3	35	17	23	26
ENSG00000080345.17|RIF1	2041	1999	1699	2197
ENSG00000080371.6|RAB21	783	813	692	750
ENSG00000080493.17|SLC4A4	413	328	215	212
ENSG00000080503.24|SMARCA2	1658	1782	1327	1556
ENSG00000080546.13|SESN1	341	334.13	326	292
ENSG00000080561.13|MID2	29	26	36	42
ENSG00000080573.7|COL5A3	115	48	303	213
ENSG00000080603.17|SRCAP	1745.03	1555.51	1347.65	1311.32
ENSG00000080608.10|PUM3	28	25	37	41
ENSG00000080644.16|CHRNA3	12	19	10	6
ENSG00000080709.15|KCNN2	467	377	559	404
ENSG00000080802.18|CNOT4	336	326	277	329
ENSG00000080815.19|PSEN1	1287	1142	1188	1164
ENSG00000080819.8|CPOX	342	369	338	416
ENSG00000080822.17|CLDND1	1248	1164	1360	1398
ENSG00000080823.23|MOK	223	220	209	232
ENSG00000080824.18|HSP90AA1	30977.98	33014.98	27045.99	32978.98
ENSG00000080839.11|RBL1	1048.98	1190.97	912	1190
ENSG00000080845.17|DLGAP4	2048.38	1860	1753.63	1563
ENSG00000080854.14|IGSF9B	114	76	96	72
ENSG00000080947.14|CROCCP3	94.27	101.1	97.45	96.63
ENSG00000080986.13|NDC80	1425	1685	1209	1499
ENSG00000081014.11|AP4E1	516	478	441	438
ENSG00000081019.13|RSBN1	338	336	325	375
ENSG00000081026.19|MAGI3	730	682	673	669
ENSG00000081052.12|COL4A4	265	285	320	386
ENSG00000081059.20|TCF7	103	127	72	121
ENSG00000081087.15|OSTM1	1336	1344	1137	1267
ENSG00000081138.14|CDH7	13	18	13	8
ENSG00000081148.12|IMPG2	34	19	30	34
ENSG00000081154.11|PCNP	1773	1642	1549	1749
ENSG00000081177.18|EXD2	449	447	396	377
ENSG00000081181.8|ARG2	91.75	122.2	93.88	109.61
ENSG00000081189.15|MEF2C	763.84	780.05	574.79	765.46
ENSG00000081307.12|UBA5	1038.26	960.85	931.93	1061.57
ENSG00000081320.11|STK17B	149	174	144	171
ENSG00000081377.16|CDC14B	1506.27	1422.45	1468.41	1582.6
ENSG00000081386.12|ZNF510	827	903	699	876
ENSG00000081665.14|ZNF506	709.55	724.4	587.95	690.78
ENSG00000081692.12|JMJD4	380.19	350.92	357.41	327.95
ENSG00000081721.11|DUSP12	382	344	328	338
ENSG00000081760.17|AACS	445	545	429	479
ENSG00000081791.9|DELE1	759	719	652	734
ENSG00000081803.16|CADPS2	78	59	70	52
ENSG00000081818.3|PCDHB4	39.01	36.01	33.02	32.02
ENSG00000081842.18|PCDHA6	901.03	878.85	848.35	866.34
ENSG00000081853.15|PCDHGA2	127.95	149.05	145.54	100.85
ENSG00000081870.11|HSPB11	309	356	322	343
ENSG00000081913.14|PHLPP1	2549	1933	2262	1785
ENSG00000081923.13|ATP8B1	80.57	92.68	96.73	108
ENSG00000082014.16|SMARCD3	890	769.9	768.55	825
ENSG00000082068.8|WDR70	820	666	706	639
ENSG00000082146.13|STRADB	855.72	954.44	782.56	890.84
ENSG00000082153.18|BZW1	7533.24	7241.73	6647.31	6994.64
ENSG00000082196.20|C1QTNF3	65.74	45	56.2	50.54
ENSG00000082212.13|ME2	1042	973	916	998
ENSG00000082213.18|C5orf22	718	827	602	650
ENSG00000082258.13|CCNT2	1124.56	1066	1011	1119
ENSG00000082269.16|FAM135A	491	410	499	534
ENSG00000082293.13|COL19A1	27	14	49	34
ENSG00000082438.16|COBLL1	184	237	159	218
ENSG00000082458.12|DLG3	127	113	109	131
ENSG00000082482.13|KCNK2	219	210	207	198
ENSG00000082497.12|SERTAD4	986	1309	927	1374
ENSG00000082512.15|TRAF5	520	607	428	513
ENSG00000082515.18|MRPL22	227	210	211	229
ENSG00000082516.9|GEMIN5	674	645	517	574
ENSG00000082641.16|NFE2L1	4808	4588	4474	4530
ENSG00000082684.15|SEMA5B	75	81	44	71
ENSG00000082701.15|GSK3B	2926	2314	2319	2138
ENSG00000082781.12|ITGB5	4663	4212	4424	4301
ENSG00000082805.20|ERC1	2024	1536	1584	1465
ENSG00000082898.16|XPO1	6913.14	7198.23	6217.99	6975.25
ENSG00000082996.19|RNF13	3401.99	2598	3262.99	2674.98
ENSG00000083067.22|TRPM3	912	839	715	722
ENSG00000083093.9|PALB2	402	370	298	358
ENSG00000083097.14|DOP1A	433.15	380.05	329.09	350.51
ENSG00000083099.11|LYRM2	1256.53	1262.18	1117.2	1244.92
ENSG00000083123.15|BCKDHB	399	306	319	300
ENSG00000083168.11|KAT6A	2659	2241	2036	2222
ENSG00000083223.18|TUT7	797	729	687	858
ENSG00000083290.20|ULK2	503	575	465	501
ENSG00000083312.17|TNPO1	7158	6037	6067	5939
ENSG00000083444.17|PLOD1	3726	3632	3984	3868
ENSG00000083454.22|P2RX5	30.38	26.82	27.32	20.09
ENSG00000083457.12|ITGAE	314	348	282	351
ENSG00000083520.15|DIS3	991.72	1004.91	817.81	992.2
ENSG00000083535.16|PIBF1	224	167	186	181
ENSG00000083544.14|TDRD3	169	155	172	129
ENSG00000083635.8|NUFIP1	228	238	189	252
ENSG00000083642.19|PDS5B	2201	1964	1692	1871
ENSG00000083720.13|OXCT1	2610.94	2589.92	2275.78	2473.95
ENSG00000083750.12|RRAGB	443	422	384	428
ENSG00000083799.17|CYLD	438	500	366	503
ENSG00000083807.10|SLC27A5	74.82	99.72	53.75	58.16
ENSG00000083812.12|ZNF324	284.81	291.06	270.67	258.37
ENSG00000083814.13|ZNF671	458	543	403	413
ENSG00000083817.9|ZNF416	201	173.95	194	192
ENSG00000083828.16|ZNF586	224.09	253.22	236	238
ENSG00000083838.15|ZNF446	231	252.07	200.36	191.49
ENSG00000083844.10|ZNF264	594	631	473	555
ENSG00000083845.9|RPS5	3990	4322	3521	3461
ENSG00000083857.14|FAT1	6180	4719	5690	4743
ENSG00000083896.12|YTHDC1	2055	1822	1724	1883
ENSG00000083937.9|CHMP2B	333	335	323	382
ENSG00000084070.12|SMAP2	542	520	489	548
ENSG00000084072.16|PPIE	885	892	727	808
ENSG00000084073.9|ZMPSTE24	1272	1212	1096	1344
ENSG00000084090.13|STARD7	3423.14	3630	3000	3315
ENSG00000084092.7|NOA1	404	386	335	334
ENSG00000084093.17|REST	1253	1138	1002	1189
ENSG00000084112.15|SSH1	2398	1954	2329	2279
ENSG00000084207.16|GSTP1	3075	3313	3156	3325
ENSG00000084234.17|APLP2	8549	8395	7612	8028
ENSG00000084444.14|FAM234B	430	453	405	379
ENSG00000084463.8|WBP11	1724	1848	1439	1643
ENSG00000084623.11|EIF3I	3048	2939	2883	2945
ENSG00000084628.10|NKAIN1	155	174	157	154
ENSG00000084636.18|COL16A1	247	209	157	208
ENSG00000084652.16|TXLNA	2897	3004	2563	2936
ENSG00000084676.15|NCOA1	1618	1477	1271	1224
ENSG00000084693.16|AGBL5	876.83	939.04	740	864.85
ENSG00000084710.14|EFR3B	979	1073	786	963
ENSG00000084731.15|KIF3C	948	932	782	890
ENSG00000084733.11|RAB10	2330	2131	2148	2075
ENSG00000084734.9|GCKR	9	17	8	12
ENSG00000084754.12|HADHA	3349	3351	2934	3316
ENSG00000084764.11|MAPRE3	318	254	275	242
ENSG00000084774.14|CAD	1760	1942	1483	1749
ENSG00000085063.16|CD59	3808.2	3169.87	3842.4	3542.58
ENSG00000085117.12|CD82	122	94	92	102
ENSG00000085185.15|BCORL1	482	537	418	519
ENSG00000085224.22|ATRX	2875	2458	2335	2416
ENSG00000085231.14|AK6	599.32	551.28	606.76	616.03
ENSG00000085274.15|MYNN	594.72	539.33	524.28	494.39
ENSG00000085276.18|MECOM	96	88	82	70
ENSG00000085365.18|SCAMP1	867	840	713	803
ENSG00000085377.14|PREP	2091	1750	1663	1693
ENSG00000085382.12|HACE1	228	245	191	206
ENSG00000085415.16|SEH1L	960	905.85	817.82	900
ENSG00000085433.15|WDR47	591	560	548	556
ENSG00000085449.15|WDFY1	1982	2058.61	1579	1764
ENSG00000085465.12|OVGP1	23	12	10	16
ENSG00000085491.17|SLC25A24	48.72	63.73	51.32	73
ENSG00000085511.20|MAP3K4	999.61	958.24	874.83	927.81
ENSG00000085514.16|PILRA	25.21	29.3	29.09	26.04
ENSG00000085644.13|ZNF213	178	187	146	146
ENSG00000085662.14|AKR1B1	2844	3166	2690	2921
ENSG00000085719.13|CPNE3	1901	1920	1692	1702
ENSG00000085721.12|RRN3	1134.85	1148.78	1055.48	1149.93
ENSG00000085733.16|CTTN	2089	2165	2197	2453
ENSG00000085741.13|WNT11	45	53	80.96	70
ENSG00000085760.14|MTIF2	712	686	593	743
ENSG00000085788.13|DDHD2	1104.75	1051	998	1048.32
ENSG00000085831.15|TTC39A	11	18	11	14
ENSG00000085832.17|EPS15	1018	937	979	897
ENSG00000085840.13|ORC1	323	392	261	397
ENSG00000085871.9|MGST2	38	44	28	29
ENSG00000085872.15|CHERP	2280.57	2412.06	2006.82	2051.35
ENSG00000085978.22|ATG16L1	738	749	759	808
ENSG00000085982.13|USP40	1286	1129	1084	1043
ENSG00000085998.14|POMGNT1	1536	1486.95	1350.12	1459.01
ENSG00000085999.12|RAD54L	527.17	741.67	436.85	655.51
ENSG00000086015.21|MAST2	1467	1519	1272	1437
ENSG00000086061.16|DNAJA1	3542	3441	3276	3862
ENSG00000086062.12|B4GALT1	273	321	288	294
ENSG00000086065.14|CHMP5	779	742	773	768
ENSG00000086102.19|NFX1	1085	1055	937	942
ENSG00000086189.10|DIMT1	827	877	744	745
ENSG00000086200.16|IPO11	943	920	844	870
ENSG00000086205.18|FOLH1	1406.81	1163.55	1543.71	1404
ENSG00000086232.13|EIF2AK1	3704.29	3877.2	3190.05	3518.8
ENSG00000086289.12|EPDR1	1078	1077	1024	1196
ENSG00000086300.15|SNX10	718	735.2	591	796
ENSG00000086475.15|SEPHS1	2839.96	2874.97	2517.98	2398
ENSG00000086504.16|MRPL28	695.36	649.32	590.75	677.8
ENSG00000086544.3|ITPKC	272	244	291	282
ENSG00000086589.12|RBM22	1059	1013	892	979
ENSG00000086598.11|TMED2	2530.7	2583.71	2216.82	2478.83
ENSG00000086619.13|ERO1B	145	128	136	140
ENSG00000086666.19|ZFAND6	2687	2572	2475	2571
ENSG00000086712.13|TXLNG	728	719.06	600.09	779.18
ENSG00000086730.17|LAT2	51	40	34	42
ENSG00000086758.16|HUWE1	6041	5150	5108	4898
ENSG00000086827.9|ZW10	755	898	632	846
ENSG00000086848.15|ALG9	646	718.7	620.33	559.27
ENSG00000086967.10|MYBPC2	14	17	22	13
ENSG00000087008.16|ACOX3	149	179	185	170
ENSG00000087053.18|MTMR2	1542	1709	1403	1561
ENSG00000087074.8|PPP1R15A	986	979	938	1057
ENSG00000087076.9|HSD17B14	48	30	43	29
ENSG00000087077.14|TRIP6	1338	1315	1193	1241
ENSG00000087085.15|ACHE	164	166	174	164
ENSG00000087086.15|FTL	5962	6322.99	5539	6388
ENSG00000087087.20|SRRT	4530	4814	3950	4596
ENSG00000087088.20|BAX	812	823	697	779
ENSG00000087095.13|NLK	703	645	696	688
ENSG00000087111.21|PIGS	1448	1436	1367	1374
ENSG00000087152.15|ATXN7L3	1291.5	1257.05	1214	1182.32
ENSG00000087157.19|PGS1	590.93	615	553	597.97
ENSG00000087191.13|PSMC5	3059.35	3213.5	2881.06	3208.35
ENSG00000087206.17|UIMC1	381	336	369	347
ENSG00000087245.13|MMP2	4684.97	3735.92	3804.98	3191.99
ENSG00000087250.8|MT3	157	144	113	106
ENSG00000087258.15|GNAO1	2212	2025	1717	1808
ENSG00000087263.16|OGFOD1	1335.88	1267.63	1207.62	1371.9
ENSG00000087266.16|SH3BP2	1363	1409	1223	1331
ENSG00000087269.16|NOP14	1032.34	1056.77	904.43	988.48
ENSG00000087274.17|ADD1	5506	5345	4998	5111
ENSG00000087299.12|L2HGDH	346	369	278.77	342.78
ENSG00000087301.9|TXNDC16	374	449	329	372
ENSG00000087302.9|RTRAF	3262.98	2914.41	3078.13	3119.16
ENSG00000087303.18|NID2	83.02	55.59	90.87	75.84
ENSG00000087338.5|GMCL1	598	570	559	582
ENSG00000087365.15|SF3B2	7815.1	8063	6514.48	7505.2
ENSG00000087448.11|KLHL42	1074	1055	861	1190
ENSG00000087460.24|GNAS	25803	24982	22111	22964
ENSG00000087470.17|DNM1L	1865.42	1827.54	1718.14	1849.56
ENSG00000087494.15|PTHLH	26	45	31	39
ENSG00000087502.18|ERGIC2	737	716	583	706
ENSG00000087586.17|AURKA	1791.98	1892.96	1628.95	1462.94
ENSG00000087884.14|AAMDC	503	490	388	486
ENSG00000087903.13|RFX2	279	298	207	262
ENSG00000087995.15|METTL2A	540.03	513.18	456.07	520.08
ENSG00000088035.17|ALG6	167	167	153	174
ENSG00000088038.19|CNOT3	1306.18	1359.78	1151.39	1213.9
ENSG00000088179.9|PTPN4	668	497	588	522
ENSG00000088205.13|DDX18	1933	1711	1613	1790
ENSG00000088247.17|KHSRP	6642	7057	5313	5717
ENSG00000088256.9|GNA11	1757.06	1860.44	1683	1551
ENSG00000088280.19|ASAP3	1427	1497	1180	1349
ENSG00000088298.13|EDEM2	320	283	311	304
ENSG00000088305.18|DNMT3B	604	877	581	731
ENSG00000088320.4|REM1	148.87	121	158	155
ENSG00000088325.16|TPX2	5356	6112	4572	5327
ENSG00000088340.16|FER1L4	15	23	14	12
ENSG00000088356.6|PDRG1	717.97	793.97	713.9	752.99
ENSG00000088367.22|EPB41L1	561	627	412	457
ENSG00000088387.19|DOCK9	640	583	631	570
ENSG00000088448.14|ANKRD10	984	855	850	885
ENSG00000088451.11|TGDS	130	112	91	153
ENSG00000088538.13|DOCK3	210	139	155	118
ENSG00000088543.15|C3orf18	179	155	134	171
ENSG00000088682.14|COQ9	1460	1516	1221	1377
ENSG00000088727.12|KIF9	68.44	46.45	52.37	63.27
ENSG00000088756.12|ARHGAP28	37	31	36	31
ENSG00000088766.11|CRLS1	570.96	490.47	556.09	455.46
ENSG00000088808.17|PPP1R13B	286.68	357.03	253.77	307.23
ENSG00000088812.18|ATRN	3190	2769	2897	2648
ENSG00000088826.18|SMOX	518	519	466	508
ENSG00000088827.12|SIGLEC1	15	21	10	16
ENSG00000088832.17|FKBP1A	3473.23	3439.79	3198.49	3273.67
ENSG00000088833.17|NSFL1C	1795	1784	1554	1829
ENSG00000088836.13|SLC4A11	354	519	235	359
ENSG00000088854.12|C20orf194	775	713	716	698
ENSG00000088876.11|ZNF343	516	465	465.97	539.47
ENSG00000088881.20|EBF4	895	1086	759	809
ENSG00000088882.8|CPXM1	681	904	666	857
ENSG00000088888.18|MAVS	4760	5016	4168	4742
ENSG00000088899.15|LZTS3	418	486	314	311
ENSG00000088930.8|XRN2	5417.41	4993.25	4613.45	5108.67
ENSG00000088970.16|KIZ	698	558	618	543
ENSG00000088986.11|DYNLL1	3556	3605	3473	3532
ENSG00000089006.16|SNX5	2693	2735	2303	2617
ENSG00000089009.15|RPL6	7505.27	7099.04	6257.95	6777.52
ENSG00000089022.14|MAPKAPK5	658.2	709.36	635.9	747.53
ENSG00000089041.17|P2RX7	840.03	708.49	790.87	686.16
ENSG00000089048.14|ESF1	1051	1007	893	1009
ENSG00000089050.16|RBBP9	826	802	682	825
ENSG00000089053.13|ANAPC5	1846	1876	1551.37	1739
ENSG00000089057.15|SLC23A2	1739	1773	1460	1460
ENSG00000089060.11|SLC8B1	286	265	243	266
ENSG00000089063.15|TMEM230	1420	1404	1234	1413
ENSG00000089091.16|DZANK1	210	141	159	167
ENSG00000089094.19|KDM2B	1162.32	1190.91	1004.93	1137.71
ENSG00000089123.16|TASP1	178	155	162	146
ENSG00000089127.13|OAS1	150	214	128	190
ENSG00000089154.11|GCN1	2754	2598	2326	2350
ENSG00000089157.16|RPLP0	16299.61	16303.74	13969.51	14182.37
ENSG00000089159.16|PXN	714.65	841.74	698.08	765.65
ENSG00000089163.4|SIRT4	13	15	17	26
ENSG00000089169.15|RPH3A	612	802	321	457
ENSG00000089177.18|KIF16B	1541	1313	1403	1391
ENSG00000089195.15|TRMT6	895	874	720	895
ENSG00000089199.10|CHGB	223	198	179	181
ENSG00000089220.5|PEBP1	2878	2902	2495	2681
ENSG00000089225.19|TBX5	124	137.89	74	95
ENSG00000089234.16|BRAP	412	448	430	447
ENSG00000089248.7|ERP29	1191	1362.84	1099.48	1347
ENSG00000089280.18|FUS	15306	15961	12783	14216
ENSG00000089289.16|IGBP1	959	882	912	1020
ENSG00000089327.14|FXYD5	221	241	286	266
ENSG00000089335.21|ZNF302	1529.28	1463.63	1268.1	1560.17
ENSG00000089351.14|GRAMD1A	915	838	713	796
ENSG00000089486.17|CDIP1	516	558	429	428
ENSG00000089505.17|CMTM1	18.76	18.91	12.43	19.91
ENSG00000089597.18|GANAB	10901	10745	9664	10733
ENSG00000089639.11|GMIP	781	888	572	637
ENSG00000089682.16|RBM41	188	165	134	162
ENSG00000089685.15|BIRC5	2374	2573	1903	2097
ENSG00000089692.9|LAG3	60	59	43	47
ENSG00000089693.10|MLF2	1788	1705	1556	1644
ENSG00000089723.10|OTUB2	48.16	68.38	27.43	39.64
ENSG00000089737.17|DDX24	3376.84	3473.62	2913.57	3326.36
ENSG00000089775.11|ZBTB25	323.66	329.55	300.35	364.36
ENSG00000089818.18|NECAP1	588	541.79	547.39	574
ENSG00000089820.15|ARHGAP4	54	62	52.46	43.01
ENSG00000089847.12|ANKRD24	34	41	28	34
ENSG00000089876.11|DHX32	607.96	673.86	566.99	570.08
ENSG00000089902.10|RCOR1	1073	1127	945	1080
ENSG00000089916.17|GPATCH2L	2358	2206	2061	2430
ENSG00000090006.17|LTBP4	2010	2164	1755	1748
ENSG00000090013.10|BLVRB	260	322	263	324
ENSG00000090020.11|SLC9A1	327	338	290	326
ENSG00000090054.15|SPTLC1	1279	1225.23	1148.17	1342.7
ENSG00000090060.17|PAPOLA	4308	3919	3634	3615
ENSG00000090061.17|CCNK	1250.19	1304.52	1117.89	1097.41
ENSG00000090097.21|PCBP4	2263	2571	2057	2149
ENSG00000090238.11|YPEL3	208.68	216	149	199
ENSG00000090263.16|MRPS33	356	340	284	327
ENSG00000090266.13|NDUFB2	533.72	521.9	484.61	542.33
ENSG00000090273.14|NUDC	2647.13	2769.99	2260.99	2654
ENSG00000090316.16|MAEA	1294	1295	1168	1177
ENSG00000090339.9|ICAM1	55	57	59	44
ENSG00000090372.15|STRN4	2436	2661	2057.94	2151.97
ENSG00000090432.7|MUL1	590	624	565	593
ENSG00000090447.12|TFAP4	126	107	74	113
ENSG00000090470.15|PDCD7	585	558	582	657
ENSG00000090487.11|SPG21	993	999	928	1007
ENSG00000090520.11|DNAJB11	1238.51	1267.95	1394.98	1365.16
ENSG00000090534.19|THPO	28	35	29	31
ENSG00000090539.15|CHRD	167	211	182	199
ENSG00000090554.13|FLT3LG	79.78	110.32	84	78.54
ENSG00000090565.16|RAB11FIP3	900	933	832	806
ENSG00000090581.10|GNPTG	497.31	531.24	465.72	461.58
ENSG00000090612.21|ZNF268	568	539	466	538
ENSG00000090615.15|GOLGA3	1388	1344	1213	1171
ENSG00000090621.14|PABPC4	2279.99	2356	1902.97	2141.98
ENSG00000090661.12|CERS4	565	461	531	445
ENSG00000090674.16|MCOLN1	306	317	258	300
