LMP_923_R2B1	LMP.Olap_923_R2B1	LMP_923_R3B1	LMP.Olap_923_R3B1	LMP_923_R1B2	LMP.Olap_923_R1B2
ENSG00000006025.12|AC003665.1	396	417	340	428	365	370
ENSG00000006042.12|TMEM98	148	88	71	84	96	52
ENSG00000006047.13|YBX2	90	136	98	124	125	87
ENSG00000006062.16|MAP3K14	244.06	270.38	227.59	337.37	272.56	290.55
ENSG00000006071.13|ABCC8	749	611	501	589	710	471
ENSG00000006118.14|TMEM132A	3406.82	3591.75	3152	3433.95	3601.87	3323.62
ENSG00000006125.18|AP2B1	5563	5157	4234	6028	5963	4845
ENSG00000006194.10|ZNF263	1179.16	1124.31	741.89	1115.58	1156.68	877.9
ENSG00000006210.7|CX3CL1	1308	1684	1350	2015	1553	1909
ENSG00000006282.21|SPATA20	387	514	402	481	445	421
ENSG00000006283.18|CACNA1G	101	128	78	116	96	91.22
ENSG00000006327.13|TNFRSF12A	437	391	413	575	511	519
ENSG00000006432.15|MAP3K9	796	789	639	896	795	846
ENSG00000006451.8|RALA	1226	1051	854	1320	1327	1079
ENSG00000006453.14|BAIAP2L1	388.41	338.02	271.18	358.03	330.14	347.28
ENSG00000006459.11|KDM7A	265	159	182	175	241	124
ENSG00000006468.14|ETV1	10934	8237	7196	8896	10726	7089
ENSG00000006530.17|AGK	1587.92	1226.23	1091.66	1429.32	1489.99	1161.1
ENSG00000006534.16|ALDH3B1	193	254	176	260	183	231
ENSG00000006576.16|PHTF2	2291	2328	1699	2996	2679	2422
ENSG00000006607.14|FARP2	1377.32	1370.72	1040.77	1607.04	1442	1215.31
ENSG00000006625.18|GGCT	1812	1846	1133.52	2162	1883	1768.99
ENSG00000006634.8|DBF4	1448.87	1189.96	1042.3	1550.89	1597.95	1185.07
ENSG00000006638.11|TBXA2R	28	36	18	35	19	17
ENSG00000006652.14|IFRD1	2303	1894	1525	1974	2332	1619
ENSG00000006695.11|COX10	278	238.99	176	263.93	252.94	221
ENSG00000006704.10|GTF2IRD1	700	647	510	619	744	509
ENSG00000006712.15|PAF1	2041	1899	1448	1890	1989	1696
ENSG00000006715.16|VPS41	2115	1910	1345	2066	2023	1586
ENSG00000006744.19|ELAC2	1332	1215	1009	1375	1479	1281
ENSG00000006756.16|ARSD	331.26	309.17	275	346.77	364.12	272
ENSG00000006831.10|ADIPOR2	2218	2120	1744	2315	2487	2026
ENSG00000006837.12|CDKL3	58.85	30.96	43.55	66.59	39.42	49.05
ENSG00000007047.15|MARK4	649	611	550	667	596	543
ENSG00000007062.11|PROM1	1940	1510	1107	1361	1577	959
ENSG00000007080.11|CCDC124	637	522	546	615	618	610
ENSG00000007168.13|PAFAH1B1	4558	4096.24	3178	4453	4672.4	3676
ENSG00000007171.17|NOS2	29	34	25	43	19	20
ENSG00000007174.18|DNAH9	467	256	293	285	418	245
ENSG00000007202.15|KIAA0100	6038.35	5630.15	4270.83	6256.51	5773.39	5398.87
ENSG00000007237.18|GAS7	13738	14152	10521	15553	14176	13343
ENSG00000007255.10|TRAPPC6A	91	122	82	88	71	100
ENSG00000007341.19|ST7L	436.43	396.12	296	404.4	385.08	385.06
ENSG00000007372.22|PAX6	418.45	294.51	287.94	322.99	367.09	240.96
ENSG00000007376.8|RPUSD1	256	298	299	254	316	326
ENSG00000007384.15|RHBDF1	255	243	206	200	235	179
ENSG00000007392.16|LUC7L	2075	1766	1211	1789	1989	1367
ENSG00000007402.11|CACNA2D2	39	49	47	35	35	26
ENSG00000007516.13|BAIAP3	825.81	926.87	831.62	810.12	738.13	693.93
ENSG00000007520.4|TSR3	303.19	311.13	281.38	290.88	330.87	297.07
ENSG00000007541.16|PIGQ	522.92	600.84	554.17	596.92	536.96	566.07
ENSG00000007545.15|CRAMP1	1431.42	1277.94	1028.79	1444.12	1415.49	1185.63
ENSG00000007866.21|TEAD3	304	260	196	226	243	196
ENSG00000007923.16|DNAJC11	2059.23	1959.47	1605.03	2109.6	2197.01	1946.56
ENSG00000007944.15|MYLIP	411	476	261	406	429	329
ENSG00000007968.7|E2F2	413	490	330	627	397	483
ENSG00000008018.9|PSMB1	2567	2247	1813	2562	2628	2173
ENSG00000008056.14|SYN1	181	179.62	147.58	180	203	166
ENSG00000008083.14|JARID2	1183	1235	892	1299	1199	1197
ENSG00000008086.11|CDKL5	187	188	125	213	195	188
ENSG00000008128.23|CDK11A	884.27	835.11	633.52	954.61	951.64	791.26
ENSG00000008130.15|NADK	1806	1871	1487	1985	2033	1836
ENSG00000008226.19|DLEC1	10.46	17.03	8.57	8.37	9.18	8.67
ENSG00000008256.16|CYTH3	583	611	473	576	603	555
ENSG00000008277.14|ADAM22	1372	1117	899	1218	1311	1020
ENSG00000008282.8|SYPL1	2205	2327	1648	2612	2529	2072
ENSG00000008283.16|CYB561	282	252	248	309	256	243
ENSG00000008294.21|SPAG9	6750	6453	4574	7085	6714	5313
ENSG00000008300.17|CELSR3	2995	2920	2415	2924	2858	2704
ENSG00000008311.15|AASS	1452	1160	976	1314.99	1373	1011
ENSG00000008324.11|SS18L2	256	319	176	285	310	235
ENSG00000008382.15|MPND	314	347.17	255	361.76	311	302.95
ENSG00000008405.12|CRY1	465	353	343	458	533	364
ENSG00000008441.16|NFIX	1659	1840	1351	1880	1665	1627
ENSG00000008513.16|ST3GAL1	140	118	94	115	137	159
ENSG00000008710.19|PKD1	1271.02	1538.23	1241.5	1313.78	1135.16	1307.91
ENSG00000008735.14|MAPK8IP2	531	526	485	550	551	495
ENSG00000008838.20|MED24	1906	2093	1672	2227	2101	2006
ENSG00000008853.16|RHOBTB2	1140.38	1483.76	1070.07	1534.91	1426.6	1435.7
ENSG00000008869.12|HEATR5B	777	710	509	774	719	639
ENSG00000008952.17|SEC62	2046	1857	1496	2156	2280	1600
ENSG00000008988.9|RPS20	6440	5513	4396	5624.98	6092.99	4501
ENSG00000009307.16|CSDE1	12427	10842	9162	12544	13102	9777.96
ENSG00000009335.18|UBE3C	3344	2961	2567	3444	3637	3019
ENSG00000009413.15|REV3L	3808.05	3034.55	2608.19	3759.05	3657.24	2630.72
ENSG00000009724.16|MASP2	52	69	33	26	39	36
ENSG00000009780.15|FAM76A	150	106	104	144	119	104
ENSG00000009830.11|POMT2	1038	867	821	1028	1176	887
ENSG00000009844.16|VTA1	1549	1163	978	1385	1451	1142
ENSG00000009950.16|MLXIPL	67	74	54	93	74	70
ENSG00000009954.11|BAZ1B	9328	8593	6580	9618	9639	7939
ENSG00000010017.13|RANBP9	2945.71	3017.85	1880.24	3063.03	2801.27	2568.95
ENSG00000010072.16|SPRTN	291.89	330.69	263.4	375.64	313.01	338.67
ENSG00000010165.20|EEF1AKNMT	917	938	726	1020	1145	953
ENSG00000010219.13|DYRK4	163.49	145	97	135.63	114.95	111.49
ENSG00000010244.18|ZNF207	4666	4020	3323	4472	4934	3568
