LMP_602_R1B1	LMP.Olap_602_R1B1	LMP_602_R2B2	LMP.Olap_602_R2B2
ENSG00000104147.9|OIP5	370.33	426.51	360.93	439.3
ENSG00000104154.7|SLC30A4	374	438.94	424	455.88
ENSG00000104164.10|BLOC1S6	1635	1774	1727	1760
ENSG00000104177.18|MYEF2	4390.46	4715.66	4702.98	4383.31
ENSG00000104205.14|SGK3	66.23	68.09	56.44	62
ENSG00000104213.12|PDGFRL	29.57	33.94	19.69	36.78
ENSG00000104218.14|CSPP1	431.89	537.8	511.89	489
ENSG00000104219.13|ZDHHC2	500	503	514	560
ENSG00000104221.12|BRF2	289.5	328.09	325.07	336.87
ENSG00000104228.13|TRIM35	399	477	485	449
ENSG00000104231.11|ZFAND1	271	246	201	253
ENSG00000104267.10|CA2	20	16	10	20
ENSG00000104290.11|FZD3	1224	1297	1381	1329
ENSG00000104299.15|INTS9	399	401	431	437
ENSG00000104312.8|RIPK2	194	187	243	247
ENSG00000104313.19|EYA1	1143.95	1135.97	1247.96	1119
ENSG00000104320.13|NBN	1082	1090	1163	1072
ENSG00000104325.7|DECR1	927	935	1044	1012
ENSG00000104327.7|CALB1	36	53	34	46
ENSG00000104331.9|IMPAD1	1874	1859	1951	1871
ENSG00000104341.16|LAPTM4B	3196	3380	3294	3073
ENSG00000104343.20|UBE2W	576.94	678.42	638.3	660.54
ENSG00000104356.11|POP1	233	279	244	282
ENSG00000104365.15|IKBKB	1216	1407	1639	1483
ENSG00000104368.17|PLAT	610	603	710	668
ENSG00000104369.5|JPH1	95	115	167	138
ENSG00000104375.17|STK3	236	274	281	320
ENSG00000104381.12|GDAP1	491	577	552	536
ENSG00000104388.15|RAB2A	1125	1183	1184	1136
ENSG00000104408.9|EIF3E	2758.99	3030	2997.75	2921.72
ENSG00000104412.8|EMC2	476	454	517	500
ENSG00000104415.14|CCN4	579	627	351	354
ENSG00000104419.14|NDRG1	3132	3416	3972	4066
ENSG00000104427.12|ZC2HC1A	179	216	187	161
ENSG00000104435.13|STMN2	12	21	3	6
ENSG00000104442.10|ARMC1	769	978	804	917
ENSG00000104447.12|TRPS1	971	1092	1063	1000
ENSG00000104450.12|SPAG1	102	138	104	155
ENSG00000104472.10|CHRAC1	452	550	495	506
ENSG00000104490.18|NCALD	785	920	732	790
ENSG00000104497.14|SNX16	143	164	162	150
ENSG00000104517.13|UBR5	2703	2890.03	3029.96	2891.6
ENSG00000104518.11|GSDMD	265	322	301	324
ENSG00000104522.16|TSTA3	609	676	726	738
ENSG00000104524.14|PYCR3	219	241	273	206
ENSG00000104529.17|EEF1D	4384.31	5104.61	4980.45	4275.78
ENSG00000104549.12|SQLE	2892	3001	3672	3367
ENSG00000104611.12|SH2D4A	147	137	151	122
ENSG00000104613.12|INTS10	1132	1182	1146	1221
ENSG00000104626.14|ERI1	716	835	768	937
ENSG00000104635.14|SLC39A14	659	754	730	737
ENSG00000104643.10|MTMR9	730.13	770.31	800.27	825.64
ENSG00000104660.18|LEPROTL1	3561.08	3832	4238	4155
ENSG00000104671.8|DCTN6	701.47	787	748	667
ENSG00000104679.11|R3HCC1	604	675	731	661
ENSG00000104687.14|GSR	1503	1771	1638	1603
ENSG00000104691.15|UBXN8	190	225	228	221
ENSG00000104695.13|PPP2CB	1718	1787	1848	1907
ENSG00000104714.14|ERICH1	204	199	220	193
ENSG00000104723.20|TUSC3	959	1066	1129	1039
ENSG00000104728.16|ARHGEF10	101.77	89.92	88.58	101.21
ENSG00000104731.14|KLHDC4	655	688	713	698
ENSG00000104738.17|MCM4	4036	5410	4402	4955
ENSG00000104756.16|KCTD9	470	597	646	718
ENSG00000104763.19|ASAH1	1645.97	1677	1763	1602
ENSG00000104765.16|BNIP3L	1273	1330	1167	1186
ENSG00000104774.13|MAN2B1	1984.72	2128.73	2235.72	2065.96
ENSG00000104805.16|NUCB1	1964	2219	2243	2138
ENSG00000104812.15|GYS1	801	812	882	797
ENSG00000104814.13|MAP4K1	25	29	14	17
ENSG00000104823.9|ECH1	938	938	978.57	854
ENSG00000104824.17|HNRNPL	6020.05	6866.99	6553.27	6002.01
ENSG00000104825.17|NFKBIB	324	430	379	354
ENSG00000104833.12|TUBB4A	855.42	948.75	830.38	737.69
ENSG00000104835.14|SARS2	359.72	357.26	397.8	290.06
ENSG00000104852.15|SNRNP70	4788	5480	5080	4894
ENSG00000104853.16|CLPTM1	1790	2205	2057	1898
ENSG00000104856.14|RELB	99	102	104	98
ENSG00000104859.15|CLASRP	933	1119	1190	991
ENSG00000104863.12|LIN7B	18	26	35	23
ENSG00000104866.11|PPP1R37	510	578	571	510
ENSG00000104870.12|FCGRT	715	818	629	588
ENSG00000104872.11|PIH1D1	791	962	890	861
ENSG00000104880.17|ARHGEF18	1018	936.18	1139	948
ENSG00000104881.16|PPP1R13L	59	70	57	74
ENSG00000104883.8|PEX11G	43	30	36	21
ENSG00000104884.15|ERCC2	964	1105	1074	928
ENSG00000104885.18|DOT1L	3161.02	3953.45	3311.04	3059.7
ENSG00000104886.11|PLEKHJ1	1256.96	1347.55	1482.95	1329.29
ENSG00000104888.10|SLC17A7	31	23	25	21
ENSG00000104889.6|RNASEH2A	751.92	1009.81	1017.21	1011.66
ENSG00000104894.12|CD37	99.19	99.43	96.43	98
ENSG00000104897.10|SF3A2	3314	3833	3584.99	2970
ENSG00000104899.7|AMH	909	1134	914	863
ENSG00000104901.6|DKKL1	12	17	5	16
ENSG00000104904.12|OAZ1	5469.34	5995.54	6257.33	5807.77
ENSG00000104907.12|TRMT1	917	967.05	1111	1046
ENSG00000104915.15|STX10	844	992	980	864
ENSG00000104936.17|DMPK	1566.43	1693.47	1776.42	1468.75
ENSG00000104946.13|TBC1D17	473.1	448.33	495.05	427.36
ENSG00000104953.20|TLE6	73	54	64	81
ENSG00000104957.14|CCDC130	709	846	853	766
ENSG00000104960.15|PTOV1	2932.39	3364.37	3266.16	3067.58
ENSG00000104964.14|AES	5510.76	6160.55	6314.23	5724.79
ENSG00000104967.7|NOVA2	1101	1078	1135	976
ENSG00000104969.10|SGTA	2284	2599	2434	2180
ENSG00000104973.18|MED25	690.16	724.19	788.45	724.97
ENSG00000104976.12|SNAPC2	335	366	344	302
ENSG00000104979.9|C19orf53	1084	1216	1266	1127
ENSG00000104980.8|TIMM44	1060	1272	1278	1206
ENSG00000104983.8|CCDC61	37	57	45	50
ENSG00000104998.4|IL27RA	255	283	302	268
ENSG00000105011.9|ASF1B	1220	1777	1202	1422
ENSG00000105053.11|VRK3	470	615.05	609	547
ENSG00000105058.12|FAM32A	1809	1980	1994	1927
ENSG00000105063.19|PPP6R1	1519.02	1652.9	1540.52	1540.39
ENSG00000105072.9|C19orf44	282.43	298.94	346.45	324.65
ENSG00000105085.10|MED26	295.43	291.89	265.76	218.46
ENSG00000105088.8|OLFM2	36	57	40	57
ENSG00000105127.9|AKAP8	872	917	953	755
ENSG00000105135.16|ILVBL	855	997	886	816
ENSG00000105136.20|ZNF419	571.4	537.15	618.9	637.68
ENSG00000105137.13|SYDE1	684	710	816	732
ENSG00000105143.12|SLC1A6	29	30	29	23
ENSG00000105171.10|POP4	365	379	428	372
ENSG00000105173.14|CCNE1	181	225	212	221
ENSG00000105176.18|URI1	959	1085	1002	933
ENSG00000105185.12|PDCD5	776	866	938	869
ENSG00000105186.16|ANKRD27	428	437	542	490
ENSG00000105193.9|RPS16	5101.98	5380.87	4898	4453.89
ENSG00000105197.11|TIMM50	982	1116	1072	970
ENSG00000105202.9|FBL	2037	2271	2253	2281
ENSG00000105204.14|DYRK1B	263	286	245	202
ENSG00000105220.16|GPI	3697	4563	4020.64	3994
ENSG00000105221.17|AKT2	3466	3798	3530	3060
ENSG00000105223.20|PLD3	1203	1235	1240	1078
ENSG00000105227.14|PRX	58	76	54	61
ENSG00000105229.7|PIAS4	542	600	673	540
ENSG00000105245.9|NUMBL	662	704	732	624
ENSG00000105248.16|YJU2	378	437	407	344
ENSG00000105251.10|SHD	298	421	332	325
ENSG00000105254.12|TBCB	1087.72	1105.7	1366.94	1101.55
ENSG00000105255.11|FSD1	831	971	946	948
ENSG00000105258.9|POLR2I	480.08	512.3	550.28	458.45
ENSG00000105270.15|CLIP3	1850	1827	1884	1739
ENSG00000105281.12|SLC1A5	291	297.54	279.57	309
ENSG00000105287.12|PRKD2	562	667	705	659
ENSG00000105290.12|APLP1	1147	1230	1195	1255
ENSG00000105298.14|CACTIN	778.35	828.6	897.9	765.64
ENSG00000105321.14|CCDC9	247	305	332	261
ENSG00000105323.16|HNRNPUL1	6258.64	7341.59	6896.19	6406.01
ENSG00000105325.14|FZR1	1572	1700	1643	1398
ENSG00000105327.17|BBC3	9	12	12	22
ENSG00000105329.9|AC011462.1	685.01	805.02	824.01	686.01
ENSG00000105339.10|DENND3	128	154	114	110
ENSG00000105341.18|DMAC2	827	850	880	840
ENSG00000105355.9|PLIN3	997	1136	990	869
ENSG00000105357.16|MYH14	1831.8	2105.09	1996.6	1656.12
ENSG00000105364.13|MRPL4	771.63	875.95	834.7	779
ENSG00000105372.7|RPS19	5758	5930	5399	4932
ENSG00000105373.19|NOP53	914	1119	963	717
ENSG00000105376.5|ICAM5	53	53	50	37
ENSG00000105379.9|ETFB	431	467	577.63	513
ENSG00000105393.16|BABAM1	1254	1446	1440	1313
ENSG00000105397.13|TYK2	2320	2672	2673	2359
ENSG00000105401.9|CDC37	2663	3152.23	3295	2900
ENSG00000105402.8|NAPA	1048.21	1253.64	1178.78	1080.4
ENSG00000105404.11|RABAC1	206	238	251	191
ENSG00000105409.18|ATP1A3	189	218	173	152
ENSG00000105419.17|MEIS3	896	976	1145	870
ENSG00000105426.16|PTPRS	5591	5963	6063	4726
ENSG00000105429.13|MEGF8	2019	2140	1986	1638
ENSG00000105438.9|KDELR1	1591	1908	1785	1691
ENSG00000105443.15|CYTH2	5171	5815	5960	5536.4
ENSG00000105447.12|GRWD1	630	664	674	544
ENSG00000105464.3|GRIN2D	63	68	71	62
ENSG00000105472.13|CLEC11A	31	33	32	26
ENSG00000105483.18|CARD8	775.29	896.98	1040.13	948.11
ENSG00000105486.14|LIG1	1025	1491	1153	1320
ENSG00000105497.8|ZNF175	325	378	411	393
ENSG00000105499.14|PLA2G4C	178	168	168	175.92
ENSG00000105514.8|RAB3D	188.91	221.12	217.89	185.12
ENSG00000105516.10|DBP	72.01	64.55	51.16	53.15
ENSG00000105518.14|TMEM205	694.21	852.76	753.8	769.23
ENSG00000105519.16|CAPS	267	246	293	251
ENSG00000105520.10|PLPPR2	1083	1247	1017	1129
ENSG00000105538.10|RASIP1	43	33	38	33
ENSG00000105552.15|BCAT2	411.91	474	443	473.85
ENSG00000105556.11|MIER2	609	681	746	689
ENSG00000105559.12|PLEKHA4	1031	1090	1063	1001
ENSG00000105568.18|PPP2R1A	4794	5148.96	4666	4408
ENSG00000105576.15|TNPO2	4526	5197	4850	4494
ENSG00000105583.11|WDR83OS	836.01	935.71	993.01	1014.56
ENSG00000105605.7|CACNG7	159	177	199	135
ENSG00000105607.13|GCDH	425	493.58	501.29	481
ENSG00000105612.9|DNASE2	619	659	702	645
ENSG00000105613.10|MAST1	618	723	711	637
ENSG00000105617.3|LENG1	135.93	129.22	180.83	132.1
ENSG00000105618.14|PRPF31	990.38	1182.6	1201.41	1022.97
ENSG00000105619.13|TFPT	225.27	244.33	249.73	228.6
ENSG00000105639.18|JAK3	4	20	14	11
ENSG00000105640.13|RPL18A	5460.37	5546.73	5085.88	4483.2
ENSG00000105642.15|KCNN1	57	65	58	33
ENSG00000105643.10|ARRDC2	166	213	193	239
ENSG00000105647.17|PIK3R2	1863.96	2553.7	2417.05	2046.99
ENSG00000105649.9|RAB3A	78	96	69	76
ENSG00000105655.18|ISYNA1	122.1	194.03	142.46	123.25
ENSG00000105656.13|ELL	320.79	347	368.58	304
ENSG00000105662.16|CRTC1	589	679	623	487
ENSG00000105669.14|COPE	1711	1934	1963	1665
ENSG00000105671.12|DDX49	754	847	776	708
ENSG00000105676.14|ARMC6	887	950	956	848
ENSG00000105677.12|TMEM147	385	484	459	420
ENSG00000105696.9|TMEM59L	441	509	364	321
ENSG00000105698.16|USF2	1136	1193	1197	1057
ENSG00000105699.16|LSR	231	292	333	310
ENSG00000105700.11|KXD1	1477.78	1687.35	1735.52	1535.62
ENSG00000105701.16|FKBP8	2870	2976	3080	2533
ENSG00000105705.16|AC004475.1	988	1136	1147	1013
ENSG00000105708.9|ZNF14	235	252	254	240
ENSG00000105711.12|SCN1B	123	143	114	112
ENSG00000105717.14|PBX4	47	57	44	34
ENSG00000105722.10|ERF	1789.86	2083	2010	1750
ENSG00000105723.12|GSK3A	1319.73	1464.09	1510	1397
ENSG00000105726.17|ATP13A1	2168	2292	2094	1959
ENSG00000105732.13|ZNF574	338	331	328	319
ENSG00000105737.9|GRIK5	64	60	61	46
ENSG00000105738.11|SIPA1L3	623	682	724	537
ENSG00000105750.15|ZNF85	539.91	609	610.08	582
ENSG00000105755.8|ETHE1	116	163	174	144
ENSG00000105767.3|CADM4	1761	1948	2107	1805
ENSG00000105771.14|SMG9	1181	1357	1269	1294
ENSG00000105778.19|AVL9	1414.86	1631.86	1645.85	1652.88
ENSG00000105792.19|CFAP69	22	37	24	36
ENSG00000105793.15|GTPBP10	599	555.97	575	516
ENSG00000105808.17|RASA4	411.57	396.34	387.9	312.49
ENSG00000105810.9|CDK6	9286	10207	9641	9483.05
ENSG00000105819.14|PMPCB	1625.48	1831.62	1743.15	1850.77
ENSG00000105821.15|DNAJC2	959.52	1011.38	1054.85	1131.23
ENSG00000105829.13|BET1	202	226	260	260
ENSG00000105835.12|NAMPT	796.7	942.79	837.28	970.14
ENSG00000105849.6|TWISTNB	273	308	263	260
ENSG00000105854.13|PON2	2194.59	2323.51	2443.37	2374.53
ENSG00000105855.10|ITGB8	1462	1348	1478	1378
ENSG00000105856.14|HBP1	1153.76	1103.91	1132.36	1049.73
ENSG00000105865.11|DUS4L	189.44	213.21	224.81	184.08
ENSG00000105866.15|SP4	777	976	887	939
ENSG00000105875.14|WDR91	300	358	349	334.98
ENSG00000105877.18|DNAH11	26.33	33.49	22.25	41.55
ENSG00000105879.12|CBLL1	1071	1135	1102	1020.64
ENSG00000105880.7|DLX5	17	11	5	5
ENSG00000105887.11|MTPN	2204.08	2285.02	2128.74	2142.81
ENSG00000105894.11|PTN	10262	11099	11417	10664
ENSG00000105926.15|MPP6	1734	2301	1709	1872
ENSG00000105928.15|GSDME	608	655	649	596
ENSG00000105939.13|ZC3HAV1	874	994	968	1095
ENSG00000105948.13|TTC26	160	150	166	186
ENSG00000105953.15|OGDH	3623	4038	4414	4097
ENSG00000105963.15|ADAP1	29.16	71.82	65	21.92
ENSG00000105968.18|H2AFV	5784	6530.71	5506.68	5408.92
ENSG00000105971.15|CAV2	87	84	107	104
ENSG00000105974.12|CAV1	118	146	166	179
ENSG00000105982.16|RNF32	11.13	12.19	12.19	21
ENSG00000105983.21|LMBR1	610.87	666.81	655.81	616
ENSG00000105991.8|HOXA1	34	49	64	39
ENSG00000105993.15|DNAJB6	1109.8	1270.51	1327.67	1174.69
ENSG00000105996.7|HOXA2	205	268	236	214
ENSG00000105997.22|HOXA3	241	314	300	260
ENSG00000106003.13|LFNG	268	288	279	279
ENSG00000106004.5|HOXA5	76	85	76	83
ENSG00000106006.6|HOXA6	30.28	36.96	37.74	32.57
ENSG00000106009.16|BRAT1	1002	1120	985	989
ENSG00000106012.18|IQCE	692	788	772	656
ENSG00000106025.8|TSPAN12	234	191	222	211
ENSG00000106028.11|SSBP1	780	784	821	776
ENSG00000106031.8|HOXA13	199	227	169	157
ENSG00000106049.9|HIBADH	391	463	409	353
ENSG00000106052.13|TAX1BP1	3471.12	3749.92	3415.66	3573.56
ENSG00000106066.15|CPVL	93	149	115	86
ENSG00000106069.22|CHN2	129	158.27	91	103.62
ENSG00000106070.19|GRB10	2694	2754	2823	2803
ENSG00000106077.18|ABHD11	307	384	323	328
ENSG00000106078.19|COBL	800	913	1115	1058
ENSG00000106080.10|FKBP14	958.98	908.51	980.58	959.98
ENSG00000106086.20|PLEKHA8	827.54	861.61	964.46	904.91
ENSG00000106089.12|STX1A	231	254	318.72	277
ENSG00000106100.11|NOD1	157.39	187.51	196.34	183.84
ENSG00000106105.14|GARS	2885	3029	3199	3134
ENSG00000106125.14|MINDY4	149	149.07	167	189.12
ENSG00000106133.18|NSUN5P2	391.45	513.18	462.24	468.57
ENSG00000106144.20|CASP2	1178	1345	1272	1250
ENSG00000106153.13|CHCHD2	2727	3044.94	2612.99	2579
ENSG00000106211.9|HSPB1	140	204	174	152
ENSG00000106244.13|PDAP1	2863.83	3061.67	3175.9	2892.84
ENSG00000106245.11|BUD31	1143.56	1250.13	1301.18	1182.68
ENSG00000106246.17|PTCD1	350.06	313.76	394.52	387.2
ENSG00000106258.15|CYP3A5	91	109	114	95
ENSG00000106261.17|ZKSCAN1	2529	2472	2742	2426
ENSG00000106263.18|EIF3B	3497	3956	3819	3610
ENSG00000106266.11|SNX8	529	612	506	494
ENSG00000106268.15|NUDT1	398	481	495	445
ENSG00000106278.12|PTPRZ1	27850	26686	29177	26572
ENSG00000106290.15|TAF6	2074.15	2399.16	2314.62	2158.33
ENSG00000106299.8|WASL	306	326	370	328
ENSG00000106305.10|AIMP2	591.3	591.8	560.36	578.2
ENSG00000106330.12|MOSPD3	242	277	258	190
ENSG00000106333.13|PCOLCE	218	206	229	217
ENSG00000106336.13|FBXO24	16	23.91	14.68	23
ENSG00000106344.8|RBM28	1196.97	1226.64	1249.39	1173.47
ENSG00000106346.11|USP42	485	501	504	476
ENSG00000106348.18|IMPDH1	955	1038	1198	1057
ENSG00000106351.13|AGFG2	210	294	269	259
ENSG00000106355.10|LSM5	1147	1254	1250	1239
ENSG00000106366.8|SERPINE1	120	122	210	186
ENSG00000106367.15|AP1S1	864	987	1088	1074
ENSG00000106392.10|C1GALT1	370	422	397	421
ENSG00000106397.12|PLOD3	2600	2748	3481	3015
ENSG00000106399.11|RPA3	461	624	483	566
ENSG00000106400.12|ZNHIT1	852	881	903	837
ENSG00000106404.13|CLDN15	625	650	753	645
ENSG00000106415.13|GLCCI1	3460.94	3943.89	3131.96	3437.91
ENSG00000106443.16|PHF14	1695	1645	1812	1611
ENSG00000106459.15|NRF1	458.31	441	465	428.17
ENSG00000106460.19|TMEM106B	1082	1188	1266	1187
ENSG00000106462.10|EZH2	961	1084	924	1023
ENSG00000106477.19|CEP41	438	454	448	427
ENSG00000106479.11|ZNF862	247.21	287.56	281.14	283.93
ENSG00000106484.15|MEST	94	119.93	111.99	145
ENSG00000106524.9|ANKMY2	307	322	325	308
ENSG00000106537.8|TSPAN13	781	890	868	949
ENSG00000106546.14|AHR	573	593.66	704	587
ENSG00000106554.13|CHCHD3	1391	1580	1519.07	1453
ENSG00000106560.11|GIMAP2	62	58	81	75
ENSG00000106571.14|GLI3	276	290	236	256
ENSG00000106588.11|PSMA2	2240.92	2354.66	2379.31	2477.17
ENSG00000106591.4|MRPL32	566	620	712	682
ENSG00000106603.18|COA1	864	931.09	988.37	973
ENSG00000106605.11|BLVRA	911	1126	1198	1268
ENSG00000106608.16|URGCP	1097.77	1219	1255.89	1171.6
ENSG00000106609.16|TMEM248	2398	2565	2532	2404
ENSG00000106610.15|STAG3L4	129	151.52	147	141
ENSG00000106615.10|RHEB	972.75	1210.19	1124.81	1145.35
ENSG00000106617.14|PRKAG2	69	77	83	90
ENSG00000106624.11|AEBP1	3569	4112	4164	3741
ENSG00000106628.10|POLD2	3064	3460	3376	3105
ENSG00000106633.16|GCK	10	5	9	10
ENSG00000106635.8|BCL7B	814	949	912	861
ENSG00000106636.8|YKT6	2931	3051	3256	3113
ENSG00000106638.16|TBL2	797	857	869	793
ENSG00000106665.15|CLIP2	2332	2530	2628	2241
ENSG00000106682.14|EIF4H	9384.77	10086.64	9988.84	9264.63
ENSG00000106683.15|LIMK1	1910	1879	2077	1762
ENSG00000106688.12|SLC1A1	248	276	305	303
ENSG00000106689.11|LHX2	304.99	367	346	312
ENSG00000106692.14|FKTN	816	925	868	940
ENSG00000106701.12|FSD1L	332	322	336	384
ENSG00000106714.17|CNTNAP3	456.25	453.05	468.62	472.25
ENSG00000106723.17|SPIN1	1470	1539	1484	1536
ENSG00000106771.13|TMEM245	1800	2186	2007	2042
ENSG00000106772.18|PRUNE2	41.91	70	46.82	32.93
ENSG00000106780.9|MEGF9	1727	1834	1711	1812
ENSG00000106785.15|TRIM14	707.19	803.72	857	702
ENSG00000106789.13|CORO2A	115	123	122	164
ENSG00000106799.13|TGFBR1	1379	1476	1417	1391
ENSG00000106803.10|SEC61B	800	885	910	884
ENSG00000106804.7|C5	609	692	576	689
ENSG00000106829.18|TLE4	306.71	390.43	366.63	377.89
ENSG00000106853.20|PTGR1	455	466	521	488
ENSG00000106868.16|SUSD1	1029	1170	1379	1232
ENSG00000106948.16|AKNA	868	799	998	903
ENSG00000106976.20|DNM1	262	297	224	177
ENSG00000106991.13|ENG	631.77	690	807.63	711.7
ENSG00000106992.19|AK1	653.26	776.9	693.89	705.12
ENSG00000106993.12|CDC37L1	20	21	19	24
ENSG00000107020.10|PLGRKT	122	168	154	140
ENSG00000107021.16|TBC1D13	906	937	911	889
ENSG00000107036.12|RIC1	467.91	491.9	536	516
ENSG00000107077.18|KDM4C	220	227	260	237
ENSG00000107105.15|ELAVL2	256	304	238	272
ENSG00000107130.10|NCS1	1060	1194	1165	1068
ENSG00000107140.16|TESK1	632.67	787.61	781	764.24
ENSG00000107164.16|FUBP3	2212	2321	2366	2218
ENSG00000107175.12|CREB3	873	987.49	1151.56	1052
ENSG00000107185.9|RGP1	2534.79	2680.14	2912.02	2619.54
ENSG00000107186.16|MPDZ	1226	1277	1215	1135
ENSG00000107201.10|DDX58	95	99	119	107
ENSG00000107223.13|EDF1	2130	2284	2406	2047
ENSG00000107242.18|PIP5K1B	25	31	22	18
ENSG00000107249.23|GLIS3	52	67	51	54
ENSG00000107262.22|BAG1	546	695	593	618
ENSG00000107263.18|RAPGEF1	1506	1709	1567	1387
ENSG00000107281.10|NPDC1	878.88	1153	983	946
ENSG00000107282.8|APBA1	135.99	125.07	108	82.19
ENSG00000107290.14|SETX	2354	2783	2652	2725
ENSG00000107317.13|PTGDS	16	12	2.49	6
ENSG00000107331.17|ABCA2	1457	1666	1312	1206
ENSG00000107338.10|SHB	221	243.3	277	262
ENSG00000107341.5|UBE2R2	1271	1394	1346	1331
ENSG00000107362.13|ABHD17B	440	513	519	464
ENSG00000107371.13|EXOSC3	507	571.87	605.97	649
ENSG00000107372.13|ZFAND5	2729.03	2922.92	2807.57	2835
ENSG00000107404.20|DVL1	176	189	213	160
ENSG00000107443.16|CCNJ	315	338	316	336
ENSG00000107485.17|GATA3	10	25	13	13
ENSG00000107521.19|HPS1	39	39	42	45
ENSG00000107537.14|PHYH	1260	1443	1375	1306
ENSG00000107551.21|RASSF4	814	839	930	788
ENSG00000107554.17|DNMBP	1650	1819	2296	2238.36
ENSG00000107560.12|RAB11FIP2	316	310	348	393
ENSG00000107562.16|CXCL12	324	406	251	288
ENSG00000107566.14|ERLIN1	913	1088	1026	1105
ENSG00000107581.13|EIF3A	4512	5044	5324	5053
ENSG00000107611.15|CUBN	90	113	150	113
ENSG00000107614.22|TRDMT1	154	154	159.01	145
ENSG00000107625.13|DDX50	601	696.97	659	731
ENSG00000107643.16|MAPK8	634	651	636	616
ENSG00000107651.13|SEC23IP	797	888	874	815
ENSG00000107669.17|ATE1	527	545	635	595
ENSG00000107672.15|NSMCE4A	584.03	633	628.56	623.75
ENSG00000107679.14|PLEKHA1	433	453.09	513	556
ENSG00000107731.12|UNC5B	142	156	189	197
ENSG00000107736.20|CDH23	26	18	26	18
ENSG00000107742.13|SPOCK2	62	79	87	83
ENSG00000107745.19|MICU1	872	958	908	882
ENSG00000107758.15|PPP3CB	580	617	653	612
ENSG00000107771.17|CCSER2	663	666	793	664
ENSG00000107779.13|BMPR1A	771.3	844	767	799
ENSG00000107789.16|MINPP1	315	419	401	428
ENSG00000107798.18|LIPA	4909	6008	6455	7143
ENSG00000107807.13|TLX1	47	55	33	36
ENSG00000107815.10|TWNK	451	451	494	441
ENSG00000107816.17|LZTS2	1020.97	1078.97	997	924.98
ENSG00000107819.13|SFXN3	1080	1068	1230	1120
ENSG00000107821.14|KAZALD1	101	115	118	116
ENSG00000107829.14|FBXW4	389	402	396	428
ENSG00000107833.10|NPM3	223	264	270	232
ENSG00000107854.6|TNKS2	1476	1561	1536	1584
ENSG00000107862.4|GBF1	2267	2302	2328	2004
ENSG00000107863.18|ARHGAP21	3570.53	3966.46	4113.67	3937.54
ENSG00000107864.15|CPEB3	25	32	31	26
ENSG00000107872.12|FBXL15	19.4	31.78	40.4	22.8
ENSG00000107874.11|CUEDC2	1012	1110	1108	1175
ENSG00000107882.11|SUFU	397	358	430	322
ENSG00000107890.16|ANKRD26	933	970	1068	986
ENSG00000107897.19|ACBD5	1126	1179	1294	1254
ENSG00000107902.14|LHPP	34	33	41.42	32
ENSG00000107929.14|LARP4B	1391	1475	1475	1437
ENSG00000107937.19|GTPBP4	2090	2145.81	2247	2158
ENSG00000107938.18|EDRF1	411.64	418.34	490.9	467.06
ENSG00000107949.17|BCCIP	909.91	1067.14	997.89	1037.92
ENSG00000107951.14|MTPAP	600	682	631	665
ENSG00000107954.10|NEURL1	21	44	31	25
ENSG00000107957.16|SH3PXD2A	184	205	232	207
ENSG00000107959.16|PITRM1	1286.02	1454.48	1349.54	1388.04
ENSG00000107960.11|STN1	168.62	191	180.37	201.51
ENSG00000107968.10|MAP3K8	11	19	6	8
ENSG00000108001.13|EBF3	596.26	691.85	611	570.14
ENSG00000108010.12|GLRX3	630	664	610	635
ENSG00000108021.20|TASOR2	1931	2048	2054	2089
ENSG00000108039.18|XPNPEP1	1331	1432	1353	1382
ENSG00000108055.9|SMC3	2436.95	2894.59	2647.9	2915.73
ENSG00000108061.11|SHOC2	483	487	531	606
ENSG00000108064.11|TFAM	1380	1586	1552	1602
ENSG00000108091.11|CCDC6	1003	1121	1073	1026
ENSG00000108094.14|CUL2	1045	1222	1178	1196
ENSG00000108100.18|CCNY	1251	1225	1211	1213
ENSG00000108106.14|UBE2S	2058.19	2053.82	1915.66	1627.24
ENSG00000108107.14|RPL28	3639	3923	3436	2954
ENSG00000108175.17|ZMIZ1	1976	1993	2051	1799
ENSG00000108176.15|DNAJC12	117	146	137	140
ENSG00000108179.14|PPIF	922	1104	1015	1033
ENSG00000108187.16|PBLD	72	66	89	60
ENSG00000108219.15|TSPAN14	3679	3790	4441	4169
ENSG00000108239.8|TBC1D12	378	393	389	386
ENSG00000108256.9|NUFIP2	3072	3565	3548	3668
ENSG00000108262.15|GIT1	1597	1944	1627	1562
ENSG00000108298.11|RPL19	10063	10778	10444	9384
ENSG00000108306.13|FBXL20	444	434	381	341
ENSG00000108309.14|RUNDC3A	140	145	145.97	128
ENSG00000108312.15|UBTF	2239	2521	2383	2269
ENSG00000108344.15|PSMD3	2659	3050	3047	2817
ENSG00000108349.17|CASC3	2203	2464	2521	2315
ENSG00000108352.12|RAPGEFL1	502	463	518	516
ENSG00000108370.17|RGS9	26	35	50	31
ENSG00000108375.12|RNF43	13.37	24.12	12	9.12
ENSG00000108379.10|WNT3	333	320	350	352
ENSG00000108384.15|RAD51C	665	711	762	885
ENSG00000108387.14|SEPT4	702	775	1056	1004
ENSG00000108389.9|MTMR4	1564	1646	1632	1513
ENSG00000108395.14|TRIM37	1772.39	2031.6	1868.01	1983.16
ENSG00000108406.10|DHX40	1805.1	1957.89	1834.93	1849.12
ENSG00000108423.15|TUBD1	187	194	210	189
