Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000006534.16|ALDH3B1	232	247	202	197
ENSG00000006576.16|PHTF2	928	1282	981	1328
ENSG00000006607.14|FARP2	948.37	1026.21	987.07	929.76
ENSG00000006625.18|GGCT	794	1050	895	1040.49
ENSG00000006634.8|DBF4	1083.46	1338	1206.73	1395.11
ENSG00000006638.11|TBXA2R	25	46	26	51
ENSG00000006652.14|IFRD1	1550	1888	1888	1882
ENSG00000006695.11|COX10	215.86	213.8	223.23	192.92
ENSG00000006704.10|GTF2IRD1	649	829	617	724
ENSG00000006712.15|PAF1	1922	2244	1843	2049
ENSG00000006715.16|VPS41	1708	1729	1900	1707
ENSG00000006744.19|ELAC2	1417	1436	1343	1358
ENSG00000006747.15|SCIN	15.36	29	25	23
ENSG00000006756.16|ARSD	68	74	51	55.99
ENSG00000006831.10|ADIPOR2	1258	1466	1439	1476
ENSG00000006837.12|CDKL3	23.42	37	25.45	28.98
ENSG00000007047.15|MARK4	739	811	684	814
ENSG00000007062.11|PROM1	326	338	446	354
ENSG00000007080.11|CCDC124	755	803	685	691
ENSG00000007168.13|PAFAH1B1	3963	4341	4473.05	4405
ENSG00000007171.17|NOS2	302	358	229	335
ENSG00000007174.18|DNAH9	97	76	101	81
ENSG00000007202.15|KIAA0100	4574.04	5073.16	4083.96	4527.02
ENSG00000007237.18|GAS7	8116	8630	8096	8076
ENSG00000007255.10|TRAPPC6A	90	74	88	76
ENSG00000007314.12|SCN4A	12	12	1	5
ENSG00000007341.19|ST7L	384.31	401.8	341.17	329.56
ENSG00000007372.22|PAX6	770.38	1026.61	857.71	885.74
ENSG00000007376.8|RPUSD1	149	184	138	157
ENSG00000007384.15|RHBDF1	541	539	529	491
ENSG00000007392.16|LUC7L	1043	1314	1220	1144
ENSG00000007402.11|CACNA2D2	153	161	115	112
ENSG00000007516.13|BAIAP3	267.16	279.44	294.15	285.19
ENSG00000007520.4|TSR3	223.84	316.56	282.85	295.81
ENSG00000007541.16|PIGQ	304.7	419.5	323.59	340.18
ENSG00000007545.15|CRAMP1	1040.03	1182.48	1059.04	1153.03
ENSG00000007866.21|TEAD3	98	122	97	94
ENSG00000007923.16|DNAJC11	541.95	599.8	518.92	489
ENSG00000007944.15|MYLIP	131	133	86	98
ENSG00000007968.7|E2F2	981	1579	790	1386
ENSG00000008018.9|PSMB1	1350	1369	1452	1475
ENSG00000008056.14|SYN1	39	51.32	36	47
ENSG00000008083.14|JARID2	808	833	953	845
ENSG00000008086.11|CDKL5	373	451	484	487
ENSG00000008118.10|CAMK1G	129	181	136	151
ENSG00000008128.23|CDK11A	280.71	307.38	258.12	280.94
ENSG00000008130.15|NADK	687	880	745	939
ENSG00000008226.19|DLEC1	13.94	3.08	10	10.78
ENSG00000008256.16|CYTH3	585	611	706	665
ENSG00000008277.14|ADAM22	1871	1792	2229	1759
ENSG00000008282.8|SYPL1	1220	1645	1628	1708
ENSG00000008283.16|CYB561	166	169	125	175
ENSG00000008294.21|SPAG9	4072	4853	4771	4423
ENSG00000008300.17|CELSR3	966	1083	854	958
ENSG00000008311.15|AASS	2099	2693	2384	2451
ENSG00000008324.11|SS18L2	117	156	136	141
ENSG00000008382.15|MPND	318	373	285.19	317
