Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000105298.14|CACTIN	727.86	828.6	689.52	765.64
ENSG00000105321.14|CCDC9	239	305	220	261
ENSG00000105323.16|HNRNPUL1	6353.44	7341.59	5675.37	6406.01
ENSG00000105325.14|FZR1	1241	1700	1096	1398
ENSG00000105327.17|BBC3	8	12	4	22
ENSG00000105329.9|AC011462.1	650.06	805.02	557.02	686.01
ENSG00000105339.10|DENND3	90	154	104	110
ENSG00000105341.18|DMAC2	805	850	805	840
ENSG00000105355.9|PLIN3	888	1136	822	869
ENSG00000105357.16|MYH14	1759.49	2105.09	1615.15	1656.12
ENSG00000105364.13|MRPL4	795	875.95	713.63	779
ENSG00000105372.7|RPS19	5759	5930	4797	4932
ENSG00000105373.19|NOP53	834	1119	777	717
ENSG00000105376.5|ICAM5	36	53	45	37
ENSG00000105379.9|ETFB	434	467	391	513
ENSG00000105393.16|BABAM1	1308.63	1446	1216	1313
ENSG00000105397.13|TYK2	2198	2672	2068	2359
ENSG00000105401.9|CDC37	2794	3152.23	2631	2900
ENSG00000105402.8|NAPA	1096.69	1253.64	984.91	1080.4
ENSG00000105404.11|RABAC1	198	238	208	191
ENSG00000105409.18|ATP1A3	211	218	144	152
ENSG00000105419.17|MEIS3	894	976	811	870
ENSG00000105426.16|PTPRS	5014	5963	4699	4726
ENSG00000105429.13|MEGF8	1969	2140	1655	1638
ENSG00000105438.9|KDELR1	1694	1908	1589	1691
ENSG00000105443.15|CYTH2	4991.35	5815	4843	5536.4
ENSG00000105447.12|GRWD1	567	664	525	544
ENSG00000105464.3|GRIN2D	79	68	59	62
ENSG00000105472.13|CLEC11A	20	33	26	26
ENSG00000105483.18|CARD8	753.36	896.98	850.58	948.11
ENSG00000105486.14|LIG1	972	1491	858	1320
ENSG00000105497.8|ZNF175	325	378	399	393
ENSG00000105499.14|PLA2G4C	166	168	140	175.92
ENSG00000105514.8|RAB3D	188.51	221.12	179.92	185.12
ENSG00000105516.10|DBP	67.04	64.55	44.24	53.15
ENSG00000105518.14|TMEM205	682.35	852.76	592.34	769.23
ENSG00000105519.16|CAPS	237	246	228	251
ENSG00000105520.10|PLPPR2	937	1247	914	1129
ENSG00000105538.10|RASIP1	21	33	13	33
ENSG00000105552.15|BCAT2	410	474	386	473.85
ENSG00000105556.11|MIER2	635	681	589	689
ENSG00000105559.12|PLEKHA4	889	1090	912	1001
ENSG00000105568.18|PPP2R1A	4609	5148.96	3958	4408
ENSG00000105576.15|TNPO2	4198	5197	3851	4494
ENSG00000105583.11|WDR83OS	917.27	935.71	911.64	1014.56
ENSG00000105605.7|CACNG7	183	177	130	135
ENSG00000105607.13|GCDH	523.33	493.58	442	481
ENSG00000105612.9|DNASE2	587	659	646	645
ENSG00000105613.10|MAST1	588	723	515	637
ENSG00000105617.3|LENG1	173.29	129.22	128.92	132.1
ENSG00000105618.14|PRPF31	1053.75	1182.6	993.37	1022.97
ENSG00000105619.13|TFPT	217.17	244.33	190.4	228.6
ENSG00000105639.18|JAK3	12	20	4	11
ENSG00000105640.13|RPL18A	5357.1	5546.73	4827.37	4483.2
ENSG00000105642.15|KCNN1	63	65	43	33
ENSG00000105643.10|ARRDC2	150	213	162	239
ENSG00000105647.17|PIK3R2	2005.32	2553.7	1693.78	2046.99
ENSG00000105649.9|RAB3A	95	96	59	76
ENSG00000105655.18|ISYNA1	102	194.03	89.07	123.25
ENSG00000105656.13|ELL	318	347	291	304
ENSG00000105662.16|CRTC1	518	679	443	487
ENSG00000105669.14|COPE	1692	1934	1532	1665
ENSG00000105671.12|DDX49	737	847	750	708
ENSG00000105676.14|ARMC6	872	950	775	848
ENSG00000105677.12|TMEM147	407	484	358	420
ENSG00000105696.9|TMEM59L	374	509	302	321
ENSG00000105698.16|USF2	1147	1193	1053	1057
ENSG00000105699.16|LSR	221	292	237	310
ENSG00000105700.11|KXD1	1618.71	1687.35	1341.59	1535.62
ENSG00000105701.16|FKBP8	2744	2976	2314	2533
ENSG00000105705.16|AC004475.1	938	1136	845	1013
ENSG00000105708.9|ZNF14	202	252	219	240
ENSG00000105711.12|SCN1B	126	143	88	112
ENSG00000105717.14|PBX4	27	57	36	34
ENSG00000105722.10|ERF	1852.92	2083	1642	1750
ENSG00000105723.12|GSK3A	1316.99	1464.09	1211	1397
ENSG00000105726.17|ATP13A1	1935	2292	1773	1959
ENSG00000105732.13|ZNF574	342	331	266	319
ENSG00000105737.9|GRIK5	56	60	25	46
ENSG00000105738.11|SIPA1L3	605	682	569	537
ENSG00000105750.15|ZNF85	452	609	523	582
ENSG00000105755.8|ETHE1	159	163	147	144
ENSG00000105767.3|CADM4	1942	1948	1869	1805
ENSG00000105771.14|SMG9	1175	1357	1023	1294
ENSG00000105778.19|AVL9	1344.89	1631.86	1699.82	1652.88
ENSG00000105792.19|CFAP69	33	37	42	36
ENSG00000105793.15|GTPBP10	471	555.97	560	516
ENSG00000105808.17|RASA4	320.8	396.34	283.37	312.49
ENSG00000105810.9|CDK6	8987	10207	9746	9483.05
ENSG00000105819.14|PMPCB	1602.17	1831.62	1816.28	1850.77
ENSG00000105821.15|DNAJC2	901.83	1011.38	1021.72	1131.23
ENSG00000105829.13|BET1	220	226	302	260
ENSG00000105835.12|NAMPT	713.67	942.79	887.26	970.14
ENSG00000105849.6|TWISTNB	265	308	279	260
ENSG00000105854.13|PON2	2245	2323.51	2644.53	2374.53
ENSG00000105855.10|ITGB8	1387	1348	1737	1378
ENSG00000105856.14|HBP1	1078.64	1103.91	1167.78	1049.73
ENSG00000105865.11|DUS4L	172.68	213.21	232.15	184.08
ENSG00000105866.15|SP4	743	976	811	939
ENSG00000105875.14|WDR91	270	358	315	334.98
ENSG00000105877.18|DNAH11	22.38	33.49	28.28	41.55
ENSG00000105879.12|CBLL1	1019	1135	1038	1020.64
ENSG00000105887.11|MTPN	1921	2285.02	2212	2142.81
ENSG00000105894.11|PTN	12172	11099	11755	10664
ENSG00000105926.15|MPP6	1520	2301	1697	1872
ENSG00000105928.15|GSDME	621	655	683	596
ENSG00000105939.13|ZC3HAV1	798	994	888	1095
ENSG00000105948.13|TTC26	150	150	188	186
ENSG00000105953.15|OGDH	3700	4038	3658	4097
ENSG00000105963.15|ADAP1	48	71.82	19.85	21.92
ENSG00000105968.18|H2AFV	5174.81	6530.71	5038.9	5408.92
ENSG00000105971.15|CAV2	92	84	118	104
ENSG00000105974.12|CAV1	118	146	176	179
ENSG00000105982.16|RNF32	8	12.19	15.38	21
ENSG00000105983.21|LMBR1	580	666.81	676.62	616
ENSG00000105991.8|HOXA1	43	49	42	39
ENSG00000105993.15|DNAJB6	1145.51	1270.51	1330	1174.69
ENSG00000105996.7|HOXA2	179	268	180	214
ENSG00000105997.22|HOXA3	219	314	236	260
ENSG00000106003.13|LFNG	202	288	231	279
ENSG00000106004.5|HOXA5	86	85	89	83
ENSG00000106006.6|HOXA6	21.18	36.96	27.79	32.57
ENSG00000106009.16|BRAT1	857	1120	814	989
ENSG00000106012.18|IQCE	621	788	560	656
ENSG00000106025.8|TSPAN12	201	191	249	211
ENSG00000106028.11|SSBP1	817	784	943	776
ENSG00000106031.8|HOXA13	163	227	99	157
ENSG00000106038.13|EVX1	13	9	7.96	10.29
ENSG00000106049.9|HIBADH	409	463	329	353
ENSG00000106052.13|TAX1BP1	3268.56	3749.92	3500.98	3573.56
ENSG00000106066.15|CPVL	87	149	102	86
ENSG00000106069.22|CHN2	94	158.27	71	103.62
ENSG00000106070.19|GRB10	2453	2754	2873	2803
ENSG00000106077.18|ABHD11	320	384	276	328
ENSG00000106078.19|COBL	983	913	1318	1058
ENSG00000106080.10|FKBP14	781.19	908.51	901.83	959.98
ENSG00000106086.20|PLEKHA8	753.24	861.61	943.11	904.91
ENSG00000106089.12|STX1A	251	254	307.79	277
ENSG00000106100.11|NOD1	180.31	187.51	156.65	183.84
ENSG00000106105.14|GARS	2861	3029	3042	3134
ENSG00000106125.14|MINDY4	136	149.07	135.57	189.12
ENSG00000106133.18|NSUN5P2	393.67	513.18	411.48	468.57
ENSG00000106144.20|CASP2	1041	1345	1071	1250
ENSG00000106153.13|CHCHD2	2711	3044.94	2593	2579
ENSG00000106211.9|HSPB1	128	204	129	152
ENSG00000106244.13|PDAP1	2975.92	3061.67	2625	2892.84
ENSG00000106245.11|BUD31	1208.3	1250.13	1143.25	1182.68
ENSG00000106246.17|PTCD1	379.42	313.76	339.76	387.2
ENSG00000106258.15|CYP3A5	108	109	91	95
ENSG00000106261.17|ZKSCAN1	2142	2472	2446	2426
ENSG00000106263.18|EIF3B	3620	3956	3425	3610
ENSG00000106266.11|SNX8	467	612	462	494
ENSG00000106268.15|NUDT1	390	481	336	445
ENSG00000106278.12|PTPRZ1	33191	26686	38720	26572
ENSG00000106290.15|TAF6	2156.91	2399.16	1917.88	2158.33
ENSG00000106299.8|WASL	285	326	357	328
ENSG00000106305.10|AIMP2	584.06	591.8	547.49	578.2
ENSG00000106330.12|MOSPD3	279	277	229	190
ENSG00000106333.13|PCOLCE	226.93	206	204	217
ENSG00000106336.13|FBXO24	18.86	23.91	21	23
ENSG00000106344.8|RBM28	1112.13	1226.64	1184.65	1173.47
ENSG00000106346.11|USP42	506	501	455	476
ENSG00000106348.18|IMPDH1	973	1038	880	1057
ENSG00000106351.13|AGFG2	239	294	227	259
ENSG00000106355.10|LSM5	1011	1254	1251	1239
ENSG00000106366.8|SERPINE1	128	122	161	186
ENSG00000106367.15|AP1S1	987	987	1051	1074
ENSG00000106392.10|C1GALT1	359	422	401	421
ENSG00000106397.12|PLOD3	2634	2748	2833	3015
ENSG00000106399.11|RPA3	450	624	460	566
ENSG00000106400.12|ZNHIT1	867	881	805	837
ENSG00000106404.13|CLDN15	662	650	655	645
ENSG00000106415.13|GLCCI1	3226.94	3943.89	3210.94	3437.91
ENSG00000106443.16|PHF14	1621	1645	1851	1611
ENSG00000106459.15|NRF1	472	441	462	428.17
ENSG00000106460.19|TMEM106B	1020	1188	1206	1187
ENSG00000106462.10|EZH2	862	1084	853	1023
ENSG00000106477.19|CEP41	408	454	395	427
ENSG00000106479.11|ZNF862	286.67	287.56	287.29	283.93
ENSG00000106484.15|MEST	105.99	119.93	170	145
ENSG00000106524.9|ANKMY2	280	322	280	308
ENSG00000106537.8|TSPAN13	653	890	785	949
ENSG00000106546.14|AHR	516.78	593.66	607	587
ENSG00000106554.13|CHCHD3	1575.99	1580	1592.16	1453
ENSG00000106560.11|GIMAP2	81	58	85	75
ENSG00000106571.14|GLI3	337	290	308	256
ENSG00000106588.11|PSMA2	2117.85	2354.66	2470.62	2477.17
ENSG00000106591.4|MRPL32	634	620	714	682
ENSG00000106603.18|COA1	867.72	931.09	922	973
ENSG00000106605.11|BLVRA	962	1126	1054	1268
ENSG00000106608.16|URGCP	1078.09	1219	1021	1171.6
ENSG00000106609.16|TMEM248	2319	2565	2431	2404
ENSG00000106610.15|STAG3L4	128	151.52	142	141
ENSG00000106615.10|RHEB	978.76	1210.19	1104.73	1145.35
ENSG00000106617.14|PRKAG2	57	77	81	90
ENSG00000106624.11|AEBP1	3589	4112	3333	3741
ENSG00000106628.10|POLD2	3085	3460	2647	3105
ENSG00000106635.8|BCL7B	961	949	822	861
ENSG00000106636.8|YKT6	3034	3051	2956	3113
ENSG00000106638.16|TBL2	820	857	773	793
ENSG00000106665.15|CLIP2	2371	2530	2151	2241
ENSG00000106682.14|EIF4H	9193.71	10086.64	9501.94	9264.63
ENSG00000106683.15|LIMK1	1811	1879	1626	1762
ENSG00000106688.12|SLC1A1	238	276	285	303
ENSG00000106689.11|LHX2	295	367	299	312
ENSG00000106692.14|FKTN	728	925	954	940
ENSG00000106701.12|FSD1L	292	322	368	384
ENSG00000106714.17|CNTNAP3	467.14	453.05	495.51	472.25
ENSG00000106723.17|SPIN1	1395	1539	1583	1536
ENSG00000106733.21|NMRK1	11	9	14	9
ENSG00000106771.13|TMEM245	1708	2186	1939	2042
ENSG00000106772.18|PRUNE2	53.74	70	44	32.93
ENSG00000106780.9|MEGF9	1425	1834	1601	1812
ENSG00000106785.15|TRIM14	637	803.72	693	702
ENSG00000106789.13|CORO2A	91	123	77	164
ENSG00000106799.13|TGFBR1	1252	1476	1424	1391
ENSG00000106803.10|SEC61B	891	885	1051	884
ENSG00000106804.7|C5	591	692	625	689
ENSG00000106829.18|TLE4	329.37	390.43	412	377.89
ENSG00000106853.20|PTGR1	445	466	438	488
ENSG00000106868.16|SUSD1	1164	1170	1432	1232
ENSG00000106948.16|AKNA	856	799	806	903
ENSG00000106976.20|DNM1	205	297	180	177
ENSG00000106991.13|ENG	675.27	690	590.2	711.7
ENSG00000106992.19|AK1	635.41	776.9	549.37	705.12
ENSG00000106993.12|CDC37L1	26	21	14	24
ENSG00000107020.10|PLGRKT	149	168	173	140
ENSG00000107021.16|TBC1D13	790	937	736	889
ENSG00000107036.12|RIC1	413.98	491.9	544	516
ENSG00000107077.18|KDM4C	255	227	354	237
ENSG00000107105.15|ELAVL2	217	304	249	272
ENSG00000107130.10|NCS1	1034	1194	907	1068
ENSG00000107140.16|TESK1	648.01	787.61	695.72	764.24
ENSG00000107164.16|FUBP3	2169	2321	2338	2218
ENSG00000107175.12|CREB3	835.19	987.49	968.58	1052
ENSG00000107185.9|RGP1	2364.37	2680.14	2603.73	2619.54
ENSG00000107186.16|MPDZ	1091	1277	1259	1135
ENSG00000107201.10|DDX58	108	99	145	107
ENSG00000107223.13|EDF1	2211	2284	1905	2047
ENSG00000107242.18|PIP5K1B	23	31	24	18
ENSG00000107249.23|GLIS3	41	67	41	54
ENSG00000107262.22|BAG1	684	695	606	618
ENSG00000107263.18|RAPGEF1	1381	1709	1365	1387
ENSG00000107281.10|NPDC1	845	1153	842.81	946
ENSG00000107282.8|APBA1	119	125.07	78.62	82.19
ENSG00000107290.14|SETX	1996	2783	2490	2725
ENSG00000107331.17|ABCA2	1286	1666	1053	1206
ENSG00000107338.10|SHB	252.81	243.3	219	262
ENSG00000107341.5|UBE2R2	1348	1394	1424	1331
ENSG00000107362.13|ABHD17B	424	513	518	464
ENSG00000107371.13|EXOSC3	413.92	571.87	576	649
ENSG00000107372.13|ZFAND5	2522.68	2922.92	2783.75	2835
ENSG00000107404.20|DVL1	167	189	187	160
ENSG00000107443.16|CCNJ	320	338	334	336
ENSG00000107485.17|GATA3	25	25	12	13
ENSG00000107521.19|HPS1	34	39	30	45
ENSG00000107537.14|PHYH	1302	1443	1236	1306
ENSG00000107551.21|RASSF4	913	839	935	788
ENSG00000107554.17|DNMBP	1698	1819	2088	2238.36
ENSG00000107560.12|RAB11FIP2	265	310	321	393
ENSG00000107562.16|CXCL12	335	406	309	288
ENSG00000107566.14|ERLIN1	998	1088	1059	1105
ENSG00000107581.13|EIF3A	4666	5044	4867	5053
ENSG00000107611.15|CUBN	128	113	146	113
ENSG00000107614.22|TRDMT1	119.01	154	177	145
ENSG00000107625.13|DDX50	605.99	696.97	688	731
ENSG00000107643.16|MAPK8	590	651	665	616
ENSG00000107651.13|SEC23IP	755	888	797	815
ENSG00000107669.17|ATE1	548	545	634.49	595
ENSG00000107672.15|NSMCE4A	585.22	633	598.41	623.75
ENSG00000107679.14|PLEKHA1	350	453.09	506	556
ENSG00000107731.12|UNC5B	139	156	187	197
ENSG00000107736.20|CDH23	17.64	18	7.6	18
ENSG00000107742.13|SPOCK2	77	79	68	83
ENSG00000107745.19|MICU1	939	958	895	882
ENSG00000107758.15|PPP3CB	583	617	657	612
ENSG00000107771.17|CCSER2	663	666	774	664
ENSG00000107779.13|BMPR1A	718	844	827	799
ENSG00000107789.16|MINPP1	348	419	367	428
ENSG00000107798.18|LIPA	4457	6008	6589	7143
ENSG00000107807.13|TLX1	43	55	31	36
ENSG00000107815.10|TWNK	478	451	437	441
ENSG00000107816.17|LZTS2	780	1078.97	817	924.98
ENSG00000107819.13|SFXN3	963	1068	1105	1120
ENSG00000107821.14|KAZALD1	103	115	95	116
ENSG00000107829.14|FBXW4	303	402	362	428
ENSG00000107833.10|NPM3	275	264	245	232
ENSG00000107854.6|TNKS2	1316	1561	1606	1584
ENSG00000107862.4|GBF1	2319	2302	2118	2004
ENSG00000107863.18|ARHGAP21	3402.79	3966.46	3852.2	3937.54
ENSG00000107864.15|CPEB3	35	32	19	26
ENSG00000107872.12|FBXL15	25.35	31.78	25.35	22.8
ENSG00000107874.11|CUEDC2	1120	1110	952	1175
ENSG00000107882.11|SUFU	384	358	366	322
ENSG00000107890.16|ANKRD26	875	970	959	986
ENSG00000107897.19|ACBD5	1101	1179	1349	1254
ENSG00000107902.14|LHPP	43	33	26	32
ENSG00000107929.14|LARP4B	1297	1475	1356	1437
ENSG00000107937.19|GTPBP4	2133.72	2145.81	2119	2158
ENSG00000107938.18|EDRF1	367.05	418.34	423.29	467.06
ENSG00000107949.17|BCCIP	1026.75	1067.14	955.54	1037.92
ENSG00000107951.14|MTPAP	580	682	712	665
ENSG00000107954.10|NEURL1	25	44	30	25
ENSG00000107957.16|SH3PXD2A	162	205	178	207
ENSG00000107959.16|PITRM1	1295.05	1454.48	1318.8	1388.04
ENSG00000107960.11|STN1	196	191	165.28	201.51
ENSG00000108001.13|EBF3	616.12	691.85	626.43	570.14
ENSG00000108010.12|GLRX3	583	664	666	635
ENSG00000108021.20|TASOR2	1859	2048	2051	2089
ENSG00000108039.18|XPNPEP1	1235	1432	1370	1382
ENSG00000108055.9|SMC3	2313.87	2894.59	2538.47	2915.73
ENSG00000108061.11|SHOC2	492	487	512	606
ENSG00000108064.11|TFAM	1295	1586	1474	1602
ENSG00000108091.11|CCDC6	976	1121	1048	1026
ENSG00000108094.14|CUL2	1025	1222	1190	1196
ENSG00000108100.18|CCNY	1307	1225	1251	1213
ENSG00000108106.14|UBE2S	1779.77	2053.82	1424.39	1627.24
ENSG00000108107.14|RPL28	3872	3923	2896	2954
ENSG00000108175.17|ZMIZ1	2007	1993	1909	1799
ENSG00000108176.15|DNAJC12	104	146	123	140
ENSG00000108179.14|PPIF	854	1104	840	1033
ENSG00000108187.16|PBLD	53	66	69	60
ENSG00000108219.15|TSPAN14	3885	3790	3989	4169
ENSG00000108239.8|TBC1D12	316	393	418	386
ENSG00000108256.9|NUFIP2	2617	3565	3335	3668
ENSG00000108262.15|GIT1	1551	1944	1279	1562
ENSG00000108298.11|RPL19	10739	10778	9238	9384
ENSG00000108306.13|FBXL20	415	434	429	341
ENSG00000108309.14|RUNDC3A	155.96	145	115	128
ENSG00000108312.15|UBTF	2142	2521	2042	2269
ENSG00000108344.15|PSMD3	2695	3050	2504	2817
ENSG00000108349.17|CASC3	2191	2464	2358	2315
ENSG00000108352.12|RAPGEFL1	512	463	428	516
ENSG00000108370.17|RGS9	30	35	21	31
ENSG00000108375.12|RNF43	15.77	24.12	10.24	9.12
ENSG00000108379.10|WNT3	294	320	280	352
ENSG00000108384.15|RAD51C	565	711	667	885
ENSG00000108387.14|SEPT4	719	775	908	1004
ENSG00000108389.9|MTMR4	1553	1646	1626	1513
ENSG00000108395.14|TRIM37	1708.14	2031.6	1839.17	1983.16
ENSG00000108406.10|DHX40	1619.64	1957.89	1887.63	1849.12
ENSG00000108423.15|TUBD1	161	194	194	189
ENSG00000108424.10|KPNB1	7421.45	8376.02	7293.34	7784.01
ENSG00000108433.16|GOSR2	1118.02	1204.18	1184.93	1231.46
ENSG00000108439.10|PNPO	661.12	735.87	628	667.57
ENSG00000108443.14|RPS6KB1	870	1039.99	955	1028.93
ENSG00000108448.21|TRIM16L	842.91	837.64	1098.04	1050.17
ENSG00000108465.15|CDK5RAP3	4796	5341	4466	5314
ENSG00000108468.15|CBX1	2691	3251	2626	2743
ENSG00000108469.15|RECQL5	660	772	655	782.62
ENSG00000108474.16|PIGL	182.68	197.91	170.1	195.78
ENSG00000108479.11|GALK1	133	240	150	153
ENSG00000108506.12|INTS2	872	1071	1154	1139
ENSG00000108509.21|CAMTA2	1105.92	1232	1016	1117.36
ENSG00000108510.10|MED13	1676	2125	2157	2208
ENSG00000108515.17|ENO3	343	334.01	294.01	328
ENSG00000108518.7|PFN1	6254	6594.99	5853.99	5677
ENSG00000108523.15|RNF167	1537	1572	1349	1504
ENSG00000108528.14|SLC25A11	841	981	735	802
ENSG00000108551.5|RASD1	16	23	6	26
ENSG00000108556.9|CHRNE	23.65	18.9	21.74	18.3
ENSG00000108557.19|RAI1	794.83	1108.56	681.3	792.73
ENSG00000108559.12|NUP88	1539.61	1816.29	1660.72	1714.68
ENSG00000108561.8|C1QBP	1996.31	1947	2026	1774.26
ENSG00000108578.15|BLMH	1246	1279	1320	1342
ENSG00000108582.12|CPD	2086	2635	2724	2776
ENSG00000108587.15|GOSR1	1005.92	1123.92	1149	1139.85
ENSG00000108588.14|CCDC47	2606	2804	2904	2704
ENSG00000108590.11|MED31	173.5	179.91	213.83	207.16
ENSG00000108592.17|FTSJ3	1906.46	1893.5	1599.71	1846.65
ENSG00000108599.15|AKAP10	555	702	645	726
ENSG00000108602.18|ALDH3A1	52	92	69	87
ENSG00000108604.15|SMARCD2	643	683	522	652
ENSG00000108639.7|SYNGR2	215	237	196	200
ENSG00000108641.15|B9D1	201	235.73	172.38	226.04
ENSG00000108651.10|UTP6	863	985	1061	1042
ENSG00000108654.14|DDX5	16694	17389.86	19510.39	18043
ENSG00000108666.10|C17orf75	341.37	337	320	295
ENSG00000108669.16|CYTH1	812	1031	753	852
ENSG00000108671.11|PSMD11	2575	3050	2750	3021
ENSG00000108679.13|LGALS3BP	2648	3033	2302	2713
ENSG00000108733.10|PEX12	169	197	179	145
ENSG00000108771.13|DHX58	119	148	130	134
ENSG00000108773.11|KAT2A	2389	2904	2015	2610.07
ENSG00000108774.14|RAB5C	2368	2510	2240	2278.2
ENSG00000108784.10|NAGLU	599	556	450	469
ENSG00000108786.10|HSD17B1	166.78	187.26	194.97	163.15
ENSG00000108788.11|MLX	1053.26	1155.98	1076.03	1217.25
ENSG00000108797.12|CNTNAP1	1739.95	2027.25	2045.47	2170.88
ENSG00000108799.13|EZH1	760	786	885	779
ENSG00000108819.11|PPP1R9B	1943	2020	1727	1932
ENSG00000108821.13|COL1A1	33	40	36	29
ENSG00000108823.16|SGCA	20	29	38	37
ENSG00000108825.17|PTGES3L-AARSD1	12.45	45.23	23.73	31.45
ENSG00000108826.16|MRPL27	678	678	753	712
ENSG00000108828.16|VAT1	1696	1932	1724	1948
ENSG00000108829.10|LRRC59	2520.4	2752.54	2522.98	2778.93
ENSG00000108830.10|RND2	576	656	544	601
ENSG00000108840.15|HDAC5	1603	1928	1507	1703
ENSG00000108846.16|ABCC3	33	44	24	26
ENSG00000108848.16|LUC7L3	4139	4647	4753	4561
ENSG00000108852.14|MPP2	362	483	289	437
ENSG00000108854.16|SMURF2	490	585	628	619
ENSG00000108861.9|DUSP3	1060	1243	1086	1164
ENSG00000108883.13|EFTUD2	3418	3590	3517	3412
ENSG00000108924.14|HLF	165	167	198	174
ENSG00000108932.12|SLC16A6	20.46	36	13	21
ENSG00000108946.14|PRKAR1A	4181	5032	4924	4996
ENSG00000108947.5|EFNB3	555	526	449	441
ENSG00000108953.17|YWHAE	14726	14582	14937	13016
ENSG00000108960.9|MMD	152	160	172	156
ENSG00000108961.14|RANGRF	590.58	659.7	496.6	536.36
ENSG00000108963.17|DPH1	620.96	680.11	538.64	574.07
ENSG00000108984.15|MAP2K6	141	112	119	102
ENSG00000109016.17|DHRS7B	193	241	193	235
ENSG00000109046.15|WSB1	4047	4388	4775	4429
ENSG00000109062.12|SLC9A3R1	383	492	361	463
ENSG00000109063.15|MYH3	147	214	137	193
ENSG00000109065.11|NAT9	1019	924	916	969
ENSG00000109066.13|TMEM104	649	854	587	706
ENSG00000109072.14|VTN	29	32	18	24
ENSG00000109079.10|TNFAIP1	1005.39	1022.11	1033.46	1083.55
ENSG00000109083.13|IFT20	280.04	262.11	263.34	261.43
ENSG00000109084.14|TMEM97	1184.96	1671.89	1216.66	1536.57
ENSG00000109089.7|CDR2L	446	669	428	536
ENSG00000109099.15|PMP22	650.91	708.89	681.85	683.77
ENSG00000109103.11|UNC119	701	830	608	793
ENSG00000109107.14|ALDOC	85.05	89	79.11	83.71
ENSG00000109111.15|SUPT6H	3364	3640	3190	3599
ENSG00000109118.14|PHF12	2758	2989	2374.54	2482
ENSG00000109133.13|TMEM33	1295	1683	1405	1466
ENSG00000109171.15|SLAIN2	759	813	743	829
ENSG00000109180.14|OCIAD1	3414	3950	3793	3993
ENSG00000109184.15|DCUN1D4	2621	3156	2984	2897
ENSG00000109189.13|USP46	635	811	777	740
ENSG00000109220.11|CHIC2	197	233	220	230
ENSG00000109255.11|NMU	12	15	5	8
ENSG00000109265.14|KIAA1211	557	572	499	469
ENSG00000109270.13|LAMTOR3	727	909	915	839
ENSG00000109320.12|NFKB1	585	741	673	699
ENSG00000109323.9|MANBA	741	727.08	756	756
ENSG00000109332.20|UBE2D3	3319	3478.33	3670.66	3659.07
ENSG00000109339.22|MAPK10	619.24	625	697	600.84
ENSG00000109381.19|ELF2	649	807	715	814
ENSG00000109390.12|NDUFC1	387.7	473.86	433.79	450.93
ENSG00000109436.8|TBC1D9	358	416	395	404
ENSG00000109445.11|ZNF330	493	583	661	592
ENSG00000109452.12|INPP4B	834	893	1103	877
ENSG00000109458.8|GAB1	995	1037	1102	1080
ENSG00000109466.14|KLHL2	294	322	392.81	388
ENSG00000109472.14|CPE	306	380	180	252
ENSG00000109475.16|RPL34	2110	2311	2246	2032
ENSG00000109501.13|WFS1	600.59	714.12	534.44	638.72
ENSG00000109519.13|GRPEL1	532	572	623	620
ENSG00000109534.17|GAR1	369	485	388	408
ENSG00000109536.12|FRG1	719.19	732.05	740.43	838.24
ENSG00000109572.13|CLCN3	826	918	957	1026
ENSG00000109576.14|AADAT	243	272	284	301
ENSG00000109586.12|GALNT7	848	760	1045.21	933
ENSG00000109606.13|DHX15	3766	4162	4269	3965
ENSG00000109618.12|SEPSECS	313	418	412	397
ENSG00000109654.15|TRIM2	999	1189	1019	1019
ENSG00000109670.15|FBXW7	887	1046	934	1032.97
ENSG00000109674.4|NEIL3	299	516	342	480
ENSG00000109680.11|TBC1D19	88	74	119	94
ENSG00000109685.18|NSD2	4646	5894	4922	5528
ENSG00000109686.18|SH3D19	2357.15	2246.33	2712.66	2324.75
ENSG00000109689.16|STIM2	1419	1364	1604	1290
ENSG00000109705.7|NKX3-2	22	55	27	39
ENSG00000109736.15|MFSD10	492	642	561	559
ENSG00000109738.11|GLRB	200	260	215	247
ENSG00000109756.9|RAPGEF2	1073	1104	1179	1020
ENSG00000109758.8|HGFAC	26	12	20	10
ENSG00000109762.16|SNX25	382	362	436	479.96
ENSG00000109771.15|LRP2BP	71	65	66	74
ENSG00000109775.11|UFSP2	690.9	764.8	755.2	752.68
ENSG00000109787.13|KLF3	740.98	880.97	813	805
ENSG00000109790.16|KLHL5	866	963.76	1030	1021
ENSG00000109794.13|FAM149A	94.5	117	99	95.01
ENSG00000109805.10|NCAPG	1193.54	1791.37	1236.99	1632.14
ENSG00000109814.12|UGDH	579.37	718.66	633.22	688.58
ENSG00000109819.9|PPARGC1A	199	183	196	150
ENSG00000109832.14|DDX25	107.71	127	92	127.51
ENSG00000109846.8|CRYAB	656	609	425	465
ENSG00000109861.16|CTSC	1390	1704	1787	1934
ENSG00000109881.17|CCDC34	581	1034	599	893
ENSG00000109906.13|ZBTB16	18	10	11	5
ENSG00000109911.19|ELP4	356.62	402.39	443.29	409.26
ENSG00000109917.11|ZPR1	1103	1093	1065.93	1110.34
ENSG00000109919.10|MTCH2	2720	2996	2882	2900
ENSG00000109920.12|FNBP4	2390	2915	2734	2817
