	Ctrl_923_R2B1	Ola_923_R2B1	Ctrl_923_R3B1	Ola_923_R3B1	Ctrl_923_R1B2	Ola_923_R1B2
ENSG00000000003.14|TSPAN6	5.99878454569956	5.87915220379216	5.74847978971919	5.78585719918772	5.91777718334331	5.78835968585601
ENSG00000000419.12|DPM1	5.63731002960744	5.40038190389654	5.40214219255259	5.28740388739996	5.42729337949595	5.43632562723231
ENSG00000000457.14|SCYL3	3.80027872207168	3.5695949776933	3.59097490829536	3.66707976480152	3.73189769212381	3.58206649430712
ENSG00000000460.17|C1orf112	4.85747235594327	4.89201565546869	4.73782763467416	4.74943757508194	4.80661674805235	4.81175986253169
ENSG00000001036.13|FUCA2	6.87595709394993	6.82864312366118	6.77191552662641	6.76515486979627	6.81658048425698	6.80425482275993
ENSG00000001084.12|GCLC	5.02102601580739	4.76219976865943	4.97442149579519	4.67381971482602	4.79632337179668	4.91941012574734
ENSG00000001167.14|NFYA	6.09847035702077	5.90209065974842	5.89057340741211	5.79604463247556	5.99883471282173	5.8447548155067
ENSG00000001461.17|NIPAL3	3.74124911700624	3.73189484981983	3.48616899674514	3.48250436115479	3.53972855333969	3.68118010902332
ENSG00000001497.16|LAS1L	6.33493587884431	6.60821996914402	6.59256353585701	6.58514499198023	6.57549962757328	6.4849325603395
ENSG00000001629.10|ANKIB1	7.11462332783141	7.05860271440449	6.83605983534664	6.90081963268825	6.99630906613436	6.95874368900103
ENSG00000001630.17|CYP51A1	6.82246618882286	6.71991135154486	6.76034805711981	6.68510194377677	6.73741734528635	6.7564964253458
ENSG00000001631.15|KRIT1	6.40261316669081	6.21207975263778	6.28195817003901	6.07762483742539	6.21150166182978	6.27563630156672
ENSG00000002016.17|RAD52	3.63047519844741	3.55217914160296	3.93360751184022	3.48017248476886	3.46241078418814	3.83580638414158
ENSG00000002330.13|BAD	3.00898809139416	3.1263195244732	3.27492873757147	3.17583212065745	3.17231476329245	3.12071947375569
ENSG00000002549.12|LAP3	6.59867588443261	6.45490049700164	6.52048974070471	6.37104487104528	6.51180447270351	6.46075102388861
ENSG00000002586.20|CD99	4.69367799372002	4.6470935370097	4.45772611471177	4.51841076847112	4.62055487845823	4.53789932849807
ENSG00000002586.20|PAR|Y|CD99	4.69367799372002	4.6470935370097	4.45772611471177	4.51841076847112	4.62055487845823	4.53789932849807
ENSG00000002746.15|HECW1	0.181510684988869	-0.997665624549926	-0.607747034686384	-1.16762716561923	-1.051510453629	-0.244254116304331
ENSG00000002822.15|MAD1L1	4.85804199807268	5.12652927879707	5.21555178159125	5.35460779152008	5.06069123376798	5.21667419122257
ENSG00000002834.18|LASP1	7.47553750173291	7.60334200427294	7.52919792289931	7.61680724713701	7.5169160692789	7.59552626874219
ENSG00000002919.14|SNX11	4.6638922831577	4.30910528043081	4.19846118374604	4.31958994393046	4.34949034632951	4.396033999303
ENSG00000003056.8|M6PR	7.28296614247036	7.28740990545635	7.23260953050763	7.24762211881303	7.28403756848452	7.24126628013917
ENSG00000003096.14|KLHL13	5.1137805935303	4.95426833757151	5.03846182746235	4.85726961392297	4.94959501151034	5.03229517473323
ENSG00000003147.19|ICA1	3.48067355789777	3.1689623921497	3.3245818157948	3.23291355099797	3.26904840539996	3.33451725302017
ENSG00000003249.13|DBNDD1	4.90162312225951	4.82415576415986	5.09450889577554	5.13077294094281	4.96944343268016	5.0060869288887
ENSG00000003393.15|ALS2	4.81099378264982	4.57628730721281	4.50318999420915	4.74438784787229	4.64872613149714	4.6687033344749
ENSG00000003402.20|CFLAR	5.07512099699475	5.05960065197661	5.13165376004511	5.23320955671515	5.07193913148668	5.17785335137913
ENSG00000003509.16|NDUFAF7	4.31707043550775	4.15708542377967	4.35989104525928	4.10826030113823	4.31136770931986	4.15978589352261
ENSG00000003756.16|RBM5	7.4847076048308	7.50126236295834	7.51351551332158	7.44600840392138	7.59410781978491	7.37863912273114
ENSG00000003987.14|MTMR7	0.572520875890866	0.551168437959639	0.271809538425774	-0.120809960859282	0.167068418189673	0.470276027518826
ENSG00000003989.17|SLC7A2	2.95036083659057	3.09654136509654	3.24244764628223	3.1508627866474	3.12393641255648	3.09616990475189
ENSG00000004059.11|ARF5	6.31693936836953	6.3519060888634	6.38153793816446	6.4118692026988	6.39260082455541	6.33852547449268
ENSG00000004139.14|SARM1	6.07857345413047	6.24694936571159	6.36015148372948	6.57681572889402	6.26511079444576	6.36613422178703
ENSG00000004142.12|POLDIP2	6.86048656494668	6.82196104772497	6.82892393383251	6.95227033001367	6.9249718017543	6.80684913650461
ENSG00000004399.12|PLXND1	5.39075051086334	5.68802760144569	5.57270264902899	5.75444334439182	5.47290870974689	5.73005334311803
ENSG00000004455.16|AK2	7.38055722495556	7.31203865283935	7.33910585838935	7.34020330451873	7.40051206991802	7.28544045043348
ENSG00000004478.8|FKBP4	7.25152561059346	7.19424540809251	7.27056783260466	7.28054565121229	7.28421360663996	7.21422864461151
ENSG00000004487.16|KDM1A	8.20332605724642	8.12921422624129	8.08745837078681	8.00743575131995	8.15079758182122	8.06291962097601
ENSG00000004534.15|RBM6	7.16052244558627	7.20373599504853	7.31956991456656	7.11861917756207	7.35062073150389	7.05060303487782
ENSG00000004660.14|CAMKK1	1.29946626896548	1.56127882243449	1.53871624911167	1.81345192484096	1.76490904171909	1.34154759095721
ENSG00000004700.16|RECQL	6.03016882568458	5.91680716644171	5.82945173031357	5.88742095818559	5.92106180454462	5.91086253576811
ENSG00000004766.17|VPS50	5.39588570850356	5.31199426155698	5.23134620953529	5.2626019928791	5.33299339624862	5.26792068998885
ENSG00000004777.18|ARHGAP33	5.35526860722319	5.69789029057146	5.92725460798821	5.93583485917173	5.76274236746817	5.69538181500912
ENSG00000004779.10|NDUFAB1	5.71057776862979	5.51946923151221	5.62542205380079	5.62864432696672	5.60128041292067	5.64077627753408
ENSG00000004799.8|PDK4	0.617174029260701	0.308397890031941	0.317212479521979	-0.974003904972786	-0.0161708961712341	0.150561143092151
ENSG00000004838.14|ZMYND10	1.24546077856602	1.76579651392745	1.63823984056585	1.62704665927625	1.67053391375468	1.46773798241311
ENSG00000004848.8|ARX	0.895787656939908	0.532074433995383	0.573732389525708	-0.209134563994449	0.474626476201104	0.421603482032171
ENSG00000004864.13|SLC25A13	6.80337366147103	6.74141055046213	6.66627126812032	6.76161616921988	6.76255162206991	6.72378420256677
ENSG00000004866.20|ST7	4.38203837436585	4.51379212010526	4.41766950330636	4.3693083257709	4.50326788474385	4.33813627703034
ENSG00000004897.12|CDC27	7.09072963547509	6.94057723490895	6.96484259909473	6.87213326117053	6.96220038497325	6.9719409803514
ENSG00000004961.15|HCCS	4.77757121492678	4.76697500384336	4.60570692782212	4.7946669386046	4.70642410102542	4.76603594157301
ENSG00000004975.12|DVL2	6.22952706878359	6.32499378632979	6.29240820305043	6.39583874311697	6.29152985508941	6.32985404555098
ENSG00000005007.12|UPF1	6.844675040967	6.99613248930791	7.04217711858005	7.09027309327202	6.91897820057301	7.06765067049048
ENSG00000005020.13|SKAP2	4.56168723340115	4.32502620546635	4.16333300044836	4.12624069394904	4.29410834560002	4.29403522103243
ENSG00000005022.6|SLC25A5	7.81097400724117	7.7985882051759	7.80471258371549	7.80643122649874	7.81798389563181	7.79236911568384
ENSG00000005059.16|MCUB	5.62533029020387	5.46086258423253	5.27757255099641	5.5037627236744	5.4514746531869	5.48228942136671
ENSG00000005075.15|POLR2J	5.85226062936276	5.69597094725973	5.87492641947458	5.77139436659331	5.82888568837862	5.76839049296657
ENSG00000005100.13|DHX33	6.64530804918136	6.70264707819202	6.71841919722431	6.65846842109203	6.75971652242939	6.60270485041547
ENSG00000005108.16|THSD7A	-1.03038917464952	-0.590468522408243	-0.422680694498528	-0.437331140606475	-0.55474558909928	-0.685689176982105
ENSG00000005156.11|LIG3	6.52759050565449	6.41638578676426	6.60355576113967	6.55498042899734	6.62362287683907	6.42763336443882
ENSG00000005175.10|RPAP3	5.8200371444729	5.61473610400407	5.62510206262507	5.63521614794916	5.65076402780279	5.69678170172281
ENSG00000005189.19|REXO5	3.64198353902743	3.19652040995492	3.46354993694478	3.41112801241284	3.55325096881285	3.30333998035714
ENSG00000005194.15|CIAPIN1	6.38563558106156	6.29847115067144	6.25680297178918	6.31444246801093	6.3174332425318	6.31024284323475
ENSG00000005206.17|SPPL2B	5.57956011423212	5.99635080648211	6.0169507104443	5.99269614356279	5.94751184371472	5.84526704364593
ENSG00000005238.19|FAM214B	4.31869195936925	4.58600201711593	4.57943616076747	4.52855248410852	4.59703203674789	4.40930927393269
