	Ctrl_827_R1B1	LMP_827_R1B1	Ola_827_R1B1	LMP.Olap_827_R1B1	Ctrl_827_R2B1	LMP_827_R2B1	Ola_827_R2B1	LMP.Olap_827_R2B1	Ctrl_827_R3B2	LMP_827_R3B2	Ola_827_R3B2	LMP.Olap_827_R3B2
ENSG00000000003.14|TSPAN6	4.98659062755754	5.20003694505582	5.12596398286714	5.27752144378109	5.1748689882395	5.20173651521737	5.25044839542752	5.08016518059596	5.01510635315493	5.15022106021641	5.2357766784562	5.24756194754342
ENSG00000000419.12|DPM1	5.40012032686684	5.23902947835824	5.43283458084761	5.42403321764619	5.66956918232655	5.49661106743731	5.4822029064322	5.21723968343724	5.57718544248396	5.45499107691948	5.33702087854334	5.31162282372931
ENSG00000000457.14|SCYL3	3.60860694818085	3.22452498479106	3.55807664731093	3.62046009598297	3.32020524021694	3.29587917236038	3.51113917162312	3.43102274802741	3.5034152885266	3.29181006187885	3.46711882058312	3.52261333325826
ENSG00000000460.17|C1orf112	5.12810933982719	4.91901944201853	5.19704632881753	4.92142045047598	4.53664702334107	4.70189867425726	4.72250090086263	4.60644321482171	5.00407026818971	4.92334688799242	4.76735684218341	4.67176868884542
ENSG00000001036.13|FUCA2	6.69523282730008	6.71652634135445	6.59513788944355	6.75142770173243	6.39905451376979	6.79664649466052	6.61225793860287	6.67978664605142	6.69155879306186	6.66514081634698	6.5835931483129	6.68274241873582
ENSG00000001084.12|GCLC	4.53756039359782	4.52585592011236	4.55999083189455	4.69031878675818	4.10897461783721	4.21234500865557	4.13997944090563	4.35581892272715	4.45841288023011	4.42045273893601	4.31542404875191	4.3711322933262
ENSG00000001167.14|NFYA	5.79529367599798	5.68986009500497	5.86509559465806	5.73216687989285	6.18254901145534	6.03319586660733	5.93441265184198	5.67165571799562	5.99010164881386	5.87295172646223	5.81294206152986	5.77611930992111
ENSG00000001460.18|STPG1	3.02204799909801	3.06980154122843	2.82129241298042	3.32556762205386	2.86040565607663	2.92407312669761	2.65764867383068	3.24223641254695	2.7691904040655	2.96628631517385	2.87525786813732	3.35080213487962
ENSG00000001461.17|NIPAL3	5.67464377652567	5.9071605924285	5.73476780011612	6.36514013680477	5.03213762422315	5.58951626680634	5.38892208229135	6.02362272569335	5.46128060482732	5.78552751583064	5.60624842694669	6.00489895483999
ENSG00000001497.16|LAS1L	6.12583664311028	6.02913278227555	6.02756290043282	6.00635914112724	5.85907778426038	6.05322254139568	5.89924435304134	6.00057910580969	6.07296982900938	6.01353528728182	5.96716103937204	5.94684147006324
