	Ctrl_827_R1B1	LMP_827_R1B1	Ctrl_827_R2B1	LMP_827_R2B1	Ctrl_827_R3B2	LMP_827_R3B2
ENSG00000000003.14|TSPAN6	4.94327704390641	5.15820138656272	5.13174521038709	5.15950016404106	5.03051949975122	5.16584240269742
ENSG00000000419.12|DPM1	5.42641552586315	5.26144212347143	5.69189306376946	5.52084353786932	5.53435299836473	5.41594412712195
ENSG00000000457.14|SCYL3	3.60946261335728	3.21548087844241	3.31451420912602	3.29014420315021	3.46411664082424	3.25068431121373
ENSG00000000460.17|C1orf112	5.18551777802156	4.97281075552453	4.59322483825895	4.75779742032451	4.91706635562174	4.83760904044304
ENSG00000001036.13|FUCA2	6.7028568893835	6.72472865021419	6.41012527430855	6.80362176618789	6.67374252526675	6.64692376478031
ENSG00000001084.12|GCLC	4.57089497111721	4.55784973289008	4.14000887374966	4.24370359519357	4.39707617106018	4.35915241541509
ENSG00000001167.14|NFYA	5.78930998832927	5.68437066262881	6.18108279083891	6.02935362374054	5.97966761852749	5.86239091424128
ENSG00000001460.18|STPG1	2.94559384448094	2.9937914447771	2.7897606875784	2.85242957989514	2.7987916888442	2.9919960895216
ENSG00000001461.17|NIPAL3	5.70130489003649	5.9375495823558	5.05548809150885	5.61540026229576	5.41677277683397	5.73809863626449
ENSG00000001497.16|LAS1L	6.13356632362425	6.03838079203522	5.86477160172811	6.06330557522261	6.05515769119514	5.99485445510995
ENSG00000001629.10|ANKIB1	6.9635896810778	6.84903416729679	7.01503766204212	6.81604965924412	6.98400568137838	6.83784990345204
ENSG00000001630.17|CYP51A1	8.74511236804723	8.59614732162533	8.03842120598866	8.39601062317838	8.48073597540723	8.40710978401258
ENSG00000001631.15|KRIT1	5.90735367115943	5.9179639048316	5.84664899914876	5.88480830778186	5.92577242642633	5.85261501503449
ENSG00000002016.17|RAD52	4.09481759633113	4.23127118653185	4.83341121795071	4.4889226526607	4.39300052755091	4.43121079918629
ENSG00000002330.13|BAD	3.96628988783902	4.00723519426086	4.06698770019411	3.95905384843385	3.82921119230706	4.17057212305686
ENSG00000002549.12|LAP3	5.62669704273277	5.62677496813306	4.90313463682715	5.4269450611065	5.4050880944568	5.38668775994294
ENSG00000002586.20|CD99	5.7752024853187	5.67667632438893	7.29185992737005	6.66139240366283	6.40262607496635	6.29993949540391
ENSG00000002586.20|PAR|Y|CD99	5.7752024853187	5.67667632438893	7.29185992737005	6.66139240366283	6.40262607496635	6.29993949540391
ENSG00000002587.10|HS3ST1	3.05021507730614	3.32430408801493	2.10889350145306	3.08754631287848	2.75617040419871	3.02930908562759
ENSG00000002746.15|HECW1	3.36974852582252	3.5104202061515	2.50595242402385	3.21550400918289	3.17533208089664	3.12548050169375
ENSG00000002822.15|MAD1L1	5.11413584099957	4.66909915927917	4.22363596322809	4.35967071975068	4.77273282206244	4.41053801956631
ENSG00000002834.18|LASP1	7.06269368121969	7.2131162162344	7.19419430419958	7.2697061531568	7.15156294065607	7.21829223674917
ENSG00000002919.14|SNX11	3.87674601292565	4.08120053024826	4.17276321876953	4.08407435304894	3.99778997438429	4.1096020831119
ENSG00000003056.8|M6PR	6.94237497622594	6.87661937035387	6.8358596189721	6.81629783820593	6.94859629672598	6.78697960515294
ENSG00000003096.14|KLHL13	5.19787633337443	4.90844695301657	5.11353455787907	4.70767524350601	5.09449547925075	4.86927106463729
ENSG00000003137.8|CYP26B1	0.521407032324372	0.888567653156194	0.0276267884730061	0.349049403239622	0.17695127511038	0.716374163486217
ENSG00000003147.19|ICA1	3.3891586721052	3.46601731443699	3.04527586704142	3.52764431885725	3.22619174127914	3.48785634494129
ENSG00000003249.13|DBNDD1	6.0328608881664	6.14055074733392	4.97286401609255	5.39760418786202	5.51259424715473	5.75934567257272
ENSG00000003393.15|ALS2	5.97652999256667	5.86779170894897	5.83228799605909	5.97636927508302	5.95356969574525	5.87291979058362
ENSG00000003402.20|CFLAR	6.1934022179202	6.39983148039072	6.08694994626128	6.26237653581491	6.12128468215608	6.34999540803747
ENSG00000003436.16|TFPI	1.58266668962951	1.80083569614971	2.55575413138552	2.34595531588174	2.19973461121009	1.94287130531315
ENSG00000003509.16|NDUFAF7	3.78395577644994	3.57037400050815	3.97540776539741	3.767741826501	3.74199771976675	3.8067419646615
ENSG00000003756.16|RBM5	7.19325784729905	7.27698670850291	7.7505247941136	7.52126381329964	7.37585155682	7.4951650247876
ENSG00000003987.14|MTMR7	0.10232996009718	-0.921109393202427	0.633599996440223	-0.068820996035209	0.174847441935307	-0.301847658285423
ENSG00000004059.11|ARF5	6.52795950991932	6.67667558386679	6.70447437198841	6.70965186112116	6.64679005044839	6.66259061299944
ENSG00000004139.14|SARM1	6.26201924367548	6.4930562336202	5.87424637115767	6.06588327342912	6.07892056009593	6.26868200084531
ENSG00000004142.12|POLDIP2	6.93544612063455	6.99306668553913	6.91536120567765	6.97783457378024	6.93261186353772	6.97824242927806
ENSG00000004399.12|PLXND1	6.83615145752987	6.84619271461548	6.56505125890658	6.62458489057212	6.74923660583023	6.6867535549818
ENSG00000004455.16|AK2	6.46128477202657	6.32089680360611	6.66456552775581	6.54606807176342	6.54806797658438	6.44833961099158
ENSG00000004478.8|FKBP4	7.46534804953778	7.51248646100034	6.55180375648702	7.15352772695433	7.14013166056988	7.20145133641986
ENSG00000004487.16|KDM1A	6.79847820654299	6.79511762106665	6.43367725218211	6.7412826933457	6.80103900776403	6.5832388788047
ENSG00000004534.15|RBM6	7.12414439494839	6.89067782982224	7.31418822919613	7.22512179115653	7.21563519831367	7.06143092424798
ENSG00000004660.14|CAMKK1	2.21483077925409	2.54805286715536	3.45582432472134	3.10148937291462	2.6636681236208	2.99643054840191
ENSG00000004700.16|RECQL	6.84233789044051	6.76164187948569	6.55949846510704	6.67108841686651	6.70828394124737	6.70899938470251
ENSG00000004766.17|VPS50	5.20152793507959	5.05927228805844	4.97695270429372	5.05182519530989	5.09649422623487	5.04829483513595
ENSG00000004776.13|HSPB6	3.35272558481943	3.51062998143333	3.23025217825161	3.75142659253548	3.50658606860673	3.4159310999132
ENSG00000004777.18|ARHGAP33	4.89317838255103	4.8316392351101	4.72300663191127	4.4334701466324	4.84485476161408	4.59579243648832
ENSG00000004779.10|NDUFAB1	5.13649885324934	5.22048260851297	5.55376698610201	5.28452360357789	5.29731024491996	5.30032578080114
ENSG00000004838.14|ZMYND10	2.53040254319743	2.31713342665832	3.43223134704823	3.11153868550767	2.8565332060881	2.83911979511773
ENSG00000004864.13|SLC25A13	6.37127286243669	6.22762031064832	5.61876329491754	5.8552882161088	6.08938629890985	5.94708604314583
ENSG00000004866.20|ST7	5.14014508563643	4.98380865134862	5.60310442017718	5.41651216313959	5.43029213607143	5.14149302407948
ENSG00000004897.12|CDC27	7.18161798115255	7.00392020437764	6.76201573134476	6.90564197929497	6.9976933003557	6.92890464772926
ENSG00000004961.15|HCCS	4.7959814588993	4.67168644276019	4.54185390827376	4.39764772854614	4.53138597641235	4.67219879282735
ENSG00000004975.12|DVL2	6.30941601462364	6.3753850836744	6.31785747140065	6.49619717044829	6.37215853842648	6.37726933164701
ENSG00000005007.12|UPF1	7.35465923518337	7.47578203140989	6.70348970385579	6.91791141192852	7.08196070719771	7.14396048399108
ENSG00000005020.13|SKAP2	6.56636030567987	6.45614605904352	6.29954484947733	6.46175887772727	6.47823708405532	6.41366796190868
ENSG00000005022.6|SLC25A5	7.77075110660527	7.65730727883305	7.64240471759727	7.74144712597725	7.69367859180951	7.71227652269691
ENSG00000005059.16|MCUB	4.88279378857833	4.4254528911753	6.09313006385389	5.43355398661815	5.26420012890622	5.15326523620661
ENSG00000005073.5|HOXA11	1.04514762962629	0.393224496365456	0.759007550592125	0.873459708616448	0.454600594253797	1.08081909834636
ENSG00000005075.15|POLR2J	5.91781081703124	5.91899288013143	6.00087598525543	5.86431841180079	6.03805006887115	5.81294897823829
ENSG00000005100.13|DHX33	6.12726003565853	6.08116879990788	5.60577483740274	5.76947812934435	5.94697493675032	5.84486596440643
ENSG00000005156.11|LIG3	5.09315074427202	5.04117642468493	5.13086466129462	5.10715809023213	5.16757400823576	5.01860095200609
ENSG00000005175.10|RPAP3	6.12028466335294	5.95057839868507	5.4816584910499	5.75408929957636	5.82228914972901	5.83101627660313
ENSG00000005189.19|REXO5	3.22075390585554	3.05607445492693	3.17418271995136	3.21997441157561	3.4773518144013	2.85814093175342
ENSG00000005194.15|CIAPIN1	6.10148834007679	6.31799913188343	5.91354650398162	5.99440941636919	5.99663174003294	6.16708995612258
ENSG00000005206.17|SPPL2B	6.42765544810257	6.70120873862109	6.49137131966042	6.46594008535284	6.44620576003588	6.59688203583258
ENSG00000005238.19|FAM214B	4.41229442904057	4.60912759385681	4.98056537078092	4.75806103459355	4.54633365271957	4.83369056141635
ENSG00000005243.10|COPZ2	3.16634770719583	3.03873504185374	3.32009655660347	3.25657214723651	3.09935886394607	3.2915168624987
ENSG00000005249.13|PRKAR2B	3.74860779701827	3.37868086003564	3.31250114964327	3.24605546225835	3.43286467455922	3.41005795991855
ENSG00000005302.18|MSL3	4.94982940064021	5.11526021452721	5.1144029702353	5.1268888752872	4.93631403802303	5.21687669232193
ENSG00000005339.14|CREBBP	6.82269660205665	6.75513852385555	6.35691860558391	6.47362292721087	6.65619042708139	6.5479979022721
ENSG00000005379.17|TSPOAP1	3.30946154033379	3.48246257727432	3.08044606390715	3.29632810072065	3.21451607013123	3.36983307098672
ENSG00000005436.13|GCFC2	4.93791368508507	4.74366646718784	4.55831106116753	4.80481284036987	4.767598393176	4.75475363372915
ENSG00000005448.16|WDR54	4.3124112551129	4.40113674879798	4.86330131439477	4.92945755909943	4.51920780974454	4.73394562895801
ENSG00000005469.11|CROT	5.56401815283244	5.87436436978515	4.9937653467064	5.32074806188174	5.34192589802108	5.53452206758179
ENSG00000005483.20|KMT2E	6.61652807964957	6.48611874659837	7.1734077939586	6.87777457748529	6.82597236504215	6.75094223380377
ENSG00000005486.17|RHBDD2	7.19710553646061	7.49579057151205	6.69168603644547	7.04450390280689	6.94994353735164	7.26459948626088
ENSG00000005513.10|SOX8	4.71420884674731	4.90893633908635	3.83258479274427	4.38701747082367	4.50351996608105	4.41785375861975
ENSG00000005700.15|IBTK	6.52586484730604	6.44001897466776	6.64387715488522	6.6482857067741	6.55928625642676	6.56973708538981
ENSG00000005801.18|ZNF195	4.19414504690068	4.39978904005613	3.74024334435719	4.07220414566727	4.09561451913999	4.10757626935065
ENSG00000005810.18|MYCBP2	4.93296754855611	4.78813140053596	4.69272724210507	4.63505292419633	4.8534749033986	4.67096465429813
ENSG00000005812.11|FBXL3	4.36424165983767	4.26445087491494	4.96276682699863	4.68987587593504	4.65846008291784	4.48220753592529
ENSG00000005882.11|PDK2	4.90841933185596	4.91590629544241	4.55805094053098	4.73737213101816	4.68759466542933	4.87227968399442
ENSG00000005884.18|ITGA3	8.09109774759303	7.89303029297507	8.5698372089139	7.88546238570413	8.22189603718314	7.99781778040994
ENSG00000005889.15|ZFX	5.27435738417785	5.19510667602656	5.20460485100524	5.19534677567404	5.27419303313341	5.16051481030843
ENSG00000005893.15|LAMP2	6.59636527668326	6.67222179679002	7.51186402853116	7.1478426392761	6.9912027494986	6.97294412114168
ENSG00000005961.18|ITGA2B	-1.90326262414741	-2.15057111598428	-0.492326859924121	-0.265233288759709	-2.04684828854539	-0.35884865586237
ENSG00000006007.12|GDE1	5.77324553557585	5.82402553495897	5.40315579313743	5.69695770650789	5.70737314154836	5.64131914354171
ENSG00000006015.17|REX1BD	3.92218812860058	3.98751453671803	3.60451705346541	3.75924382876569	3.81534370188528	3.82138807188958
ENSG00000006016.11|CRLF1	1.9362247093273	1.64760963585469	2.40908540035649	1.92705546941591	1.88316832589185	2.07681928158535
ENSG00000006025.12|AC003665.1	4.21442751591442	4.58246971721749	4.76816533490195	4.58171586710411	4.380691279061	4.69269793850798
ENSG00000006047.13|YBX2	0.538520360049184	-0.159393726074647	0.53942976180481	-0.463797632551249	0.203067981498596	0.0243114001154537
ENSG00000006062.16|MAP3K14	3.01701581813655	3.0469883819115	2.916484320666	2.07431881363848	2.81543843843301	2.71196522874325
ENSG00000006071.13|ABCC8	0.885607931748433	1.12174652452933	1.33833356386617	0.687818596411564	1.09125632331863	0.925496984959117
ENSG00000006118.14|TMEM132A	5.46992260568558	5.82337480170543	5.18623801358545	5.29598465386661	5.30223432387589	5.58552571354564
ENSG00000006125.18|AP2B1	8.42289761363763	8.46653944172928	8.5966141972964	8.542506016416	8.52302223582888	8.49125639871077
