Ctrl_923_R2B1	LMP_923_R2B1	Ctrl_923_R3B1	LMP_923_R3B1	Ctrl_923_R1B2	LMP_923_R1B2
ENSG00000000003.14|TSPAN6	1025	1045	1083	700	1163	1169
ENSG00000000419.12|DPM1	820	900	876	638	799	852
ENSG00000000457.14|SCYL3	235.84	245.56	256.94	180.68	236.65	218.92
ENSG00000000460.17|C1orf112	458.16	544.44	525.06	365.32	544.35	628.08
ENSG00000001036.13|FUCA2	1889.08	2066.9	2218.39	1424.64	2156.68	2214.07
ENSG00000001084.12|GCLC	509	486	622	340	542	564
ENSG00000001167.14|NFYA	1077	1128	1174	677	1257	1201
ENSG00000001461.17|NIPAL3	231	382	245	246	202	341
ENSG00000001497.16|LAS1L	1365	1871	2046	1254	1748	1805
ENSG00000001629.10|ANKIB1	2298.49	2369	2374.59	1599.86	2396.76	2373.83
ENSG00000001630.17|CYP51A1	1812.99	1863.5	2181.78	1389.99	2055	2096
ENSG00000001631.15|KRIT1	1391.23	1485.38	1605.83	995.51	1389.14	1661.21
ENSG00000002016.17|RAD52	199.24	270.32	308.2	201	207.6	249.26
ENSG00000002330.13|BAD	128.28	157.3	196.01	144.84	173.06	160.12
ENSG00000002549.12|LAP3	1561	1678	1860	1332	1755	1950
ENSG00000002586.20|CD99	443	456.5	473	326.5	439.5	437
ENSG00000002586.20|PAR|Y|CD99	443	456.5	473	326.5	439.5	437
ENSG00000002822.15|MAD1L1	494.35	543.85	796.17	483.29	599.75	612.47
ENSG00000002834.18|LASP1	2950.34	3961.34	3864.36	3075.92	3403.23	4296.5
ENSG00000002919.14|SNX11	388	391	353	308	406	445
ENSG00000003056.8|M6PR	2600.51	2915.24	3120.56	2024.03	2913.65	2974.37
ENSG00000003096.14|KLHL13	546	519	652	344	601	535
ENSG00000003147.19|ICA1	176	200	202	113	185	179
ENSG00000003249.13|DBNDD1	498	645	719	508	577	575
ENSG00000003393.15|ALS2	461	545	469	331	472	520
ENSG00000003402.20|CFLAR	562.74	717	738	514.27	619.12	731.68
ENSG00000003509.16|NDUFAF7	316.47	343	416.16	275.18	379.54	416.2
ENSG00000003756.16|RBM5	2973.36	4152.44	3826.06	2862.02	3570.33	4157.44
ENSG00000003987.14|MTMR7	27.34	20.03	28.88	6.73	17.83	20.09
ENSG00000003989.17|SLC7A2	129	147	201	99	159	103
ENSG00000004059.11|ARF5	1339.83	1579.69	1776	1249.52	1539.35	1655
ENSG00000004139.14|SARM1	1104.32	1452.28	1694.01	1168.61	1444.25	1505.6
ENSG00000004142.12|POLDIP2	1924.95	2212.06	2378.49	1662.05	2263.87	2324.93
ENSG00000004399.12|PLXND1	742	954	1055	770	773	855
ENSG00000004455.16|AK2	2734	2893.53	3373.45	2060.67	3175.98	2945.58
ENSG00000004478.8|FKBP4	2469	2757.99	3107.97	2173	2978.99	2968.96
ENSG00000004487.16|KDM1A	4837	5388	5646	3791	5322	5500
ENSG00000004534.15|RBM6	2384.47	3128.45	3322	2024	3041	2988
ENSG00000004660.14|CAMKK1	45	78	69	58	54	73
ENSG00000004700.16|RECQL	1061.09	1302.72	1164.48	946.09	1148.79	1363.97
ENSG00000004766.17|VPS50	695	813	779	459	751	728
ENSG00000004776.13|HSPB6	4	10.75	13.43	7.61	9.87	10.05
ENSG00000004777.18|ARHGAP33	720.76	935.12	1342.45	962.73	951.27	1119.88
ENSG00000004779.10|NDUFAB1	819	875	972	621	951	947
ENSG00000004799.8|PDK4	26	34	27	19	17	28
ENSG00000004838.14|ZMYND10	44	72	75	86	50	67
ENSG00000004848.8|ARX	28	20	29	12	27	21
ENSG00000004864.13|SLC25A13	1808	1755	2063	1350	2065	2020
ENSG00000004866.20|ST7	332.32	346.7	436.48	246.74	428.99	433.35
ENSG00000004897.12|CDC27	2246	2371.99	2565.98	1555	2356	2405
ENSG00000004961.15|HCCS	423	506	473	353	519	525
ENSG00000004975.12|DVL2	1285	1559	1691	1266	1406	1673
ENSG00000005007.12|UPF1	1924	2320	2772	1969	2228	2520
ENSG00000005020.13|SKAP2	389	414	371	245	366	363
ENSG00000005022.6|SLC25A5	3660.86	3847.8	4514.75	2981.79	4295.88	4058.85
ENSG00000005059.16|MCUB	789	879	784	618	838	806
ENSG00000005075.15|POLR2J	964.66	1108.3	1230.7	809.14	1050.82	1130.62
ENSG00000005100.13|DHX33	1611	1958	2112	1495	2088	2021
ENSG00000005108.16|THSD7A	9	16	18	8	10	9
ENSG00000005156.11|LIG3	1523.43	1526.48	2011.32	1162.55	1840.79	1551.36
ENSG00000005175.10|RPAP3	902	1024	987	717	965	1158
ENSG00000005189.19|REXO5	202	192	226	147.25	221	212
ENSG00000005194.15|CIAPIN1	1317	1529	1521	1109	1555	1595
ENSG00000005206.17|SPPL2B	825	1136	1403	1122	1103	1273
ENSG00000005238.19|FAM214B	336	489	509	418	434	523
ENSG00000005243.10|COPZ2	20	34	18	22	17	21
ENSG00000005249.13|PRKAR2B	143	161	137	102	145	152
ENSG00000005302.18|MSL3	576	649	707	484	669	688
ENSG00000005339.14|CREBBP	1646	2021	2484	1634	1992	2062
ENSG00000005379.17|TSPOAP1	97	138	155	93	119	120
ENSG00000005436.13|GCFC2	355.99	344.84	387.82	252	365	384
ENSG00000005448.16|WDR54	771	886	929	766	875	967
ENSG00000005469.11|CROT	132	139	189	108	172	203
ENSG00000005483.20|KMT2E	2264	2627.9	2971.83	1737	2601.86	2469
ENSG00000005486.17|RHBDD2	1709	1916	2453	1740	1916	2192
ENSG00000005513.10|SOX8	1333	1257	2024	1014	1841	1311
ENSG00000005700.15|IBTK	1228	1297	1222	796	1189	1281
ENSG00000005801.18|ZNF195	1008	1297	1222	903	1143	1230
ENSG00000005810.18|MYCBP2	494.9	633	632	364	510.45	535.13
ENSG00000005812.11|FBXL3	390.65	413.29	478.78	320.59	439.68	429.69
ENSG00000005882.11|PDK2	259.78	412.44	335.97	386.74	325.63	348.29
ENSG00000005884.18|ITGA3	227	259	354	203	305	218
ENSG00000005889.15|ZFX	1088	1142	1287	787	1143	1121
ENSG00000005893.15|LAMP2	2653	2772	3025	2082	2883	3017
ENSG00000005961.18|ITGA2B	25	34	23	30	17	24
ENSG00000006007.12|GDE1	874	780	901	557.9	900.15	809
ENSG00000006015.17|REX1BD	133	184	185	130	161	168
ENSG00000006016.11|CRLF1	33.17	45.32	39.22	27.91	50.83	51.19
ENSG00000006025.12|AC003665.1	257	396	366	340	337	365
ENSG00000006042.12|TMEM98	115	148	112	71	145	96
ENSG00000006047.13|YBX2	53	90	80	98	73	125
ENSG00000006062.16|MAP3K14	166.15	244.06	285.25	227.59	240.64	272.56
ENSG00000006071.13|ABCC8	338	749	602	501	501	710
ENSG00000006118.14|TMEM132A	2622.86	3406.82	4066.97	3152	2902.67	3601.87
ENSG00000006125.18|AP2B1	5502	5563	6714	4234	6061	5963
ENSG00000006194.10|ZNF263	1022.92	1179.16	1249.08	741.89	1025.05	1156.68
ENSG00000006210.7|CX3CL1	1029	1308	1595	1350	1240	1553
ENSG00000006282.21|SPATA20	214	387	348	402	254	445
ENSG00000006283.18|CACNA1G	69.06	101	146.88	78	122.21	96
ENSG00000006327.13|TNFRSF12A	582	437	690	413	640	511
ENSG00000006432.15|MAP3K9	610	796	846	639	809	795
ENSG00000006451.8|RALA	1200	1226	1305	854	1260	1327
ENSG00000006453.14|BAIAP2L1	245.31	388.41	244.75	271.18	242.79	330.14
ENSG00000006459.11|KDM7A	260	265	320	182	278	241
ENSG00000006468.14|ETV1	10675	10934	11395	7196	10898	10726
ENSG00000006530.17|AGK	1344.29	1587.92	1686.81	1091.66	1628.64	1489.99
ENSG00000006534.16|ALDH3B1	124	193	173	176	130	183
ENSG00000006576.16|PHTF2	2271	2291	2635	1699	2715	2679
ENSG00000006607.14|FARP2	1322.17	1377.32	1479.45	1040.77	1418.88	1442
ENSG00000006625.18|GGCT	1551.99	1812	1758	1133.52	1732	1883
ENSG00000006634.8|DBF4	1321.77	1448.87	1604.02	1042.3	1461.96	1597.95
ENSG00000006638.11|TBXA2R	24	28	30	18	17	19
ENSG00000006652.14|IFRD1	2177	2303	2432	1525	2403	2332
ENSG00000006695.11|COX10	259.96	278	279.98	176	255	252.94
ENSG00000006704.10|GTF2IRD1	528	700	834	510	613	744
ENSG00000006712.15|PAF1	1740	2041	2459	1448	2145	1989
ENSG00000006715.16|VPS41	1989	2115	2122	1345	1878	2023
ENSG00000006744.19|ELAC2	1211	1332	1695	1009	1435	1479
ENSG00000006756.16|ARSD	238.79	331.26	291.57	275	248	364.12
ENSG00000006831.10|ADIPOR2	2015	2218	2412	1744	2314	2487
ENSG00000006837.12|CDKL3	57.83	58.85	76.52	43.55	64.49	39.42
ENSG00000007047.15|MARK4	507	649	650	550	544	596
ENSG00000007062.11|PROM1	2052	1940	2289	1107	2149	1577
ENSG00000007080.11|CCDC124	468	637	784	546	539	618
ENSG00000007168.13|PAFAH1B1	4282	4558	4722	3178	4559.19	4672.4
ENSG00000007171.17|NOS2	12	29	10	25	10	19
ENSG00000007174.18|DNAH9	379	467	486	293	437	418
ENSG00000007202.15|KIAA0100	4949.97	6038.35	6293.55	4270.83	5676.37	5773.39
ENSG00000007237.18|GAS7	10802	13738	13318	10521	12211	14176
ENSG00000007255.10|TRAPPC6A	57	91	100	82	47	71
ENSG00000007341.19|ST7L	363.67	436.43	403.32	296	428.55	385.08
ENSG00000007372.22|PAX6	315.23	418.45	423.22	287.94	335.68	367.09
ENSG00000007376.8|RPUSD1	216	256	367	299	261	316
ENSG00000007384.15|RHBDF1	151	255	249	206	225	235
ENSG00000007392.16|LUC7L	1337	2075	1660	1211	1611	1989
ENSG00000007402.11|CACNA2D2	32	39	29	47	27	35
ENSG00000007516.13|BAIAP3	654.04	825.81	984.96	831.62	759.2	738.13
ENSG00000007520.4|TSR3	252.96	303.19	344.04	281.38	335.8	330.87
ENSG00000007541.16|PIGQ	364	522.92	625.23	554.17	490	536.96
ENSG00000007545.15|CRAMP1	1034.05	1431.42	1433.17	1028.79	1229.44	1415.49
ENSG00000007866.21|TEAD3	199	304	266	196	217	243
ENSG00000007923.16|DNAJC11	1706.33	2059.23	2346.35	1605.03	2092.83	2197.01
ENSG00000007944.15|MYLIP	312	411	366	261	317	429
ENSG00000007968.7|E2F2	290	413	407	330	308	397
ENSG00000008018.9|PSMB1	2565	2567	2861	1813	2854	2628
ENSG00000008056.14|SYN1	144	181	171	147.58	161	203
ENSG00000008083.14|JARID2	988	1183	1232	892	1015	1199
ENSG00000008086.11|CDKL5	180	187	181	125	200	195
ENSG00000008128.23|CDK11A	607.27	884.27	982.66	633.52	726.9	951.64
ENSG00000008130.15|NADK	1325	1806	1998	1487	1619	2033
ENSG00000008256.16|CYTH3	501	583	682	473	598	603
ENSG00000008277.14|ADAM22	1696	1372	1893	899	1634	1311
ENSG00000008282.8|SYPL1	2002	2205	2097	1648	2109	2529
ENSG00000008283.16|CYB561	249	282	256	248	192	256
ENSG00000008294.21|SPAG9	5468	6750	6544	4574	6181	6714
ENSG00000008300.17|CELSR3	2282	2995	3135	2415	2483	2858
ENSG00000008311.15|AASS	1189.96	1452	1561	976	1373.92	1373
ENSG00000008324.11|SS18L2	230.07	256	228	176	301	310
ENSG00000008382.15|MPND	206	314	314.92	255	262.9	311
ENSG00000008405.12|CRY1	452	465	540	343	559	533
ENSG00000008441.16|NFIX	1290	1659	1921	1351	1493	1665
ENSG00000008513.16|ST3GAL1	130	140	179	94	128	137
ENSG00000008710.19|PKD1	814.18	1271.02	1593.38	1241.5	1053.58	1135.16
ENSG00000008735.14|MAPK8IP2	390	531	657	485	517	551
ENSG00000008838.20|MED24	1421	1906	2215	1672	1858	2101
ENSG00000008853.16|RHOBTB2	917.87	1140.38	1307.71	1070.07	1143.77	1426.6
ENSG00000008869.12|HEATR5B	667	777	705	509	762	719
ENSG00000008952.17|SEC62	2007	2046	2129	1496	2085	2280
ENSG00000008988.9|RPS20	5846	6440	6472	4396	6253	6092.99
ENSG00000009307.16|CSDE1	11833	12427	14502	9162	12993.97	13102
ENSG00000009335.18|UBE3C	3211	3344	3610	2567	3466	3637
ENSG00000009413.15|REV3L	3898.86	3808.05	4529.85	2608.19	3947.34	3657.24
ENSG00000009724.16|MASP2	45	52	54	33	30	39
ENSG00000009780.15|FAM76A	136	150	190	104	183	119
ENSG00000009830.11|POMT2	852	1038	1189	821	1041	1176
ENSG00000009844.16|VTA1	1489	1549	1536	978	1542	1451
ENSG00000009950.16|MLXIPL	56	67	64	54	50	74
ENSG00000009954.11|BAZ1B	8055	9328	9982	6580	8910	9639
ENSG00000010017.13|RANBP9	2678.96	2945.71	2902.91	1880.24	2846.63	2801.27
ENSG00000010072.16|SPRTN	251.26	291.89	342.78	263.4	341.2	313.01
ENSG00000010165.20|EEF1AKNMT	925	917	1105	726	1073	1145
ENSG00000010219.13|DYRK4	158	163.49	149	97	144	114.95
ENSG00000010244.18|ZNF207	4346	4666	5090.07	3323	4936	4934
ENSG00000010256.11|UQCRC1	2949	3177	3722	2667	3409	3411
ENSG00000010270.13|STARD3NL	1192	1392	1324	881	1352	1371
ENSG00000010278.14|CD9	2022	1860	2363	1384	2249	1953
ENSG00000010282.14|HHATL	7	8	6	8	15	11
ENSG00000010292.13|NCAPD2	4774	5683.66	5955.03	4165.69	5386.31	5740.32
ENSG00000010295.19|IFFO1	383	553	544	396	467	561
ENSG00000010310.9|GIPR	34	34	23	21	41	47
ENSG00000010318.21|PHF7	56	51	64	32	47	51
ENSG00000010322.16|NISCH	1603	2478	2535	2063	1936	2375
ENSG00000010361.13|FUZ	307.03	339.17	365.47	290.88	385.08	365.96
ENSG00000010404.18|IDS	7283.22	8685.24	9121.06	6850.69	8192.37	9291.74
ENSG00000010539.11|ZNF200	412	528	553	381	460	579
ENSG00000010626.15|LRRC23	98.27	124.24	143.43	77	150.3	147
ENSG00000010704.18|HFE	49	65	59	73	64	69
ENSG00000010803.16|SCMH1	918.99	897	1126.99	718	994	990
ENSG00000010810.17|FYN	4485	4291	5138	2787	4888	4108
ENSG00000010818.10|HIVEP2	84	118.85	99	71	115	73
ENSG00000011007.12|ELOA	1777.75	2205.02	2189.33	1575.99	2150.29	2483.18
ENSG00000011009.11|LYPLA2	787	1074	1277	960	913	1133
ENSG00000011021.23|CLCN6	1096.61	1210	1579.76	957.99	1450.73	1397
ENSG00000011028.14|AC080038.1	5425.5	7172.75	8653.58	6698.47	6580.43	7907.49
ENSG00000011052.21|NME1-NME2	363.44	496.42	742.28	384.16	489.42	502.85
ENSG00000011105.14|TSPAN9	534	602	716	533	603	605
ENSG00000011114.15|BTBD7	770	982	1028	687	920	1017
ENSG00000011132.12|APBA3	143.11	236.43	264	175	172.9	230
ENSG00000011143.16|MKS1	406	460	482	305	433	439
ENSG00000011198.9|ABHD5	522	481	560	320	579	475
ENSG00000011243.18|AKAP8L	1608.54	2074.87	2259.03	1543.61	2005.22	2123.44
ENSG00000011258.16|MBTD1	1099	1255	1123	737	1108	1099
ENSG00000011260.14|UTP18	1090	1126	1137	762	1226	1121
ENSG00000011275.18|RNF216	2215.65	2511.66	2942.16	1937.96	2403.68	2657
ENSG00000011295.16|TTC19	944.71	1056	1118	672.59	1010	1100.18
ENSG00000011304.20|PTBP1	4468	4933	6201	4227	5143	5325
ENSG00000011332.19|DPF1	604	762	915	599	736	838
ENSG00000011347.9|SYT7	267	310	368	272	307	318
ENSG00000011376.11|LARS2	2160	2454	2732	1870	2653	2718
ENSG00000011405.13|PIK3C2A	2322	2868	2642	1882	2651	2928
ENSG00000011422.12|PLAUR	119	144	156	79	140	135
ENSG00000011426.11|ANLN	3365	3905	4152	2949	3865	4453
ENSG00000011451.19|WIZ	1072	1476	1937	1332	1415	1502
ENSG00000011454.17|RABGAP1	1927	2163	2250	1602	2194	2404
ENSG00000011465.17|DCN	6	21	20	21	11	15
ENSG00000011478.12|QPCTL	247	238	278	236	236	254
ENSG00000011485.14|PPP5C	2214	2820	3240	2060	2583	2979.8
ENSG00000011523.14|CEP68	1026.67	1192.74	1164.5	911.16	1086	1280.59
ENSG00000011566.15|MAP4K3	839	949	900	696	932	1031
ENSG00000011638.10|TMEM159	72	87	59	62	85	51
ENSG00000012048.22|BRCA1	1241	1664	1476	1027	1324	1865
ENSG00000012061.15|ERCC1	1281.21	1481.92	1787.75	1144.91	1421.22	1516.84
