Ctrl_417_R1B1	LMP_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2
ENSG00000006025.12|AC003665.1	819	843	745	601	713	691
ENSG00000006042.12|TMEM98	19	13	15	6	1	3
ENSG00000006062.16|MAP3K14	207.04	195.14	155.98	160.55	142.08	169.5
ENSG00000006071.13|ABCC8	193	184	113	147	77	71
ENSG00000006118.14|TMEM132A	1475	1251	1109	920	1283	1606
ENSG00000006125.18|AP2B1	7940	7043	6893	6738	8925	7757
ENSG00000006194.10|ZNF263	722.26	639.32	741.16	647.88	638.62	574.33
ENSG00000006210.7|CX3CL1	3291	2396	3462	2827	2000	2483
ENSG00000006282.21|SPATA20	1519	1656	1070	1116	773	892
ENSG00000006283.18|CACNA1G	192	194	110	113	86	97.19
ENSG00000006327.13|TNFRSF12A	890	661	535	408	516	604
ENSG00000006377.11|DLX6	1939	1492	1723	1440	1488	1090
ENSG00000006432.15|MAP3K9	721	595	716	643	888	851
ENSG00000006451.8|RALA	1053	907	851	861	1660	1476
ENSG00000006453.14|BAIAP2L1	36.81	33.16	47.47	32	166.14	124.67
ENSG00000006459.11|KDM7A	220	227	190	146	99	76
ENSG00000006468.14|ETV1	2827	2559	2571	2357	3036	2289
ENSG00000006530.17|AGK	557.41	481.83	467.02	442.27	614.38	541.68
ENSG00000006534.16|ALDH3B1	433	518	352	372	311	371
ENSG00000006576.16|PHTF2	2444	2054	2102	2081	2787	2541
ENSG00000006606.8|CCL26	6	11	13	16	9	11
ENSG00000006607.14|FARP2	728.9	620.02	679.29	664.48	653.07	678.8
ENSG00000006625.18|GGCT	595	504	474.73	439.16	668.25	663
ENSG00000006634.8|DBF4	803.85	646.16	764.17	782.94	1007.06	967.19
ENSG00000006638.11|TBXA2R	169	128	95	119	102	144
ENSG00000006652.14|IFRD1	817	644	719	640	919	772
ENSG00000006695.11|COX10	288.56	211.68	209.81	149.84	247.89	241.77
ENSG00000006704.10|GTF2IRD1	457	511	360	337	466	483
ENSG00000006712.15|PAF1	1773	1607	1348	1272	1415	1437
ENSG00000006715.16|VPS41	1776	1437	1387	1331	1761	1329
ENSG00000006740.17|ARHGAP44	73	49	45	47	151	128
ENSG00000006744.19|ELAC2	1922	1853	1586	1469	1905	1958
ENSG00000006831.10|ADIPOR2	2795	2331	2185	2159	2387	2182
ENSG00000006837.12|CDKL3	38.44	46.26	21.69	30.25	36.66	15.85
ENSG00000007047.15|MARK4	393	417	329	301	306	340
ENSG00000007080.11|CCDC124	845	833	671	650	485	630
ENSG00000007168.13|PAFAH1B1	6532	5060	5156	4882	6092	5176
ENSG00000007171.17|NOS2	70	67	75	75	144	166
ENSG00000007174.18|DNAH9	25	10.91	26	17	11	6
ENSG00000007202.15|KIAA0100	5921.96	4918.17	4838.79	4112.73	4547.17	4332.4
ENSG00000007237.18|GAS7	4401	3380	3642	3254	291	209
