Ctrl_923_R2B1	Ola_923_R2B1	Ctrl_923_R3B1	Ola_923_R3B1	Ctrl_923_R1B2	Ola_923_R1B2
ENSG00000000003.14|TSPAN6	1025	988	1083	758	1163	994
ENSG00000000419.12|DPM1	820	734	876	551	799	758
ENSG00000000457.14|SCYL3	235.84	215.39	256.94	186.5	236.65	199.36
ENSG00000000460.17|C1orf112	458.16	492.61	525.06	363.5	544.35	512.64
ENSG00000001036.13|FUCA2	1889.08	1903.87	2218.39	1503.09	2156.68	2018.83
ENSG00000001084.12|GCLC	509	452	622	345	542	554
ENSG00000001167.14|NFYA	1077	985	1174	751	1257	1056
ENSG00000001461.17|NIPAL3	231	245	245	168	202	210
ENSG00000001497.16|LAS1L	1365	1725	2046	1385	1748	1538
ENSG00000001629.10|ANKIB1	2298.49	2284	2374.59	1679.83	2396.76	2215.82
ENSG00000001630.17|CYP51A1	1812.99	1762.98	2181.78	1412	2055	1959.97
ENSG00000001631.15|KRIT1	1391.23	1270.85	1605.83	948.35	1389.14	1371.19
ENSG00000002016.17|RAD52	199.24	201	308.2	155	207.6	254
ENSG00000002330.13|BAD	128.28	147.04	196.01	123.29	173.06	155.03
ENSG00000002549.12|LAP3	1561	1473	1860	1145	1755	1591
ENSG00000002586.20|CD99	443	453	473	337.5	439.5	391.5
ENSG00000002586.20|PAR|Y|CD99	443	453	473	337.5	439.5	391.5
ENSG00000002746.15|HECW1	19	9	14	6	8	13
ENSG00000002822.15|MAD1L1	494.35	623.53	796.17	598.86	599.75	630.57
ENSG00000002834.18|LASP1	2950.34	3370.45	3864.36	2794.75	3403.23	3388.35
ENSG00000002919.14|SNX11	388	321	353	264	406	395
ENSG00000003056.8|M6PR	2600.51	2676.18	3120.56	2149.87	2913.65	2665.59
ENSG00000003096.14|KLHL13	546	513	652	389	601	603
ENSG00000003147.19|ICA1	176	151	202	128	185	181
ENSG00000003249.13|DBNDD1	498	498	719	500	577	555
ENSG00000003393.15|ALS2	461	413	469	376	472	445
ENSG00000003402.20|CFLAR	562.74	580.58	738	535	619.12	628.43
ENSG00000003509.16|NDUFAF7	316.47	303.82	416.16	238.23	379.54	318.91
ENSG00000003756.16|RBM5	2973.36	3157.24	3826.06	2486.67	3570.33	2875.35
ENSG00000003987.14|MTMR7	27.34	29.69	28.88	14.13	17.83	19.19
ENSG00000003989.17|SLC7A2	129	151	201	127	159	146
ENSG00000004059.11|ARF5	1339.83	1435.05	1776	1229.74	1539.35	1393
ENSG00000004139.14|SARM1	1104.32	1297.44	1694.01	1337.36	1444.25	1461
ENSG00000004142.12|POLDIP2	1924.95	1958.11	2378.49	1751.26	2263.87	1959.84
ENSG00000004399.12|PLXND1	742	958	1055	817	773	873
ENSG00000004455.16|AK2	2734	2718.04	3373.45	2303.63	3175.98	2742.56
ENSG00000004478.8|FKBP4	2469	2438	3107.97	2128	2978.99	2693
ENSG00000004487.16|KDM1A	4837	4785	5646	3649	5322	4731
ENSG00000004534.15|RBM6	2384.47	2523.52	3322	1946	3041	2345
ENSG00000004660.14|CAMKK1	45	60	69	57	54	37
ENSG00000004700.16|RECQL	1061.09	1029.76	1164.48	825.49	1148.79	1070.01
ENSG00000004766.17|VPS50	695	683	779	539	751	678
ENSG00000004777.18|ARHGAP33	720.76	958.43	1342.45	917.2	951.27	858.8
ENSG00000004779.10|NDUFAB1	819	754	972	666	951	922
ENSG00000004799.8|PDK4	26	23	27	7	17	17
ENSG00000004838.14|ZMYND10	44	70	75	51	50	40
ENSG00000004848.8|ARX	28	24	29	11	27	23
ENSG00000004864.13|SLC25A13	1808	1809	2063	1513	2065	1891
ENSG00000004866.20|ST7	332.32	389.35	436.48	286.36	428.99	360.76
ENSG00000004897.12|CDC27	2246	2084	2565.98	1643	2356	2251
ENSG00000004961.15|HCCS	423	444	473	366	519	509
ENSG00000004975.12|DVL2	1285	1431	1691	1234	1406	1363
ENSG00000005007.12|UPF1	1924	2219	2772	1938	2228	2334
ENSG00000005020.13|SKAP2	389	350	371	247	366	342
ENSG00000005022.6|SLC25A5	3660.86	3731.83	4514.75	3057.86	4295.88	4007.85
ENSG00000005059.16|MCUB	789	742	784	622	838	808
ENSG00000005075.15|POLR2J	964.66	910.07	1230.7	779.08	1050.82	941.4
ENSG00000005100.13|DHX33	1611	1741	2112	1377	2088	1763
ENSG00000005108.16|THSD7A	9	14	18	12	10	8
ENSG00000005156.11|LIG3	1523.43	1473.72	2011.32	1330.4	1840.79	1504.4
ENSG00000005175.10|RPAP3	902	820	987	681	965	937
ENSG00000005189.19|REXO5	202	156	226	148	221	173
ENSG00000005194.15|CIAPIN1	1317	1298.99	1521	1085	1555	1455
ENSG00000005206.17|SPPL2B	825	1158	1403	942	1103	957
ENSG00000005238.19|FAM214B	336	434	509	339	434	359
ENSG00000005243.10|COPZ2	20	19	18	15	17	19
ENSG00000005249.13|PRKAR2B	143	113	137	105	145	112
ENSG00000005302.18|MSL3	576	505	707	422	669	568
ENSG00000005339.14|CREBBP	1646	1787	2484	1555	1992	1890
ENSG00000005379.17|TSPOAP1	97	146	155	105	119	108
ENSG00000005436.13|GCFC2	355.99	313.75	387.82	269.92	365	354
ENSG00000005448.16|WDR54	771	790	929	723	875	762
ENSG00000005469.11|CROT	132	125	189	112	172	164
ENSG00000005483.20|KMT2E	2264	2215	2971.83	1908.8	2601.86	2404.93
ENSG00000005486.17|RHBDD2	1709	1795	2453	1663	1916	1887
ENSG00000005513.10|SOX8	1333	1338	2024	1239	1841	1394
ENSG00000005700.15|IBTK	1228	1124	1222	758	1189	1148
ENSG00000005801.18|ZNF195	1008	1059	1222	743	1143	993
ENSG00000005810.18|MYCBP2	494.9	556.06	632	402	510.45	616.34
ENSG00000005812.11|FBXL3	390.65	354.45	478.78	245.15	439.68	418.24
ENSG00000005882.11|PDK2	259.78	318.68	335.97	290.62	325.63	320.74
ENSG00000005884.18|ITGA3	227	353	354	265	305	329
ENSG00000005889.15|ZFX	1088	1044	1287	758	1143	1140
ENSG00000005893.15|LAMP2	2653	2755	3025	2099	2883	3051
ENSG00000005961.18|ITGA2B	25	30	23	16	17	9
ENSG00000006007.12|GDE1	874	699	901	620	900.15	853.81
ENSG00000006015.17|REX1BD	133	144	185	126	161	144
ENSG00000006016.11|CRLF1	33.17	42.79	39.22	35	50.83	34.66
ENSG00000006025.12|AC003665.1	257	355	366	272	337	315
ENSG00000006042.12|TMEM98	115	135	112	76	145	125
ENSG00000006047.13|YBX2	53	84	80	65	73	70
ENSG00000006062.16|MAP3K14	166.15	191.25	285.25	176.72	240.64	228.64
ENSG00000006071.13|ABCC8	338	479	602	379	501	441
ENSG00000006118.14|TMEM132A	2622.86	3197.92	4066.97	2688.93	2902.67	2840.93
