Ctrl_417_R1B1	LMP.Olap_417_R1B1	Ctrl_417_R2B2	LMP.Olap_417_R2B2	Ctrl_417_R3B2	LMP.Olap_417_R3B2
ENSG00000006025.12|AC003665.1	819	950	745	590	713	793
ENSG00000006062.16|MAP3K14	207.04	221.62	155.98	158.91	142.08	183.17
ENSG00000006071.13|ABCC8	193	194	113	134	77	95
ENSG00000006118.14|TMEM132A	1475	1593	1109	999	1283	1871
ENSG00000006125.18|AP2B1	7940	8086	6893	6104	8925	7467
ENSG00000006194.10|ZNF263	722.26	669.03	741.16	503.13	638.62	539.46
ENSG00000006210.7|CX3CL1	3291	3228	3462	2646	2000	2727
ENSG00000006282.21|SPATA20	1519	1993	1070	1060	773	960
ENSG00000006283.18|CACNA1G	192	240.45	110	105	86	70
ENSG00000006327.13|TNFRSF12A	890	657	535	367	516	586
ENSG00000006377.11|DLX6	1939	1546	1723	1228	1488	793
ENSG00000006432.15|MAP3K9	721	701	716	719	888	849
ENSG00000006451.8|RALA	1053	999	851	771	1660	1460
ENSG00000006453.14|BAIAP2L1	36.81	69.9	47.47	29.45	166.14	157.56
ENSG00000006459.11|KDM7A	220	213	190	146	99	77
ENSG00000006468.14|ETV1	2827	2652	2571	2046	3036	2061
ENSG00000006530.17|AGK	557.41	520.42	467.02	370.18	614.38	448.38
ENSG00000006534.16|ALDH3B1	433	548	352	400	311	379
ENSG00000006576.16|PHTF2	2444	2381	2102	2078	2787	2222
ENSG00000006606.8|CCL26	6	13	13	10	9	12
ENSG00000006607.14|FARP2	728.9	713.76	679.29	565.81	653.07	638.41
ENSG00000006625.18|GGCT	595	523	474.73	383	668.25	642
ENSG00000006634.8|DBF4	803.85	836.22	764.17	679.95	1007.06	811.53
ENSG00000006638.11|TBXA2R	169	140	95	106	102	169
ENSG00000006652.14|IFRD1	817	792	719	659	919	745
ENSG00000006695.11|COX10	288.56	236.93	209.81	161.89	247.89	221.94
ENSG00000006704.10|GTF2IRD1	457	569	360	326	466	553
ENSG00000006712.15|PAF1	1773	1667	1348	1175	1415	1449
ENSG00000006715.16|VPS41	1776	1670	1387	1150	1761	1291
ENSG00000006740.17|ARHGAP44	73	65.29	45	46	151	118
ENSG00000006744.19|ELAC2	1922	1916	1586	1277	1905	1904
ENSG00000006831.10|ADIPOR2	2795	2504	2185	1932	2387	2096
ENSG00000006837.12|CDKL3	38.44	44.56	21.69	38.79	36.66	26.15
ENSG00000007047.15|MARK4	393	428	329	270	306	350
ENSG00000007080.11|CCDC124	845	938	671	591	485	734
ENSG00000007168.13|PAFAH1B1	6532	5735	5156	4352.47	6092	4717.4
ENSG00000007171.17|NOS2	70	87	75	103	144	182
ENSG00000007174.18|DNAH9	25	21	26	19	11	9
ENSG00000007202.15|KIAA0100	5921.96	5622.45	4838.79	3795.55	4547.17	4082.83
ENSG00000007237.18|GAS7	4401	4053	3642	3086	291	167
ENSG00000007255.10|TRAPPC6A	151	173	105	79	78	90
ENSG00000007341.19|ST7L	475.07	414.12	359.93	317.64	363.68	234.9
ENSG00000007372.22|PAX6	252.88	250.93	254.29	252.46	201.24	155.36
ENSG00000007376.8|RPUSD1	180	244	183	140	154	310
ENSG00000007384.15|RHBDF1	937	882	693	638	494	538
ENSG00000007392.16|LUC7L	1375	1465	949	923	1015	860
ENSG00000007402.11|CACNA2D2	899	1025	557	503	256	209
ENSG00000007520.4|TSR3	489	493	387	343	297.99	384
ENSG00000007541.16|PIGQ	509.77	568.79	360	347.25	324.99	497.77
ENSG00000007545.15|CRAMP1	1032.89	962.18	798.39	703.44	683.14	676.78
ENSG00000007866.21|TEAD3	218	243	130	149	226	268
ENSG00000007923.16|DNAJC11	1006.58	1017.6	981	692.61	887.93	823.39
ENSG00000007944.15|MYLIP	252	278	228	172	154	120
ENSG00000007968.7|E2F2	498	650	536	530	504	533
ENSG00000008018.9|PSMB1	3384	2900	2360	1895	3126	2747
ENSG00000008056.14|SYN1	91	96	65	62.45	62	56.3
ENSG00000008083.14|JARID2	507	548	502	361	528	488
ENSG00000008086.11|CDKL5	368	347	380	333	331	224
ENSG00000008118.10|CAMK1G	206	167	185	118	284	174
ENSG00000008128.23|CDK11A	615.84	576.53	500.89	425.33	517.11	498.22
ENSG00000008130.15|NADK	1531	1586	1122	996	1222	1278
ENSG00000008196.13|TFAP2B	24	17	21	12	12	4
ENSG00000008256.16|CYTH3	736	855	671	594	883	857
ENSG00000008277.14|ADAM22	1620	1442	1723	1410	672	466
ENSG00000008282.8|SYPL1	1649	1579	1295	1260	1704	1256
ENSG00000008283.16|CYB561	159	142	107	103	126	170
ENSG00000008294.21|SPAG9	5114	4651	4519	3885	5005	3708
ENSG00000008300.17|CELSR3	1620	1623	1034	974	1420	1807
ENSG00000008311.15|AASS	5187	4814	4421	3907.99	4361	3091
ENSG00000008324.11|SS18L2	162.14	171	147	144.04	274.1	215
ENSG00000008382.15|MPND	433.94	515.97	238	232.46	281.96	349.78
ENSG00000008394.13|MGST1	70	81	46	30	295	225
ENSG00000008405.12|CRY1	1206	1086	1011	895	1183	946
ENSG00000008441.16|NFIX	11774.72	12159	10166	8705.71	7415	7370
ENSG00000008513.16|ST3GAL1	304	265	260	208	403	383
ENSG00000008517.16|IL32	15	23	16	20	81	100
ENSG00000008710.19|PKD1	2226.66	2488.77	2034.7	2240.2	1077.92	1820.66
ENSG00000008735.14|MAPK8IP2	603	769	524	434	750	1046
ENSG00000008838.20|MED24	2283	2458	1770	1613	1569	1794
ENSG00000008853.16|RHOBTB2	740.6	826.82	623.12	552.37	659.66	723.68
ENSG00000008869.12|HEATR5B	1188	983	1064	841	1056	742
ENSG00000008952.17|SEC62	3406	2885	2535	2191	2912	2262
ENSG00000008988.9|RPS20	4826	4521	3736.99	3191.98	4269	3823.99
ENSG00000009307.16|CSDE1	9162.96	8329	7469	5907	9060	7159
ENSG00000009335.18|UBE3C	2901	2608	2322	1786	2894	2443
ENSG00000009413.15|REV3L	7412.95	6775.25	7209.8	5918.27	5251.38	3867.53
ENSG00000009694.13|TENM1	1027	582	1210	764	1098	438
ENSG00000009724.16|MASP2	117	98	64	60	62	62
ENSG00000009780.15|FAM76A	278	244	240	190	198	164
ENSG00000009830.11|POMT2	1457	1316	1187	924	883	889
ENSG00000009844.16|VTA1	1368	1167	1049	915	1188	981
ENSG00000009950.16|MLXIPL	11	20	9	14	25	41
ENSG00000009954.11|BAZ1B	5311	5263	4831	4084	5320	4857
ENSG00000010017.13|RANBP9	2350.89	2090.55	1804.99	1589.18	2131.47	1881.03
ENSG00000010072.16|SPRTN	342.18	371.56	333.95	253.8	364.17	281.57
ENSG00000010165.20|EEF1AKNMT	1192	1096	863	836	1194	1198
ENSG00000010219.13|DYRK4	320.94	286	265	208.39	238.53	165
ENSG00000010244.18|ZNF207	5351	4550.17	4266	3701	5117	3527
ENSG00000010256.11|UQCRC1	3303	3299	2431	2041	3019	3321
ENSG00000010270.13|STARD3NL	1413	1307	1232	1037	1432	1144
ENSG00000010278.14|CD9	1265	1352	1308	1404	1672	1607
ENSG00000010292.13|NCAPD2	4394.2	4680.66	4075.88	3821.94	6005.28	5548.18
ENSG00000010295.19|IFFO1	2350	2460	2433	2072.93	2082	2043
ENSG00000010310.9|GIPR	252	274	173	148	280	246
ENSG00000010318.21|PHF7	235	252	225	175	193	191
ENSG00000010322.16|NISCH	2502	2857	2091	1826	2234	2553
ENSG00000010361.13|FUZ	406.28	405.25	277.11	272.73	249.38	255.41
ENSG00000010404.18|IDS	8011.52	6893.19	6838.21	5163.23	6290.47	5158.76
ENSG00000010539.11|ZNF200	275	296	232	225	320	259.83
ENSG00000010626.15|LRRC23	158.03	136.37	123.15	108.39	87.41	84.75
ENSG00000010803.16|SCMH1	1677.99	1511	1448.98	1131.98	1325.99	1008.99
ENSG00000010810.17|FYN	6882	5804	6332	4972	5176	3253
ENSG00000010818.10|HIVEP2	223	280	204	253	331	319
ENSG00000011007.12|ELOA	2388.59	2238.19	1924.85	1686.56	2359.15	2023.13
ENSG00000011009.11|LYPLA2	574	505	413	299	567	668
ENSG00000011021.23|CLCN6	2212.28	2094.37	1855.06	1485.27	1976.96	1600.94
ENSG00000011028.14|AC080038.1	499	645	394.66	429	606	821.85
ENSG00000011052.21|NME1-NME2	257.1	286.44	247.37	279.93	53.25	400.89
ENSG00000011105.14|TSPAN9	933	992	895	735	1235	1237
ENSG00000011114.15|BTBD7	1280	1190	1115	897	1165	851
ENSG00000011132.12|APBA3	275.7	349	202.79	216	208	253.46
ENSG00000011143.16|MKS1	459	458	333	319	375	339
ENSG00000011198.9|ABHD5	1037	907	698	761	1267	1054
ENSG00000011243.18|AKAP8L	2158.32	2268.81	1910.97	1632.39	1776.38	1594.09
ENSG00000011258.16|MBTD1	629	517	563	403	474	386
ENSG00000011260.14|UTP18	1232	1030	801	664	1095	894
ENSG00000011275.18|RNF216	3037.31	2970.41	2413.73	1867.37	2057.3	1932.35
ENSG00000011295.16|TTC19	2199.79	1853.87	1659.49	1407.81	2172.69	1793.75
ENSG00000011304.20|PTBP1	4919	4833	4392	3717	3741	4420
ENSG00000011332.19|DPF1	353	287	280	276	273	295
ENSG00000011347.9|SYT7	43	46	36	44	50	64
ENSG00000011376.11|LARS2	999	1015	800	690	1059	890
ENSG00000011405.13|PIK3C2A	2283	2292	2537	2291	1867	1423
ENSG00000011422.12|PLAUR	29	14	15	20	18	15
ENSG00000011426.11|ANLN	2564	2896	2821	2692	4413	4270
ENSG00000011451.19|WIZ	1742	2163	1484	1331	1035	1564
ENSG00000011454.17|RABGAP1	3297	3132	2839	2439	2882	1972
ENSG00000011478.12|QPCTL	136	111	124	123	89	151
ENSG00000011485.14|PPP5C	1178	1283	972	919	1016.56	1162
