Ola_417_R1B1	LMP.Olap_417_R1B1	Ola_417_R2B2	LMP.Olap_417_R2B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000006025.12|AC003665.1	746	950	795	590	833	793
ENSG00000006062.16|MAP3K14	168.21	221.62	178.98	158.91	153.93	183.17
ENSG00000006071.13|ABCC8	116	194	143	134	104	95
ENSG00000006118.14|TMEM132A	1276	1593	1205	999	1813	1871
ENSG00000006125.18|AP2B1	6501	8086	7627	6104	8881	7467
ENSG00000006194.10|ZNF263	559.25	669.03	627.51	503.13	640.28	539.46
ENSG00000006210.7|CX3CL1	2716	3228	3247	2646	2514	2727
ENSG00000006282.21|SPATA20	1268	1993	1173	1060	962	960
ENSG00000006283.18|CACNA1G	177	240.45	129	105	102	70
ENSG00000006327.13|TNFRSF12A	588	657	511	367	544	586
ENSG00000006377.11|DLX6	1456	1546	1663	1228	1407	793
ENSG00000006432.15|MAP3K9	535	701	670	719	945	849
ENSG00000006451.8|RALA	796	999	1039	771	1493	1460
ENSG00000006453.14|BAIAP2L1	38.13	69.9	40.37	29.45	127.58	157.56
ENSG00000006459.11|KDM7A	172	213	207	146	109	77
ENSG00000006468.14|ETV1	2310	2652	2685	2046	2749	2061
ENSG00000006530.17|AGK	443	520.42	535.36	370.18	575.39	448.38
ENSG00000006534.16|ALDH3B1	444	548	408	400	381	379
ENSG00000006576.16|PHTF2	1861	2381	2381	2078	2623	2222
ENSG00000006606.8|CCL26	5	13	10	10	6	12
ENSG00000006607.14|FARP2	602.16	713.76	673.8	565.81	635.26	638.41
ENSG00000006625.18|GGCT	445	523	504.86	383	590	642
ENSG00000006634.8|DBF4	655.97	836.22	847.01	679.95	891.16	811.53
ENSG00000006638.11|TBXA2R	105	140	118	106	124	169
ENSG00000006652.14|IFRD1	601	792	755	659	853	745
ENSG00000006695.11|COX10	210.93	236.93	228.72	161.89	239.94	221.94
ENSG00000006704.10|GTF2IRD1	448	569	426	326	549	553
ENSG00000006712.15|PAF1	1351	1667	1361	1175	1470	1449
ENSG00000006715.16|VPS41	1363	1670	1597	1150	1749	1291
ENSG00000006740.17|ARHGAP44	41.1	65.29	61	46	148	118
ENSG00000006744.19|ELAC2	1548	1916	1800	1277	1943	1904
ENSG00000006831.10|ADIPOR2	2136	2504	2268	1932	2399	2096
ENSG00000006837.12|CDKL3	32.77	44.56	34.06	38.79	34.09	26.15
ENSG00000007047.15|MARK4	360	428	348	270	411	350
ENSG00000007080.11|CCDC124	776	938	705	591	663	734
ENSG00000007168.13|PAFAH1B1	4702	5735	5718	4352.47	5748	4717.4
ENSG00000007171.17|NOS2	56	87	86	103	156	182
ENSG00000007174.18|DNAH9	16	21	15	19	6	9
ENSG00000007202.15|KIAA0100	4725.5	5622.45	4917.37	3795.55	4724.94	4082.83
ENSG00000007237.18|GAS7	3273	4053	3875	3086	278	167
ENSG00000007255.10|TRAPPC6A	123	173	112	79	103	90
ENSG00000007341.19|ST7L	332.28	414.12	429.98	317.64	308.75	234.9
ENSG00000007372.22|PAX6	199.19	250.93	270.72	252.46	207.25	155.36
ENSG00000007376.8|RPUSD1	200	244	186	140	227	310
ENSG00000007384.15|RHBDF1	820	882	731	638	655	538
ENSG00000007392.16|LUC7L	1017	1465	1153	923	887	860
ENSG00000007402.11|CACNA2D2	718	1025	590	503	276	209
ENSG00000007520.4|TSR3	461.99	493	396	343	364	384
ENSG00000007541.16|PIGQ	491	568.79	431.38	347.25	423.09	497.77
ENSG00000007545.15|CRAMP1	778.22	962.18	846.58	703.44	852.28	676.78
ENSG00000007866.21|TEAD3	178	243	161	149	266	268
ENSG00000007923.16|DNAJC11	913.85	1017.6	935.99	692.61	915.25	823.39
ENSG00000007944.15|MYLIP	166	278	254	172	146	120
ENSG00000007968.7|E2F2	381	650	522	530	519	533
ENSG00000008018.9|PSMB1	2390	2900	2662	1895	2895	2747
ENSG00000008056.14|SYN1	61	96	86	62.45	85	56.3
ENSG00000008083.14|JARID2	471	548	472	361	561	488
ENSG00000008086.11|CDKL5	278	347	316	333	308	224
ENSG00000008118.10|CAMK1G	131	167	177	118	313	174
ENSG00000008128.23|CDK11A	514.74	576.53	546.53	425.33	569.41	498.22
ENSG00000008130.15|NADK	1259	1586	1229	996	1437	1278
ENSG00000008196.13|TFAP2B	12	17	28	12	12	4
ENSG00000008256.16|CYTH3	666	855	793	594	887	857
ENSG00000008277.14|ADAM22	1220	1442	1716	1410	611	466
ENSG00000008282.8|SYPL1	1223	1579	1535	1260	1542	1256
ENSG00000008283.16|CYB561	91	142	86	103	170	170
ENSG00000008294.21|SPAG9	3923	4651	4750	3885	4754	3708
