Ctrl_923_R2B1	LMP.Olap_923_R2B1	Ctrl_923_R3B1	LMP.Olap_923_R3B1	Ctrl_923_R1B2	LMP.Olap_923_R1B2
ENSG00000000003.14|TSPAN6	1025	779	1083	825	1163	635
ENSG00000000419.12|DPM1	820	777	876	906	799	777
ENSG00000000457.14|SCYL3	235.84	191.83	256.94	243.94	236.65	190.28
ENSG00000000460.17|C1orf112	458.16	635.17	525.06	740.06	544.35	569.72
ENSG00000001036.13|FUCA2	1889.08	1819.71	2218.39	2222.88	2156.68	1866.85
ENSG00000001084.12|GCLC	509	401	622	529	542	376
ENSG00000001167.14|NFYA	1077	880	1174	969	1257	837
ENSG00000001461.17|NIPAL3	231	413.99	245	362	202	311
ENSG00000001497.16|LAS1L	1365	1583	2046	1714	1748	1386
ENSG00000001617.12|SEMA3F	4	14	4	13	3	13
ENSG00000001629.10|ANKIB1	2298.49	2062	2374.59	2281	2396.76	1886.8
ENSG00000001630.17|CYP51A1	1812.99	1629.98	2181.78	2160.99	2055	1717
ENSG00000001631.15|KRIT1	1391.23	1282.74	1605.83	1459.28	1389.14	1254.53
ENSG00000002016.17|RAD52	199.24	217	308.2	252.27	207.6	216
ENSG00000002330.13|BAD	128.28	195.63	196.01	167.31	173.06	174.46
ENSG00000002549.12|LAP3	1561	1613	1860	1806	1755	1468
ENSG00000002586.20|CD99	443	440	473	405	439.5	305.5
ENSG00000002586.20|PAR|Y|CD99	443	440	473	405	439.5	305.5
ENSG00000002746.15|HECW1	19	15	14	6	8	2
ENSG00000002822.15|MAD1L1	494.35	711.67	796.17	714.49	599.75	652.06
ENSG00000002834.18|LASP1	2950.34	3867.52	3864.36	4049.97	3403.23	3692.16
ENSG00000002919.14|SNX11	388	368	353	393	406	321
ENSG00000003056.8|M6PR	2600.51	2654.57	3120.56	2981.57	2913.65	2551.83
ENSG00000003096.14|KLHL13	546	512	652	488	601	416
ENSG00000003147.19|ICA1	176	203	202	186	185	153
ENSG00000003249.13|DBNDD1	498	533	719	522	577	495
ENSG00000003393.15|ALS2	461	494	469	487	472	389
ENSG00000003402.20|CFLAR	562.74	749.72	738	812	619.12	636
ENSG00000003509.16|NDUFAF7	316.47	393.52	416.16	415.47	379.54	326.19
ENSG00000003756.16|RBM5	2973.36	4013.9	3826.06	4122.41	3570.33	3339.9
ENSG00000003987.14|MTMR7	27.34	21.59	28.88	24.79	17.83	34.08
ENSG00000003989.17|SLC7A2	129	99	201	117	159	68
ENSG00000004059.11|ARF5	1339.83	1486	1776	1336	1539.35	1257.12
ENSG00000004139.14|SARM1	1104.32	1255.18	1694.01	1421.91	1444.25	1187.47
ENSG00000004142.12|POLDIP2	1924.95	1990.88	2378.49	2127.75	2263.87	1967.28
ENSG00000004399.12|PLXND1	742	1104	1055	1056	773	864
ENSG00000004455.16|AK2	2734	2730.33	3373.45	3059.84	3175.98	2407.33
ENSG00000004478.8|FKBP4	2469	2695	3107.97	2955	2978.99	2713
ENSG00000004487.16|KDM1A	4837	4555	5646	5085	5322	3956
ENSG00000004534.15|RBM6	2384.47	2445	3322	2640	3041	1989
ENSG00000004660.14|CAMKK1	45	66	69	73	54	36
ENSG00000004700.16|RECQL	1061.09	1270.02	1164.48	1399.19	1148.79	1132.54
ENSG00000004766.17|VPS50	695	720	779	786	751	613
ENSG00000004777.18|ARHGAP33	720.76	1043.01	1342.45	986.87	951.27	859.71
ENSG00000004779.10|NDUFAB1	819	840	972	941	951	728
ENSG00000004799.8|PDK4	26	53	27	39	17	34
ENSG00000004838.14|ZMYND10	44	81	75	81	50	81
ENSG00000004848.8|ARX	28	14	29	11	27	9
ENSG00000004864.13|SLC25A13	1808	1570	2063	1871	2065	1512
ENSG00000004866.20|ST7	332.32	324.47	436.48	347.54	428.99	311.77
ENSG00000004897.12|CDC27	2246	1809.98	2565.98	2138	2356	1741.91
ENSG00000004961.15|HCCS	423	480	473	537	519	416
ENSG00000004975.12|DVL2	1285	1600	1691	1631	1406	1439
ENSG00000005007.12|UPF1	1924	2192	2772	2242	2228	2047
ENSG00000005020.13|SKAP2	389	402	371	373	366	323
ENSG00000005022.6|SLC25A5	3660.86	3438.81	4514.75	3981.81	4295.88	3364.79
ENSG00000005059.16|MCUB	789	863	784	906	838	716
ENSG00000005075.15|POLR2J	964.66	1100.05	1230.7	1164.95	1050.82	1018.66
ENSG00000005100.13|DHX33	1611	1943	2112	2148	2088	1893
ENSG00000005108.16|THSD7A	9	14	18	20	10	7
ENSG00000005156.11|LIG3	1523.43	1129.21	2011.32	1312.01	1840.79	1048.31
ENSG00000005175.10|RPAP3	902	946	987	1152	965	901
ENSG00000005189.19|REXO5	202	212.88	226	261	221	163.98
ENSG00000005194.15|CIAPIN1	1317	1252	1521	1419	1555	1345
ENSG00000005206.17|SPPL2B	825	1354	1403	1303	1103	1092
ENSG00000005238.19|FAM214B	336	466	509	490	434	425
ENSG00000005243.10|COPZ2	20	27	18	33	17	24
ENSG00000005249.13|PRKAR2B	143	93	137	153	145	89
ENSG00000005302.18|MSL3	576	567	707	650	669	535
ENSG00000005339.14|CREBBP	1646	1649	2484	1965	1992	1763
ENSG00000005379.17|TSPOAP1	97	127	155	91	119	84
ENSG00000005436.13|GCFC2	355.99	304.97	387.82	350	365	253.84
ENSG00000005448.16|WDR54	771	1077	929	1108	875	895
ENSG00000005469.11|CROT	132	141	189	168	172	141
ENSG00000005483.20|KMT2E	2264	2180.92	2971.83	2277.93	2601.86	1754
ENSG00000005486.17|RHBDD2	1709	1937	2453	1960	1916	2030
ENSG00000005513.10|SOX8	1333	884	2024	1033	1841	938
ENSG00000005700.15|IBTK	1228	1101	1222	1177	1189	927
ENSG00000005801.18|ZNF195	1008	1161	1222	1211	1143	1070
ENSG00000005810.18|MYCBP2	494.9	569.77	632	531.99	510.45	513.42
ENSG00000005812.11|FBXL3	390.65	399.44	478.78	473.61	439.68	363.91
ENSG00000005882.11|PDK2	259.78	456.6	335.97	408.84	325.63	375.98
ENSG00000005884.18|ITGA3	227	311	354	347	305	308
ENSG00000005889.15|ZFX	1088	964	1287	1171	1143	930
ENSG00000005893.15|LAMP2	2653	2742	3025	3056	2883	2300
ENSG00000005961.18|ITGA2B	25	38	23	34	17	16
ENSG00000006007.12|GDE1	874	718.17	901	733	900.15	715
ENSG00000006015.17|REX1BD	133	147	185	178	161	165
ENSG00000006016.11|CRLF1	33.17	46.13	39.22	45.42	50.83	31.33
ENSG00000006025.12|AC003665.1	257	417	366	428	337	370
ENSG00000006042.12|TMEM98	115	88	112	84	145	52
ENSG00000006047.13|YBX2	53	136	80	124	73	87
ENSG00000006062.16|MAP3K14	166.15	270.38	285.25	337.37	240.64	290.55
