Ctrl_417_R1B1	LMP_417_R1B1	Ola_417_R1B1	LMP.Olap_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ola_417_R2B2	LMP.Olap_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000004961.15|HCCS	639	547	477	639	454	501	527	488	722	685	668	633
ENSG00000004975.12|DVL2	3077	3022	2569	3318	2529	2270	2674	2098	2389	2643	2854	2647
ENSG00000005007.12|UPF1	2957	2788	2626	3361	2768	2616	3003	2386	2153	2632	2811	2639
ENSG00000005022.6|SLC25A5	4942.8	4078.72	3667.82	4574.78	3564.9	3574.91	4256.7	3244.82	5212.96	4810.89	5000.78	4757.87
ENSG00000005059.16|MCUB	458	391	345	409	363	283	371	271	485	363	426	329
ENSG00000005075.15|POLR2J	1305.98	1068.27	897.56	1110.55	928	839.62	988.52	722.13	938.72	909.96	892.18	907.65
ENSG00000005100.13|DHX33	932	837	824	896	751	653	838	673	958	932	868	859
ENSG00000005156.11|LIG3	986.08	845.04	657.01	907.15	715.5	637.39	748.58	627.4	636.65	662.47	664.2	601.23
ENSG00000005175.10|RPAP3	761	620	525	715	619	583	685	515	847	675	638	629
ENSG00000005187.12|ACSM3	24.09	38.52	15.71	26.12	17.62	41.31	26.62	30.86	26.3	23.28	26.3	25.05
ENSG00000005189.19|REXO5	528	414	355	508	360	505.55	444	503.93	487	491	442.95	429
ENSG00000005194.15|CIAPIN1	972	808	725	952	644	727	803	629	879	775	845	721
ENSG00000005206.17|SPPL2B	1014	1004	856	1076	841	789	917	791	601	811	833	961
ENSG00000005238.19|FAM214B	353	321	260	329	289	263	336	237	323	367	363	331
ENSG00000005243.10|COPZ2	444	441	310	509	319	295	346	317	404	365	400	392
ENSG00000005249.13|PRKAR2B	870	725	655	853	588	633	654	540	785	634	780	597
ENSG00000005302.18|MSL3	1311	1021	902	1003	1024	928	1069	804	960	787	901	755
ENSG00000005339.14|CREBBP	2377	2160	2010	2368	1941	1684	1963	1571	1489	1654	1736	1667
ENSG00000005379.17|TSPOAP1	741	904	580	953	603	575	651	657	381	453	410	427
ENSG00000005436.13|GCFC2	501.61	466	400	502.98	438	415	420.91	360.99	447	400	394	374
ENSG00000005448.16|WDR54	421	419	338	498	488	458	397	524	385	505	435	477
ENSG00000005469.11|CROT	363	320	308	363	372	351	393	353	329	289	335	245
ENSG00000005483.20|KMT2E	3027.87	2457.92	2382	2632	2649.87	2205	2579.91	2023.83	2375.92	1858.94	2279	1656.91
