LMP_827_R1B1	LMP.Olap_827_R1B1	LMP_827_R2B1	LMP.Olap_827_R2B1	LMP_827_R3B2	LMP.Olap_827_R3B2
ENSG00000000003.14|TSPAN6	557	655	628	664	736	584
ENSG00000000419.12|DPM1	587	749	800	752	884	593
ENSG00000000457.14|SCYL3	142.17	210.53	165.39	214.42	204.57	178.45
ENSG00000000460.17|C1orf112	433.83	483.47	416.61	452.58	669.43	422.55
ENSG00000001036.13|FUCA2	1560.8	1797.18	1928.43	1984.63	2084.1	1577.97
ENSG00000001084.12|GCLC	326	408	290	378	481	345
ENSG00000001167.14|NFYA	811	940	1196	1046	1154	803
ENSG00000001460.18|STPG1	123	166.04	125	185	170.02	166
ENSG00000001461.17|NIPAL3	914	1402.96	844	1295	1116.98	965
ENSG00000001497.16|LAS1L	949	1055	1124	1217	1367	970
ENSG00000001629.10|ANKIB1	1794	2027	2062	2335.99	2234.98	1672.84
ENSG00000001630.17|CYP51A1	5237	5381	5735.33	5496.95	7122.98	5203.99
ENSG00000001631.15|KRIT1	926.14	972.31	1052.58	1000.15	1174.56	967.89
ENSG00000002016.17|RAD52	304.22	377.14	408	455.51	428.27	344.13
ENSG00000002330.13|BAD	219.64	270.91	237.32	408.05	423.91	261.11
ENSG00000002549.12|LAP3	699	743	695	819	933	695
ENSG00000002586.20|CD99	906	969	2090.5	1760.5	1381.5	1119
ENSG00000002586.20|PAR|Y|CD99	906	969	2090.5	1760.5	1381.5	1119
ENSG00000002587.10|HS3ST1	146	178	137	178	185	139
ENSG00000002746.15|HECW1	156	170	142	177.94	209.92	152
ENSG00000002822.15|MAD1L1	332.59	360.25	296.42	494.66	527.72	312.37
ENSG00000002834.18|LASP1	2257.38	2328.22	2854	2685.72	2901.68	2122.94
ENSG00000002919.14|SNX11	266	339	295	361	356	276
ENSG00000003056.8|M6PR	1751.83	1978.37	1970.38	2109.48	2250.65	1660.27
ENSG00000003096.14|KLHL13	486	493	470	540	584	454
ENSG00000003137.8|CYP26B1	25	32	19	45	39	24
ENSG00000003147.19|ICA1	176	219	203	181	232	163
ENSG00000003249.13|DBNDD1	946	1136	651	1254	1254	918
ENSG00000003393.15|ALS2	908	1009	1137	1090	1175	826
ENSG00000003402.20|CFLAR	1213	1635.92	1304.68	1706.42	1727.27	1433.34
ENSG00000003436.16|TFPI	59	67	96	86	74	77
ENSG00000003509.16|NDUFAF7	191.27	227.32	244.34	255	283.37	207.14
ENSG00000003756.16|RBM5	2488.72	2901.21	3547.36	3431.4	3312.11	2474.59
ENSG00000003987.14|MTMR7	10.5	26.34	21.37	28.85	12.96	15.76
ENSG00000004059.11|ARF5	1547.44	1541.67	1847.34	2111.79	2048.99	1475.71
