Ctrl_602_R1B1	LMP_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2
ENSG00000117877.10|CD3EAP	150.39	146.79	161.57	176.2
ENSG00000117899.11|MESD	1508	1657	1656	1797
ENSG00000117906.14|RCN2	4539	4521	5387	5293
ENSG00000117984.14|CTSD	2626.94	2757.62	2419.59	2895.99
ENSG00000118004.17|COLEC11	10	6	11	5
ENSG00000118007.13|STAG1	1133.43	1067.42	1400.75	1182.21
ENSG00000118046.15|STK11	1355.86	1458.73	1295.41	1555.66
ENSG00000118058.21|KMT2A	1234.35	1358.23	1423	1563.05
ENSG00000118096.7|IFT46	355	383	398	369
ENSG00000118160.14|SLC8A2	27	27	11	11
ENSG00000118162.14|KPTN	282	293	281	312
ENSG00000118181.11|RPS25	4191.81	4176.26	3924.19	4233.55
ENSG00000118193.12|KIF14	1134	1599	1377	1635
ENSG00000118197.14|DDX59	249	265	267	287
ENSG00000118200.14|CAMSAP2	2290	2437	2972	2938
ENSG00000118217.6|ATF6	961	910	1022.72	934
ENSG00000118242.16|MREG	521.9	421	638.93	543.8
ENSG00000118246.14|FASTKD2	650	682	809	765
ENSG00000118257.16|NRP2	2433	2862	2430	3145
ENSG00000118260.15|CREB1	1244	1269	1395	1414
ENSG00000118263.15|KLF7	299	252	276	268
ENSG00000118276.11|B4GALT6	95	116	126	123
ENSG00000118292.9|C1orf54	47.04	49.22	31.71	49.14
ENSG00000118298.12|CA14	2816	2818	2864	3267
ENSG00000118363.12|SPCS2	1365.11	1375.56	1498.67	1485.31
ENSG00000118369.13|USP35	579	655	553	701
ENSG00000118402.6|ELOVL4	59	59	79	87
ENSG00000118407.15|FILIP1	12	6	12	8
ENSG00000118412.12|CASP8AP2	910	1081	1139	1242
ENSG00000118418.14|HMGN3	1192.98	1119.96	1143.99	1263.99
ENSG00000118420.17|UBE3D	51	61	38	41
ENSG00000118432.12|CNR1	5886	8168	8212	10207
ENSG00000118454.13|ANKRD13C	426	466	590	579
ENSG00000118482.11|PHF3	1689	1883	2031	2109
ENSG00000118496.5|FBXO30	383	459	496	452
ENSG00000118503.15|TNFAIP3	131	111	170	136
ENSG00000118507.17|AKAP7	746	791	714	751
ENSG00000118508.5|RAB32	51	42	48	47
ENSG00000118513.19|MYB	74	59	51	50
ENSG00000118514.14|ALDH8A1	11	11	10	11
ENSG00000118515.11|SGK1	715	715	888	825
ENSG00000118518.15|RNF146	424	446	556	528
ENSG00000118523.6|CCN2	91	72	135	105
ENSG00000118557.15|PMFBP1	57.18	40.99	57.75	65.91
ENSG00000118564.14|FBXL5	823	806	1064	988
ENSG00000118579.13|MED28	1564.86	1755.9	1689.12	1801.59
ENSG00000118600.11|RXYLT1	234	195.3	255.63	237.92
ENSG00000118620.13|ZNF430	431	435	362	459
ENSG00000118655.6|DCLRE1B	644	630	624	739
ENSG00000118680.13|MYL12B	2419	2417.99	3109	3005
ENSG00000118689.15|FOXO3	2805.52	3013.68	3348.48	3433.24
ENSG00000118690.13|ARMC2	25	22	25	22
ENSG00000118705.17|RPN2	7713	7084.45	8190.32	8112
ENSG00000118707.10|TGIF2	1216.44	1252.29	992.07	1138.98
ENSG00000118762.8|PKD2	834	916	893	949
ENSG00000118777.12|ABCG2	19	25	35	42
ENSG00000118785.14|SPP1	190	168	140	150
ENSG00000118804.8|STBD1	142.23	130.59	140.2	135.78
ENSG00000118816.10|CCNI	4260	4321	4352	4369
ENSG00000118855.19|MFSD1	446	474	582	478
ENSG00000118873.16|RAB3GAP2	1226.69	1386.04	1617.69	1520.79
ENSG00000118894.14|EEF2KMT	215.84	276.02	251.85	250.57
ENSG00000118898.16|PPL	151	187	142	216
ENSG00000118900.14|UBN1	996	1145	1045	1337
ENSG00000118922.17|KLF12	1054	951	1295	1043
ENSG00000118939.17|UCHL3	89.38	83.24	90.35	55.65
ENSG00000118946.12|PCDH17	213	223.46	202	239
ENSG00000118960.13|HS1BP3	611	559	425	647
ENSG00000118961.15|LDAH	431	390	447	369
ENSG00000118965.14|WDR35	1005	987	1102	967
ENSG00000118971.8|CCND2	4473.82	3610.44	4180.29	3920.85
ENSG00000118985.16|ELL2	57	82	55	66
ENSG00000118997.14|DNAH7	14	6	20	8
ENSG00000119004.15|CYP20A1	240	262	276	266
ENSG00000119013.9|NDUFB3	569	546	660	659
ENSG00000119041.11|GTF3C3	1147	1213	1281.95	1464
ENSG00000119042.17|SATB2	1869.03	1951.45	2225.03	2026.91
ENSG00000119048.7|UBE2B	432	486	519	568
ENSG00000119138.4|KLF9	56	70	49	73
ENSG00000119139.19|TJP2	306	346.86	313	330
ENSG00000119185.12|ITGB1BP1	808.54	806.03	1023.33	961.69
ENSG00000119203.14|CPSF3	994	945	984	960
ENSG00000119227.8|PIGZ	61	40	49	47
ENSG00000119231.11|SENP5	557	578	639	669
ENSG00000119242.8|CCDC92	330.99	402.99	368.99	434.99
ENSG00000119280.16|C1orf198	860	946	809	983
ENSG00000119283.15|TRIM67	56	42	76	66
ENSG00000119285.11|HEATR1	1142.74	1094.9	1345.21	1236.11
ENSG00000119314.15|PTBP3	1119	1300	1506	1554
ENSG00000119318.13|RAD23B	4256	4348	4722	4767
ENSG00000119321.9|FKBP15	1149.97	1210	1192.22	1297
ENSG00000119326.15|CTNNAL1	1475	1454	1614	1837
ENSG00000119328.12|FAM206A	378	390	466	422
ENSG00000119333.11|WDR34	933	1087	847	1095
ENSG00000119335.16|SET	8912.99	9110.94	10033.95	9835.98
ENSG00000119383.19|PTPA	3270	3366	3042	3447
ENSG00000119392.14|GLE1	1244.98	1338.99	1189	1410.98
ENSG00000119396.11|RAB14	2299	2487	2762	2645
ENSG00000119397.16|CNTRL	1127	1426	1262	1420
ENSG00000119401.10|TRIM32	484	607	501	612
ENSG00000119402.17|FBXW2	1851	1974	1876	2095
ENSG00000119403.15|PHF19	3202	3268	2924	3531
ENSG00000119408.16|NEK6	2919	2748	3242	3103
ENSG00000119414.11|PPP6C	1318	1312	1439	1324
ENSG00000119421.7|NDUFA8	757	855	787	919
ENSG00000119446.14|RBM18	656	682.63	752.4	769.48
ENSG00000119471.15|HSDL2	1104	1169	1366	1337
ENSG00000119487.17|MAPKAP1	1752	1578	1683	1578
ENSG00000119508.18|NR4A3	39	43	60	51
ENSG00000119509.13|INVS	307	318	353	349
ENSG00000119514.7|GALNT12	84	101	69	98
ENSG00000119522.16|DENND1A	771	581	674	651
ENSG00000119523.10|ALG2	530	528	574	553
ENSG00000119537.17|KDSR	555	566	625	586
ENSG00000119541.10|VPS4B	875	916	1004	1079
ENSG00000119547.6|ONECUT2	140	227	174	207
ENSG00000119559.16|C19orf25	392	460.95	386	509
ENSG00000119574.13|ZBTB45	88	113	84	139
ENSG00000119596.18|YLPM1	3488.88	3586.93	3358.64	3977.89
ENSG00000119599.16|DCAF4	57	91	75	96
ENSG00000119608.12|PROX2	12.12	16.07	19.36	26.11
ENSG00000119616.11|FCF1	1156	1085	1247	1258
ENSG00000119630.14|PGF	34	44	40	34
ENSG00000119632.4|IFI27L2	245	236	259	245
ENSG00000119636.16|BBOF1	58.27	41.35	78.15	70.43
ENSG00000119638.13|NEK9	2823.45	2986	3132.52	3087.51
ENSG00000119640.9|ACYP1	358	395	406	450
ENSG00000119650.12|IFT43	287	262	276	296
ENSG00000119655.10|NPC2	834	889	829	903
ENSG00000119661.15|DNAL1	574	584	759.49	670
ENSG00000119669.5|IRF2BPL	1272.27	1415.24	1382.9	1697.95
ENSG00000119681.12|LTBP2	80	95	77	78
ENSG00000119682.17|AREL1	1587	1690	1605	1764
ENSG00000119684.15|MLH3	958	1041	1202	1112
ENSG00000119685.20|TTLL5	798	733	824	870
ENSG00000119686.10|FLVCR2	48	49	45	74
ENSG00000119688.21|ABCD4	1779.43	1855.37	1694.59	2047.65
ENSG00000119689.15|DLST	2648.99	2557.99	2519.99	2696.99
ENSG00000119699.7|TGFB3	450	399	383	461
ENSG00000119703.14|ZC2HC1C	22.05	11	16.48	27.49
ENSG00000119705.9|SLIRP	723.02	611.08	690.03	677.01
ENSG00000119707.14|RBM25	3849.85	4403.74	4642.78	5073.81
ENSG00000119711.12|ALDH6A1	1032.73	990.65	1067.85	1007.57
ENSG00000119715.15|ESRRB	16	20	11	19
ENSG00000119718.11|EIF2B2	936.63	945.55	983.96	1019.92
ENSG00000119720.18|NRDE2	472.12	508.29	442.61	444.14
ENSG00000119723.16|COQ6	474.99	465.79	478.45	498.81
ENSG00000119725.18|ZNF410	1152.37	1123.69	1271.92	1193.4
ENSG00000119729.12|RHOQ	1680.34	1580.94	1783.63	1656.93
ENSG00000119737.5|GPR75	60	53	70	66
ENSG00000119760.16|SUPT7L	1259.45	1374.97	1360.39	1529.7
ENSG00000119771.15|KLHL29	157	121	147	173
ENSG00000119772.16|DNMT3A	785	856	735	909
ENSG00000119777.20|TMEM214	1024	1006	1018	1275
ENSG00000119778.15|ATAD2B	468	550	593	594
ENSG00000119782.14|FKBP1B	66.83	96.17	112.71	112.61
ENSG00000119787.14|ATL2	625	735	810	870
ENSG00000119801.13|YPEL5	690	650	789	732
ENSG00000119812.19|FAM98A	1105	1108	1176	1256
ENSG00000119820.11|YIPF4	582	650	634	769
ENSG00000119844.15|AFTPH	540	641	742	783
ENSG00000119862.13|LGALSL	547	726	600	706
ENSG00000119865.8|CNRIP1	280	345	319	370
ENSG00000119866.21|BCL11A	176	227	223	214
ENSG00000119878.5|CRIPT	181	181	234	236.31
ENSG00000119899.13|SLC17A5	389	401	504	502
ENSG00000119900.9|OGFRL1	256	298	261	318.67
ENSG00000119906.13|SLF2	1116	1389	1403	1522
ENSG00000119912.16|IDE	687	785	878	875
ENSG00000119917.14|IFIT3	153	235	234	273
ENSG00000119922.10|IFIT2	2080	2382	2517	3106
ENSG00000119927.14|GPAM	485	555	600	584
ENSG00000119929.13|CUTC	175	142	161	177
ENSG00000119938.9|PPP1R3C	330	369	331	318
ENSG00000119943.13|PYROXD2	53	50	49	62
ENSG00000119950.21|MXI1	285	303	247	333
ENSG00000119953.12|SMNDC1	452	487	574	607
ENSG00000119965.13|C10orf88	113	163.73	168	182.92
ENSG00000119969.15|HELLS	605	596	582	658
ENSG00000119977.21|TCTN3	785	913	1009	948
ENSG00000119979.18|FAM45A	404	425.86	510	490
ENSG00000119986.7|AVPI1	21	13	15	23
ENSG00000120008.16|WDR11	826	918	997.54	956.31
ENSG00000120029.13|ARMH3	434	413	421	445
ENSG00000120049.19|KCNIP2	41	21	30	29
ENSG00000120053.12|GOT1	342	438	375	395
ENSG00000120063.10|GNA13	1372	1430	1623	1557
ENSG00000120071.14|KANSL1	1410.36	1438.72	1552.22	1495
ENSG00000120088.14|CRHR1	47.89	54	19.51	84
ENSG00000120129.6|DUSP1	125	191	155	198
ENSG00000120137.7|PANK3	1000.58	1169.74	1198.83	1264.19
ENSG00000120158.12|RCL1	130	148	136	118
ENSG00000120159.13|CAAP1	334	351	375	334
ENSG00000120162.10|MOB3B	403.97	342	607	498
ENSG00000120217.14|CD274	10	21	12	13
ENSG00000120251.20|GRIA2	538	453	606	394
ENSG00000120253.14|NUP43	735	758	755	865
ENSG00000120254.15|MTHFD1L	436	354	392	357
ENSG00000120256.10|LRP11	595.55	614.87	670.49	809.75
ENSG00000120265.17|PCMT1	827	928	958	1014
ENSG00000120278.16|PLEKHG1	156	173	176	205
ENSG00000120314.18|WDR55	658.99	681.39	688.18	736.94
ENSG00000120318.16|ARAP3	72	80	81	101
ENSG00000120322.3|PCDHB8	29.24	14.79	24.68	31.51
ENSG00000120324.8|PCDHB10	616.14	675.97	670.53	703.37
ENSG00000120327.6|PCDHB14	307.07	278.63	338.96	386.08
ENSG00000120328.6|PCDHB12	116	116.63	118	140
ENSG00000120332.15|TNN	11	6	14	1
ENSG00000120333.4|MRPS14	782	725	823	806
ENSG00000120334.15|CENPL	497	685.03	628.09	666
ENSG00000120341.18|SEC16B	26.26	20.47	0	26.61
ENSG00000120370.12|GORAB	171	194	175	218
ENSG00000120437.8|ACAT2	1301.79	1142.04	1340.9	1437.62
ENSG00000120438.12|TCP1	2603.21	2524.96	3014.1	2824.38
ENSG00000120451.10|SNX19	1603	1615	1710	1813
ENSG00000120458.11|MSANTD2	467.04	482	635	641
ENSG00000120509.10|PDZD11	1002	1005	1064	1197
ENSG00000120519.14|SLC10A7	113	81	121	121
ENSG00000120526.11|NUDCD1	381	385	427	448
ENSG00000120533.13|ENY2	1035	1057	998	1114
ENSG00000120539.14|MASTL	1071.06	1318.51	1020.2	1440.9
ENSG00000120549.18|KIAA1217	212	230	271	308
ENSG00000120594.17|PLXDC2	56	54	66	52
ENSG00000120616.15|EPC1	1313.71	1382.41	1483.66	1461.61
ENSG00000120647.10|CCDC77	462	536	456	582.14
ENSG00000120656.11|TAF12	286	289	308	391
ENSG00000120658.13|ENOX1	100	67	92	89
ENSG00000120662.16|MTRF1	171	205	225	195
ENSG00000120669.16|SOHLH2	27	37.71	47	42
ENSG00000120675.6|DNAJC15	364	343	442	374
ENSG00000120685.20|PROSER1	1784	1935	1861	2078
ENSG00000120686.12|UFM1	1099	1129	1367	1181
ENSG00000120688.9|WBP4	388	355	351	418
ENSG00000120690.16|ELF1	633	671	735	824
ENSG00000120693.13|SMAD9	39	34	27	25
ENSG00000120694.19|HSPH1	2293	2249	2818	2872
ENSG00000120696.8|KBTBD7	348.79	461.59	409.34	435.54
ENSG00000120697.9|ALG5	408	429	450	378
ENSG00000120699.13|EXOSC8	1286.76	1290.07	1270.61	1255.44
ENSG00000120705.13|ETF1	1709	1753	1789	1844
ENSG00000120709.11|FAM53C	1092.77	1318.37	1120.97	1318.04
ENSG00000120725.13|SIL1	271	218	293	250
ENSG00000120727.13|PAIP2	1250	1218	1325	1180
ENSG00000120733.14|KDM3B	2669	2687	2554	2711
ENSG00000120738.8|EGR1	1028	953	1076	1125
ENSG00000120742.11|SERP1	744	852	942	908
ENSG00000120756.13|PLS1	175	172	204	180
ENSG00000120784.16|ZFP30	354	420.97	486.82	502.34
ENSG00000120798.17|NR2C1	345	412	428	476
ENSG00000120800.5|UTP20	685	611	773	686
ENSG00000120802.13|TMPO	2269.33	2694.5	2554.57	2992.13
ENSG00000120805.14|ARL1	562	551	569	586
ENSG00000120832.10|MTERF2	287.12	303	300.45	354
ENSG00000120833.14|SOCS2	26	34	27	28
ENSG00000120837.8|NFYB	593	565	623	645
ENSG00000120860.10|WASHC3	295	300	338	306
ENSG00000120868.13|APAF1	591.09	858.81	892.83	969.26
ENSG00000120875.9|DUSP4	1337	1640	1701	1996
ENSG00000120885.21|CLU	8469	7289	7684	8130
ENSG00000120889.13|TNFRSF10B	760	940	855	992
ENSG00000120896.13|SORBS3	1752	1693	1707	1998
ENSG00000120899.18|PTK2B	203	174	204	217
ENSG00000120910.14|PPP3CC	301.85	275.79	388.95	355.83
ENSG00000120913.23|PDLIM2	307	358.79	441	430.85
ENSG00000120915.13|EPHX2	43	36	34	44
ENSG00000120925.16|RNF170	256	307	333	312
ENSG00000120942.13|UBIAD1	414	445	471	452
ENSG00000120948.17|TARDBP	4094	4400.97	4610	4730
ENSG00000120949.15|TNFRSF8	54	46	30	50
ENSG00000120963.12|ZNF706	1179	1161	1313	1398
ENSG00000120992.18|LYPLA1	1247	1283	1426	1309
ENSG00000121005.9|CRISPLD1	13	15	9	9
ENSG00000121022.14|COPS5	1016	1111	1179	1237
ENSG00000121039.10|RDH10	164	160	179	209.84
ENSG00000121057.13|AKAP1	928	1001	868	1072
ENSG00000121058.5|COIL	402	541	476	519
ENSG00000121060.18|TRIM25	1269	1422	1257	1472
ENSG00000121064.12|SCPEP1	504	567	481	553
ENSG00000121067.18|SPOP	791	787	900	931
ENSG00000121068.14|TBX2	319	421	259	415
ENSG00000121073.14|SLC35B1	809	769	873	808
ENSG00000121101.15|TEX14	48	71	77	90
ENSG00000121104.8|FAM117A	133.01	142.03	114	177
ENSG00000121152.10|NCAPH	1523	1839	1422	1915
ENSG00000121210.16|TMEM131L	609	569	646	581
ENSG00000121211.7|MND1	215	200	166	189
ENSG00000121274.12|TENT4B	228	270	230	225
ENSG00000121281.12|ADCY7	82.89	129.18	88.66	90.84
ENSG00000121289.18|CEP89	784	768	850	1013
ENSG00000121297.7|TSHZ3	140	141	163	146
ENSG00000121310.17|ECHDC2	15	14	11	11
ENSG00000121350.16|PYROXD1	179.91	136.75	204.27	151.62
ENSG00000121361.4|KCNJ8	24	23	17	15
ENSG00000121390.18|PSPC1	1810	1843	1761	2014
ENSG00000121406.9|ZNF549	339	358.54	363	369
ENSG00000121410.11|A1BG	27.98	37.2	37.73	36.99
ENSG00000121413.12|ZSCAN18	1448.23	1637.93	1423.71	1775.91
ENSG00000121417.14|ZNF211	505	577	513	633
ENSG00000121454.6|LHX4	150	166.26	126.45	168.04
ENSG00000121481.11|RNF2	539	544	633	570
ENSG00000121486.12|TRMT1L	507	588	713	700
ENSG00000121542.12|SEC22A	273	230	298	308
ENSG00000121577.13|POPDC2	17	17	20	22
ENSG00000121578.13|B4GALT4	417	431	497	514
ENSG00000121579.13|NAA50	1572	1779	1781	1833
ENSG00000121621.7|KIF18A	376	486	392	479
ENSG00000121644.19|DESI2	907	978	1094	1092
ENSG00000121653.11|MAPK8IP1	1027.02	951.86	959	1192.66
ENSG00000121671.11|CRY2	675	659	684	789
ENSG00000121680.16|PEX16	169	156	200	184
ENSG00000121690.11|DEPDC7	203	216	241	221
ENSG00000121691.6|CAT	912	1021	975	1189
ENSG00000121716.20|PILRB	1359.39	1524.2	1428.59	1740.7
ENSG00000121741.16|ZMYM2	2736	2824	3130	2993
ENSG00000121743.4|GJA3	221	260	325	440
ENSG00000121749.15|TBC1D15	390	460	431	443
ENSG00000121753.12|ADGRB2	1174	1313	1076	1280
ENSG00000121766.15|ZCCHC17	237	225	264	281
ENSG00000121774.18|KHDRBS1	4804	4944	4870	4947
ENSG00000121775.18|TMEM39B	264	284	256	343
ENSG00000121851.13|POLR3GL	531	486	483	568
ENSG00000121864.10|ZNF639	534	535	545	562
ENSG00000121871.4|SLITRK3	587	498	679	615
ENSG00000121879.5|PIK3CA	681.53	691.87	795.31	779.63
ENSG00000121892.15|PDS5A	2562	2890	2900	3064
ENSG00000121897.14|LIAS	186	200	185.08	217
ENSG00000121900.19|TMEM54	444.84	421.89	366.53	485.78
ENSG00000121903.14|ZSCAN20	105	118	123	154
ENSG00000121931.16|LRIF1	725.74	804.98	914.41	950.81
ENSG00000121940.15|CLCC1	335.7	343.33	396.78	394.36
ENSG00000121957.14|GPSM2	844.3	883.67	932.22	943.64
ENSG00000121964.14|GTDC1	329	227	303	230
ENSG00000121988.18|ZRANB3	134	129	143	156
ENSG00000121989.15|ACVR2A	999.87	1056.78	942.01	942.76
ENSG00000122008.15|POLK	619	712	845	866
ENSG00000122026.10|RPL21	6001.16	5986.8	6142.14	5835.15
ENSG00000122033.14|MTIF3	438.4	400.88	504.59	424.96
ENSG00000122034.15|GTF3A	1566.6	1486.12	1651.41	1691.04
ENSG00000122035.6|RASL11A	22	12	14	8
ENSG00000122042.9|UBL3	992	1064	1267	1161
ENSG00000122068.13|FYTTD1	1148	1317	1437	1398
ENSG00000122085.17|MTERF4	922.11	939.45	1007.48	1062.25
ENSG00000122126.17|OCRL	757	809	843	968
ENSG00000122140.11|MRPS2	719.79	649.83	573.95	718.88
ENSG00000122203.15|KIAA1191	1532	1657	1485	1732.43
ENSG00000122218.15|COPA	3072	3214	3135	3360
ENSG00000122257.20|RBBP6	1520	1631	1597	1733
ENSG00000122299.12|ZC3H7A	1444	1386	1419	1371
ENSG00000122335.16|SERAC1	211	226	241	250
ENSG00000122359.18|ANXA11	500	545	438	554
ENSG00000122376.11|SHLD2	506.93	517.78	514.49	548.77
ENSG00000122378.14|PRXL2A	1747	1840	1616	1874
ENSG00000122386.10|ZNF205	119.96	123.93	126.78	147.76
ENSG00000122390.19|NAA60	715	715	655	797.95
ENSG00000122406.13|RPL5	7635.39	7521.84	7223.49	7212.53
ENSG00000122417.15|ODF2L	243	260	278	257
ENSG00000122435.10|TRMT13	221.37	281.36	339.03	275.32
ENSG00000122477.12|LRRC39	17.63	19.64	8.97	16.68
ENSG00000122481.17|RWDD3	117.39	118.85	150.47	121.88
ENSG00000122482.21|ZNF644	1097	1134	1266	1315
ENSG00000122483.17|CCDC18	313.81	423.9	360.97	405.04
ENSG00000122484.9|RPAP2	413	411	520	568
ENSG00000122490.19|PQLC1	346	413	323	380
ENSG00000122507.20|BBS9	284	256	424	320
ENSG00000122512.16|PMS2	691.76	729.24	683.81	795.65
ENSG00000122515.15|ZMIZ2	3139	3448	2854	3701
ENSG00000122545.19|SEPT7	10110	10488	11547.94	10432.98
ENSG00000122547.11|EEPD1	275	270	280	310
ENSG00000122550.18|KLHL7	1627	1717	2017	1906
ENSG00000122557.10|HERPUD2	579	608	678	673
ENSG00000122565.19|CBX3	7752.08	8539.2	8463.05	8603.01
ENSG00000122566.21|HNRNPA2B1	38006.92	38011.79	40503.92	42387.97
ENSG00000122584.13|NXPH1	1525	1367	1706	1555
ENSG00000122585.8|NPY	36	40	58	43
ENSG00000122591.11|FAM126A	2305	2482	3137	3001
ENSG00000122592.8|HOXA7	864.8	873.49	848.36	1013.5
ENSG00000122642.11|FKBP9	3450.34	3221.61	4008.08	3896.29
ENSG00000122643.20|NT5C3A	471.92	515.95	539	527
ENSG00000122644.13|ARL4A	463	553	619	628
ENSG00000122674.11|CCZ1	950.64	993.68	1147.22	1076.39
ENSG00000122678.17|POLM	531	480	526	533
ENSG00000122687.17|MRM2	589.53	641.45	565.1	719.33
ENSG00000122692.9|SMU1	1287	1345	1468	1438
ENSG00000122694.16|GLIPR2	1332	1187	1300	1402
ENSG00000122696.14|SLC25A51	308	356	352	370
ENSG00000122705.17|CLTA	3000	3048	2741	3000
ENSG00000122707.12|RECK	329	377	419	382
ENSG00000122729.19|ACO1	584	577	550	610
ENSG00000122735.16|DNAI1	3	13	11	15
ENSG00000122741.16|DCAF10	854	1015	1104	1036
ENSG00000122756.15|CNTFR	909	1019	762	1106
ENSG00000122778.9|KIAA1549	399	490	459	482
ENSG00000122779.18|TRIM24	1148	1189	1249	1120
ENSG00000122783.16|CYREN	777.94	876.66	832.71	954.86
ENSG00000122786.20|CALD1	6589	7859	8256	9024
ENSG00000122861.16|PLAU	65	57	52	70.79
ENSG00000122863.6|CHST3	2434	2501	2763	2792
ENSG00000122870.11|BICC1	161	167	166	201
ENSG00000122873.12|CISD1	382	367	390	424
ENSG00000122877.16|EGR2	298	345	348	361
ENSG00000122882.10|ECD	475	528	513	572
ENSG00000122884.12|P4HA1	813	781	967	716
ENSG00000122912.15|SLC25A16	203	195	259	217
ENSG00000122952.17|ZWINT	2391	2611	2125	2876
ENSG00000122958.15|VPS26A	774	797	873	841
ENSG00000122965.11|RBM19	418	433	460	523
ENSG00000122966.16|CIT	1069	1461	1059	1556
ENSG00000122970.16|IFT81	692	682	781	826
ENSG00000122986.13|HVCN1	14	10	12	16
ENSG00000123064.12|DDX54	716.6	654.82	588	736.87
ENSG00000123066.8|MED13L	964	996	1073	999
ENSG00000123080.11|CDKN2C	1839	1979	1628	1995
ENSG00000123091.5|RNF11	1098	1253	1201	1284
ENSG00000123094.15|RASSF8	191	230	262	306
ENSG00000123095.6|BHLHE41	125	109.96	97	105.99
ENSG00000123096.11|SSPN	72	72.04	90	94.01
ENSG00000123104.12|ITPR2	857	657	857	601
ENSG00000123106.10|CCDC91	189.86	181.33	182	189.32
ENSG00000123119.12|NECAB1	103.62	162.43	99.3	138.09
ENSG00000123124.13|WWP1	468.19	440.68	529	468.26
ENSG00000123130.17|ACOT9	787	920	889	1002
ENSG00000123131.13|PRDX4	672	638	700	718
ENSG00000123136.14|DDX39A	2632	2740	2406	2968
ENSG00000123143.12|PKN1	2838	2799	2408	3372
ENSG00000123144.11|TRIR	1865	1873	1899	2284
ENSG00000123146.20|ADGRE5	2139.93	2192.95	2300.91	2894.92
ENSG00000123154.12|WDR83	287.4	257.19	259.53	289.07
ENSG00000123159.16|GIPC1	1315	1279	1129	1446
ENSG00000123178.15|SPRYD7	91	109	133	117
ENSG00000123179.14|EBPL	124	131	149	129
ENSG00000123191.14|ATP7B	159	155	171	211
ENSG00000123200.16|ZC3H13	1650	1796	1998	2097
ENSG00000123213.23|NLN	1447	1516	1816	1826
ENSG00000123219.13|CENPK	585	651	661	726
ENSG00000123240.17|OPTN	971	1045	1132	1493
ENSG00000123268.9|ATF1	141	129	179	192
ENSG00000123297.18|TSFM	325.6	263.23	282.51	314.6
ENSG00000123349.14|PFDN5	1636	1609	1852	1818
ENSG00000123352.17|SPATS2	581	556	595	654
ENSG00000123353.10|ORMDL2	169.87	208.47	224.7	219.69
ENSG00000123358.20|NR4A1	564.11	576.03	512.07	697.45
ENSG00000123374.11|CDK2	1260	1244	1276	1450
ENSG00000123384.13|LRP1	1029	984	827	978
ENSG00000123395.14|ATG101	366.31	380.31	422.86	530.16
ENSG00000123411.15|IKZF4	167	192	148	174
ENSG00000123415.15|SMUG1	279.19	273	272.08	311.06
ENSG00000123416.15|TUBA1B	32338.65	32429.3	30174.89	37482.96
ENSG00000123427.17|EEF1AKMT3	83	100.84	73.77	87
ENSG00000123444.14|KBTBD4	682.77	697.47	687.32	760.55
ENSG00000123472.12|ATPAF1	911	936	954	911
ENSG00000123473.15|STIL	610	717	684	834
ENSG00000123485.12|HJURP	1424	1764	1432	1880
ENSG00000123505.16|AMD1	1803.99	2034	2088	2248
ENSG00000123545.6|NDUFAF4	210	195	256	235
ENSG00000123552.17|USP45	212	234	202	233
ENSG00000123560.14|PLP1	228	251	219	193
ENSG00000123562.17|MORF4L2	1927	2113	2104	2249
ENSG00000123570.4|RAB9B	33	31	37	46
ENSG00000123575.9|FAM199X	671	759	831	846
ENSG00000123595.7|RAB9A	537	562	638	569
ENSG00000123600.19|METTL8	580	609	661	660
ENSG00000123607.15|TTC21B	411	472	540	491
ENSG00000123609.10|NMI	180	200	186	226
ENSG00000123610.5|TNFAIP6	207	215	196	225
ENSG00000123636.18|BAZ2B	880.26	924.52	1134.34	1157.19
ENSG00000123643.13|SLC36A1	243	236	286	320
ENSG00000123684.13|LPGAT1	1370	1514	1563	1630
ENSG00000123685.9|BATF3	58	58	72	76
ENSG00000123700.4|KCNJ2	1103.32	1448	1434	1756
ENSG00000123728.10|RAP2C	357	365	441	365
ENSG00000123737.12|EXOSC9	1106.17	1132.23	1177.11	1334.77
ENSG00000123739.11|PLA2G12A	256.56	324.75	349.85	326.08
ENSG00000123810.8|B9D2	32	41	38	58
ENSG00000123815.12|COQ8B	532	542	595	619
ENSG00000123836.15|PFKFB2	182	217	197	220
ENSG00000123870.10|ZNF137P	58	59	59	83
ENSG00000123908.12|AGO2	1465	1631	1633	1891
ENSG00000123933.17|MXD4	1273	1375	1183	1434
ENSG00000123975.5|CKS2	1478	1438	1300	1495
ENSG00000123983.14|ACSL3	2856	2927	3116	3016
ENSG00000123989.14|CHPF	1248.79	1400	1170.84	1518
ENSG00000123992.19|DNPEP	860	829	794	878
ENSG00000123999.5|INHA	16	16	10	13
ENSG00000124006.15|OBSL1	1833.17	2028.23	1832.37	2374.35
ENSG00000124067.17|SLC12A4	1200.57	1171.71	1268.28	1394.98
ENSG00000124074.12|ENKD1	177	174	168	240
ENSG00000124098.10|FAM210B	1393	1328	1273	1298
ENSG00000124104.19|SNX21	195.13	207.82	176.35	297.61
ENSG00000124120.11|TTPAL	816	872	886	951
ENSG00000124126.14|PREX1	7870.99	7675.98	7896.99	8555.99
ENSG00000124140.13|SLC12A5	42.98	41.96	24	32.81
ENSG00000124145.6|SDC4	335	374	391	334
ENSG00000124151.19|NCOA3	1013	1106	1412	1394
