Ctrl_602_R1B1	LMP_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2
ENSG00000006607.14|FARP2	948.37	1043.82	987.07	1040.07
ENSG00000006625.18|GGCT	794	835	895	947
ENSG00000006634.8|DBF4	1083.46	1191.26	1206.73	1310
ENSG00000006638.11|TBXA2R	25	22	26	45
ENSG00000006652.14|IFRD1	1550	1707	1888	1873
ENSG00000006695.11|COX10	215.86	206.62	223.23	223.09
ENSG00000006704.10|GTF2IRD1	649	675	617	805
ENSG00000006712.15|PAF1	1922	1872	1843	2304
ENSG00000006715.16|VPS41	1708	1701	1900	1791
ENSG00000006744.19|ELAC2	1417	1338	1343	1516
ENSG00000006747.15|SCIN	15.36	35	25	34
ENSG00000006756.16|ARSD	68	79	51	54.6
ENSG00000006831.10|ADIPOR2	1258	1335	1439	1428
ENSG00000006837.12|CDKL3	23.42	27.49	25.45	39.91
ENSG00000007047.15|MARK4	739	787	684	861
ENSG00000007062.11|PROM1	326	363	446	431
ENSG00000007080.11|CCDC124	755	759	685	879
ENSG00000007168.13|PAFAH1B1	3963	3951	4473.05	4387
ENSG00000007171.17|NOS2	302	290	229	249
ENSG00000007174.18|DNAH9	97	62	101	91
ENSG00000007202.15|KIAA0100	4574.04	4915.88	4083.96	4982.65
ENSG00000007237.18|GAS7	8116	8105	8096	9026
ENSG00000007255.10|TRAPPC6A	90	88	88	75
ENSG00000007341.19|ST7L	384.31	361.61	341.17	338.22
ENSG00000007372.22|PAX6	770.38	851.09	857.71	954.58
ENSG00000007376.8|RPUSD1	149	162	138	141
ENSG00000007384.15|RHBDF1	541	504	529	545
ENSG00000007392.16|LUC7L	1043	1091	1220	1314
ENSG00000007402.11|CACNA2D2	153	170	115	148
ENSG00000007516.13|BAIAP3	267.16	274.11	294.15	344.26
ENSG00000007520.4|TSR3	223.84	234.89	282.85	289.74
ENSG00000007541.16|PIGQ	304.7	347.73	323.59	347.36
ENSG00000007545.15|CRAMP1	1040.03	1120.95	1059.04	1193.52
ENSG00000007866.21|TEAD3	98	91	97	116
ENSG00000007923.16|DNAJC11	541.95	550.64	518.92	613.05
ENSG00000007944.15|MYLIP	131	154	86	88
ENSG00000007968.7|E2F2	981	1150	790	1154
ENSG00000008018.9|PSMB1	1350	1347	1452	1471
ENSG00000008056.14|SYN1	39	26.6	36	34.44
ENSG00000008083.14|JARID2	808	801	953	975
ENSG00000008086.11|CDKL5	373	426	484	447
ENSG00000008118.10|CAMK1G	129	132	136	137
ENSG00000008128.23|CDK11A	280.71	279.72	258.12	335.68
ENSG00000008130.15|NADK	687	821	745	840
ENSG00000008196.13|TFAP2B	8	17	7	24
ENSG00000008256.16|CYTH3	585	591	706	721
ENSG00000008277.14|ADAM22	1871	1763	2229	1809
ENSG00000008282.8|SYPL1	1220	1529	1628	1518
ENSG00000008283.16|CYB561	166	168	125	217
ENSG00000008294.21|SPAG9	4072	4538	4771	4632
ENSG00000008300.17|CELSR3	966	1104	854	1153
ENSG00000008311.15|AASS	2099	2407	2384	2505
ENSG00000008324.11|SS18L2	117	140	136	140
ENSG00000008382.15|MPND	318	290	285.19	285
ENSG00000008405.12|CRY1	422	407	460	498
ENSG00000008441.16|NFIX	3136	3711	2892	3529
ENSG00000008513.16|ST3GAL1	596	585	669	729
ENSG00000008710.19|PKD1	845.29	1152.08	779.8	977.83
ENSG00000008735.14|MAPK8IP2	285	371	279	383
ENSG00000008838.20|MED24	2325	2460	2203	2659
ENSG00000008853.16|RHOBTB2	1072.24	988.89	949.5	1147.96
ENSG00000008869.12|HEATR5B	1123	1212	1560	1533
ENSG00000008952.17|SEC62	1835	1866	2057	2099
ENSG00000008988.9|RPS20	5353	5196.03	5048.98	5194
ENSG00000009307.16|CSDE1	9619	9579	9822	9918
ENSG00000009335.18|UBE3C	800	898	896	857
ENSG00000009413.15|REV3L	5636.77	5540.81	6241.99	5623.67
ENSG00000009724.16|MASP2	30	48	34	48
ENSG00000009780.15|FAM76A	149	158	174	156
ENSG00000009830.11|POMT2	1757	1789	1732	1927
ENSG00000009844.16|VTA1	857	889	930	892
ENSG00000009954.11|BAZ1B	6212	6452	6564	7245
ENSG00000010017.13|RANBP9	2058.63	2009.5	2394.18	2418.39
ENSG00000010072.16|SPRTN	304.33	289.72	325.32	405.05
ENSG00000010165.20|EEF1AKNMT	590	569	530	620
ENSG00000010219.13|DYRK4	348	284.26	334.1	328
ENSG00000010244.18|ZNF207	4163	4313	4493	4512.05
ENSG00000010256.11|UQCRC1	1754	1696	1500	1944
ENSG00000010270.13|STARD3NL	988	1043	1180	1270
ENSG00000010278.14|CD9	3463	2976	4301	3808
ENSG00000010282.14|HHATL	20	13	19	13
ENSG00000010292.13|NCAPD2	3240.27	3668.42	3003.36	3730.3
ENSG00000010295.19|IFFO1	821	769	897	947
ENSG00000010310.9|GIPR	88	108	83	100
ENSG00000010318.21|PHF7	76	70	55	95
ENSG00000010322.16|NISCH	1611	1822	1572	1906
ENSG00000010361.13|FUZ	378.66	458.72	329.46	392.58
ENSG00000010404.18|IDS	832.88	956.11	991.88	1181.31
ENSG00000010539.11|ZNF200	315	350	333	391
ENSG00000010626.15|LRRC23	112.82	96.86	87.95	75.1
ENSG00000010803.16|SCMH1	716	701	674	680.99
ENSG00000010810.17|FYN	5811	4527	5997	5002
ENSG00000010818.10|HIVEP2	231	282	259	308
ENSG00000011007.12|ELOA	2063.09	2157.22	2131.73	2435.47
ENSG00000011009.11|LYPLA2	1121	1124	1011.99	1265
ENSG00000011021.23|CLCN6	982	882.22	1011.3	1083.68
ENSG00000011028.14|AC080038.1	1910.84	1928.79	2217.95	2438.81
ENSG00000011052.21|NME1-NME2	368.25	310.84	152.01	379.94
ENSG00000011105.14|TSPAN9	597	585	600	663
ENSG00000011114.15|BTBD7	705	736	878	819
ENSG00000011132.12|APBA3	275	272	271	379
ENSG00000011143.16|MKS1	462	575	499	613
ENSG00000011198.9|ABHD5	362	358	436	363
ENSG00000011243.18|AKAP8L	2131.32	2008.69	1897.11	2342.1
ENSG00000011258.16|MBTD1	740	797	880	825
ENSG00000011260.14|UTP18	722	830	920	891
ENSG00000011275.18|RNF216	1874.23	1921.16	1764.75	1939.08
ENSG00000011295.16|TTC19	918.94	955.69	1030	1044.87
ENSG00000011304.20|PTBP1	6574	7083	6742	7573
ENSG00000011332.19|DPF1	318	316	347	405
ENSG00000011347.9|SYT7	10	10	6	8
ENSG00000011376.11|LARS2	698	667	706	768
ENSG00000011405.13|PIK3C2A	1398	1584	1608	1804
ENSG00000011422.12|PLAUR	139	112	120	101
ENSG00000011426.11|ANLN	2874	3799	3219	3827
ENSG00000011451.19|WIZ	1927	2195	1773	2259
ENSG00000011454.17|RABGAP1	2418	2520	2709	2668
ENSG00000011478.12|QPCTL	120	120	126	154
ENSG00000011485.14|PPP5C	1622.04	1655	1417	1800
ENSG00000011523.14|CEP68	921	973.1	936.02	1047.06
ENSG00000011566.15|MAP4K3	739	799	803	775
ENSG00000011638.10|TMEM159	57	57	65	45
ENSG00000012048.22|BRCA1	1233	1372	1403	1612
ENSG00000012061.15|ERCC1	1605.61	1615.21	1435.43	1708.8
ENSG00000012171.19|SEMA3B	159	200	134	161
ENSG00000012174.12|MBTPS2	640.66	775.6	773	802.99
ENSG00000012232.8|EXTL3	4340	4569	3769	4305
ENSG00000012660.14|ELOVL5	903	922	1023	1217
ENSG00000012822.16|CALCOCO1	1390	1261	1321	1362
ENSG00000012963.15|UBR7	1526	1510.99	1471.68	1582
ENSG00000012983.11|MAP4K5	770	897	964	945
ENSG00000013016.16|EHD3	154	132	172	146
ENSG00000013275.7|PSMC4	1711	1781	1576	1807
ENSG00000013288.8|MAN2B2	584	576	634	692
ENSG00000013306.16|SLC25A39	1311	1345	1123	1481
ENSG00000013364.19|MVP	96	73.14	66.41	73.65
ENSG00000013374.16|NUB1	511	464	543.97	574.98
ENSG00000013375.16|PGM3	968.25	1052.3	1127.22	1044.56
ENSG00000013392.8|RWDD2A	183	239	219	215
ENSG00000013441.16|CLK1	1416	1575	1872	1948
ENSG00000013503.10|POLR3B	281	258	257	292
ENSG00000013523.9|ANGEL1	2387.27	2317.9	2596.57	2597.95
ENSG00000013561.18|RNF14	386	477	545	578
