Ctrl_827_R1B1	Ola_827_R1B1	Ctrl_827_R2B1	Ola_827_R2B1	Ctrl_827_R3B2	Ola_827_R3B2
ENSG00000006016.11|CRLF1	74.91	62.9	97.25	62.11	67.38	55.23
ENSG00000006025.12|AC003665.1	380	359	506	392	393	346
ENSG00000006047.13|YBX2	33	31	33	30	17	27
ENSG00000006062.16|MAP3K14	129.26	129	111.68	111	163	135.44
ENSG00000006071.13|ABCC8	40	46	53	33	34	43
ENSG00000006118.14|TMEM132A	830.95	711.81	631	692	801.9	754
ENSG00000006125.18|AP2B1	6640	6007	7989	6395	7046	5859
ENSG00000006194.10|ZNF263	723.18	672.32	983.07	737.66	948.65	615.8
ENSG00000006210.7|CX3CL1	1392	1274	934	962	1557	1255
ENSG00000006282.21|SPATA20	752	648	718	665	903	915
ENSG00000006283.18|CACNA1G	48.05	51	34	43.03	82	65
ENSG00000006327.13|TNFRSF12A	1139	988	764	737	1136	899
ENSG00000006451.8|RALA	1493	1276	1668	1245	1621	1187
ENSG00000006453.14|BAIAP2L1	95.53	82.7	153.9	123.85	141.33	127.98
ENSG00000006459.11|KDM7A	119	90	215	139	149	117
ENSG00000006468.14|ETV1	5542	5135	3202	3676	5708	4390
ENSG00000006530.17|AGK	1645.37	1476.58	1145.05	1187.52	1693.77	1306.94
ENSG00000006534.16|ALDH3B1	280	249	358	257	290	298
ENSG00000006576.16|PHTF2	2716	2438	1819	2048	2912	2338
ENSG00000006607.14|FARP2	1839.48	1716.2	1391.4	1455.42	1883.92	1531.42
ENSG00000006625.18|GGCT	1248	1243	792.44	811	1375.29	945.61
ENSG00000006634.8|DBF4	1276.77	1109.27	648.43	783.55	1350.73	937.86
ENSG00000006638.11|TBXA2R	72	59	96	84	73	71
ENSG00000006652.14|IFRD1	1624	1349	1491	1206	1644	1295
ENSG00000006695.11|COX10	319.91	300	395.54	370.91	396.82	281
ENSG00000006704.10|GTF2IRD1	751	658	928	753	843	726
