Ola_923_R2B1	LMP.Olap_923_R2B1	Ola_923_R3B1	LMP.Olap_923_R3B1	Ola_923_R1B2	LMP.Olap_923_R1B2
ENSG00000010295.19|IFFO1	477	540	400	535	414	510
ENSG00000010310.9|GIPR	31	50	24	36	29	36
ENSG00000010318.21|PHF7	34	42	33	30	40	30
ENSG00000010319.6|SEMA3G	5	18	6	15	2	17
ENSG00000010322.16|NISCH	2142	2382	1836	2459	1886	2090
ENSG00000010361.13|FUZ	340.06	451.2	263.82	377.5	336.27	368.06
ENSG00000010404.18|IDS	7529.35	10240.92	6339.05	11831.02	8414.74	10031.05
ENSG00000010539.11|ZNF200	476	528.11	354	620.86	498	457
ENSG00000010626.15|LRRC23	129.42	127.31	126.05	106	155.33	98.27
ENSG00000010704.18|HFE	71	70	59	82	56	47
ENSG00000010803.16|SCMH1	938	867	690.99	1005.98	827	794
ENSG00000010810.17|FYN	4196	3741	3458	4070	4383	3295
ENSG00000010818.10|HIVEP2	112	109	98	124	108	119.27
ENSG00000011007.12|ELOA	1873.73	2112.44	1502.97	2325.6	1944.78	1966.27
ENSG00000011009.11|LYPLA2	993	1055	912	1123	960	1065
ENSG00000011021.23|CLCN6	1235	1095	1058	1277.69	1253	1057.5
ENSG00000011028.14|AC080038.1	7041.28	8473.78	6407.74	8680.41	7100.76	8107.49
ENSG00000011052.21|NME1-NME2	424.93	339.53	386.46	319.35	507.12	340.63
ENSG00000011105.14|TSPAN9	671	695	518	723	547	603
ENSG00000011114.15|BTBD7	776	783	668	1037	903	792
ENSG00000011132.12|APBA3	198.76	194	192	234	144	201.67
ENSG00000011143.16|MKS1	380	494	264	456	345	339
ENSG00000011198.9|ABHD5	488	454	398	514	519	376
ENSG00000011243.18|AKAP8L	1782.89	2061.09	1510.21	2003.99	1645.34	1786.8
ENSG00000011258.16|MBTD1	1099	1067	783	1177	1051	820
ENSG00000011260.14|UTP18	950	900	815	1159	1088	811
ENSG00000011275.18|RNF216	2498	2637	1990	2739.67	2440.15	2492
ENSG00000011295.16|TTC19	937	915.9	738	1069.64	924.34	774
ENSG00000011304.20|PTBP1	4809	4322	4273	4908	5034	4299
ENSG00000011332.19|DPF1	634	658	629	764	689	627
ENSG00000011347.9|SYT7	275	265	309	344	278	298
ENSG00000011376.11|LARS2	2415	2615	1990	2926	2554	2578
ENSG00000011405.13|PIK3C2A	2332	2742	1825	3216	2555	2522
ENSG00000011422.12|PLAUR	91	73	84	71	99	46
ENSG00000011426.11|ANLN	3396	3988	2608	4387	3800	3832
ENSG00000011451.19|WIZ	1398	1397	1289	1429	1421	1339
ENSG00000011454.17|RABGAP1	1990	2270	1581	2487	2113	2010
ENSG00000011465.17|DCN	17	30	11	27	6	19
ENSG00000011478.12|QPCTL	232	288	224	326	221	318
ENSG00000011485.14|PPP5C	2497	2733	2048	2674.99	2566.39	2430
ENSG00000011523.14|CEP68	1091.01	1294.74	885.1	1388.15	1135	1249
ENSG00000011566.15|MAP4K3	839	870	647	1003	910	794
ENSG00000011638.10|TMEM159	92	79	42	61	56	67
ENSG00000012048.22|BRCA1	1347	1894	1002	2078	1307	1699
ENSG00000012061.15|ERCC1	1246.2	1364.77	1171.01	1376.7	1198.68	1176.23
ENSG00000012124.17|CD22	6	16	7	12	5	11
ENSG00000012171.19|SEMA3B	502	779	465	779	421	683
ENSG00000012174.12|MBTPS2	1135	1028.6	930.74	1238	1276	1018.61
ENSG00000012211.13|PRICKLE3	65.27	73.39	56.02	75.81	46.84	81.31
ENSG00000012232.8|EXTL3	9861	10444	8465.19	11655	10334	10394
ENSG00000012660.14|ELOVL5	3146	3276	2559	3947	3407	3226
ENSG00000012822.16|CALCOCO1	889	1090	591	989	769	758
ENSG00000012963.15|UBR7	1547	1609	1181	1701	1665.98	1410
ENSG00000012983.11|MAP4K5	1268	1243	1030	1346	1292	1011
ENSG00000013016.16|EHD3	324	209	270	208	311	152
ENSG00000013275.7|PSMC4	2163	2263	1857	2435	2297	2183
ENSG00000013288.8|MAN2B2	520	461	391	451	409	374
ENSG00000013297.11|CLDN11	11	21	5	9	16	7
ENSG00000013306.16|SLC25A39	1780	1826	1480	1864	1648	1871
ENSG00000013364.19|MVP	44	21	38	28.03	25	16
ENSG00000013374.16|NUB1	1067.89	1003.62	773	1080.72	984	911.78
ENSG00000013375.16|PGM3	1301.53	1162.77	1020.19	1226.25	1344.7	1001.5
ENSG00000013392.8|RWDD2A	185	167	144	181	173	162
ENSG00000013441.16|CLK1	594	647	515	729	621	452
ENSG00000013503.10|POLR3B	363	315	274	453	400	331
ENSG00000013523.9|ANGEL1	994.37	1152.97	816.61	1222.54	1011.98	998.77
ENSG00000013561.18|RNF14	838	898	631	909	854	740
ENSG00000013563.14|DNASE1L1	93.21	161.63	80.03	177.1	108.9	129.37
ENSG00000013573.17|DDX11	1834.08	2571.16	1574.79	2613.46	1689.26	2445.66
ENSG00000013583.10|HEBP1	317	305	253	334	308	267
ENSG00000013619.14|MAMLD1	959	1217	854	1134	886	1103
ENSG00000013725.14|CD6	14	29	15	26	12	25
ENSG00000013810.19|TACC3	2759	3289.14	2353.31	3324	2479	2919
ENSG00000014123.10|UFL1	633	558	454	676	618	490
ENSG00000014138.9|POLA2	770.68	1093.22	653	1171.59	788.49	964.29
ENSG00000014164.7|ZC3H3	274	317	259	323	236	293
ENSG00000014216.15|CAPN1	659	688	508	706	576	636
ENSG00000014641.18|MDH1	2377.87	2948.3	1856.69	3206.83	2593.62	2644.12
ENSG00000014824.14|SLC30A9	2480	2640	1947	3099	2742	2396
ENSG00000014914.21|MTMR11	34	37	28	45	20	26
ENSG00000014919.12|COX15	568.41	675.75	519.22	723.91	611.48	608.58
ENSG00000015133.19|CCDC88C	434	414	328	364	394	371
ENSG00000015153.14|YAF2	209	183	174	244	272	181
ENSG00000015171.19|ZMYND11	1101	984	907	1073	1088	943
ENSG00000015285.10|WAS	26	72	21	67	31	48
ENSG00000015475.18|BID	635	686	629	897	769	797
ENSG00000015479.18|MATR3	9573.01	8195.96	7761.22	9630.87	10720.13	7345.75
ENSG00000015532.9|XYLT2	361	430	329	427	368	414
ENSG00000015568.13|RGPD5	267.71	174.25	106.11	36.9	63.31	85.93
ENSG00000015592.16|STMN4	63	58	28	30	50	34
ENSG00000015676.18|NUDCD3	1700	1652	1370	1627	1582	1321
ENSG00000016391.11|CHDH	124	98	85	102	95	79
ENSG00000016864.18|GLT8D1	1054	983	787.01	1100	1052	862.01
ENSG00000017260.19|ATP2C1	1839.3	2032.22	1386.92	2155.97	1847.21	1754.65
ENSG00000017797.13|RALBP1	1231	1221	1008	1423	1272	1133.12
ENSG00000018189.13|RUFY3	1959	1971	1574	2207	1984	1661
ENSG00000018408.14|WWTR1	4554.7	4197.08	3600.75	4941.49	5092.43	4219.48
ENSG00000018510.15|AGPS	1207	1140	871.77	1388	1282.25	1168.83
ENSG00000018610.14|CXorf56	424	445.97	367.92	465.94	417	388.94
ENSG00000018699.13|TTC27	231	214	210	253	283	189
ENSG00000018869.16|ZNF582	78.53	78.15	61.49	67.74	77.65	70.88
ENSG00000019144.19|PHLDB1	3020.13	3279.04	2572.64	3334.82	2877.12	2951.76
ENSG00000019485.13|PRDM11	155	196	200	244	195	212
ENSG00000019505.8|SYT13	16	27	8	17	12	4
ENSG00000019549.12|SNAI2	374	472	377	759	498	597
ENSG00000019582.15|CD74	38.03	42	21.69	32	30	31.7
ENSG00000019995.6|ZRANB1	307.67	372.76	278.7	412.47	367.06	292.94
ENSG00000020129.16|NCDN	773.32	887	774	928	868	874
ENSG00000020181.17|ADGRA2	59.25	52.62	53.66	45.77	58.23	44.43
ENSG00000020256.20|ZFP64	415	510	426	581	477	470
ENSG00000020426.11|MNAT1	328	368	270	436	415	292
ENSG00000020577.13|SAMD4A	955	1129	714	1064	951	916
ENSG00000020633.18|RUNX3	13	6	12	15	10	7
ENSG00000020922.12|MRE11	765	869	605	1021	762	844
ENSG00000021300.14|PLEKHB1	1123	1386	899	1294	1131	1102
ENSG00000021574.12|SPAST	479	517	403	684	587	526
ENSG00000021645.18|NRXN3	248	223	200	218	281	221
ENSG00000021762.20|OSBPL5	376	456	321	494	360	441
ENSG00000021776.11|AQR	1637	1662	1307	1932	1772	1494
ENSG00000022267.17|FHL1	2404	2653	1782	2736	2351	2292
ENSG00000022277.12|RTF2	2332	2432	1952.53	2621	2449	2180
ENSG00000022567.9|SLC45A4	153	142	123	143	159	127
ENSG00000022840.16|RNF10	1983	2037	1651	2199	2077	1818
ENSG00000022976.15|ZNF839	167.8	211.93	133.77	239.34	122.1	135.64
ENSG00000023041.11|ZDHHC6	504	604	402	516	595	495
ENSG00000023171.18|GRAMD1B	160	234	139	255	123	193
ENSG00000023191.17|RNH1	984	1059	1032	1039	1059	1037
ENSG00000023228.14|NDUFS1	2047.61	2086.56	1513.89	2472.44	2175.62	1969.21
ENSG00000023287.13|RB1CC1	1459	1498	1154	1447	1572	1231
ENSG00000023318.8|ERP44	867	919	651	1014	867	810
ENSG00000023330.15|ALAS1	1015	1173	913	1241	1023	1039
ENSG00000023516.9|AKAP11	955	1004	760	1230	1079	944
ENSG00000023572.9|GLRX2	274.53	260.95	242.84	354.42	346.64	237.61
ENSG00000023608.5|SNAPC1	263	294	185.84	315.69	239.19	240
ENSG00000023697.13|DERA	384	253	364	267	429	222
ENSG00000023734.11|STRAP	2781	2673	2511	3026	3248	2520
ENSG00000023902.14|PLEKHO1	770	667	647	657	707	603
ENSG00000023909.10|GCLM	229	267	204	369	308	292
ENSG00000024048.10|UBR2	722	809	593	888	763	741
ENSG00000024422.12|EHD2	1107	1678	1058	1586	1123	1388
ENSG00000024526.17|DEPDC1	1174.27	1104.03	841.34	1274.5	1206.28	1008.49
ENSG00000024862.17|CCDC28A	191	236	133	233	192	181
ENSG00000025039.14|RRAGD	745	882	552	857	794	637
ENSG00000025156.12|HSF2	634	676	490	772	733	546
ENSG00000025293.17|PHF20	2005	1973	1523	2199	2040	1740
ENSG00000025423.11|HSD17B6	50.05	50.03	36	41	45	38.02
ENSG00000025434.19|NR1H3	92	143	75	163	89	147
ENSG00000025770.19|NCAPH2	1203.98	1430.47	1002.42	1497.55	1128.06	1435.93
ENSG00000025772.8|TOMM34	1106	1316	1007	1358	1167	1185
ENSG00000025796.14|SEC63	2570.26	2825.59	1979.63	3238.21	2695.4	2315.5
ENSG00000025800.14|KPNA6	1975	2053	1548	2336.42	2160.71	2024.99
ENSG00000026025.16|VIM	40217.51	40665.68	31517.37	40491.88	39612.34	34308.15
ENSG00000026036.22|RTEL1-TNFRSF6B	373.02	372.52	347.64	415.91	313.03	323
ENSG00000026297.15|RNASET2	83	108.4	95	75.83	85	55
ENSG00000026508.18|CD44	1967	2762	1448	2781	1863	2470
ENSG00000026559.14|KCNG1	121	102	116	114	96.64	124
ENSG00000026652.14|AGPAT4	1460	1587	1171	1664	1290	1279
ENSG00000026950.17|BTN3A1	362.39	421.26	309.61	423.27	331.37	339.38
ENSG00000027001.10|MIPEP	287.12	274	237	394.05	348	287
ENSG00000027697.14|IFNGR1	603	679	451	700	638	573
ENSG00000027847.14|B4GALT7	384	379	277	330	305	296
ENSG00000028116.17|VRK2	21.36	24.46	24	18.74	19.26	22.76
ENSG00000028137.19|TNFRSF1B	230	459	162	443	187	430
ENSG00000028203.18|VEZT	764	788	625	841	939	671
ENSG00000028277.21|POU2F2	40	37	35	28	32	12
ENSG00000028310.18|BRD9	1540.96	1532.78	1286.99	1651.96	1448.91	1432.1
ENSG00000028528.15|SNX1	2546	2533	2015	2821	2446	2357
ENSG00000028839.10|TBPL1	247.53	276.07	222.41	389.26	315.55	259.6
ENSG00000029153.14|ARNTL2	531	520	412	648	592	517
ENSG00000029363.16|BCLAF1	4952.59	4619.15	3791.35	5137.81	5242.4	4176.88
ENSG00000029364.12|SLC39A9	1610	1508	1185	1818	1631	1391
ENSG00000029639.11|TFB1M	179.38	199.96	211.78	241.18	236.13	206.65
ENSG00000029725.17|RABEP1	2068.34	2011.81	1767.8	2378.19	2204.42	1991.65
ENSG00000029993.15|HMGB3	2369	1887	2021	2143	2440	1782
ENSG00000030066.13|NUP160	3007	3180	2358	3598	3277	3056
ENSG00000030110.13|BAK1	370	396	293	448	382	361
ENSG00000030582.18|GRN	1875	2724	1640	2470	1743	2325
ENSG00000031003.10|FAM13B	927	1093	725	1141.99	959	904.98
ENSG00000031081.10|ARHGAP31	701	629	610	745	848	610
ENSG00000031691.7|CENPQ	304	448	283	565	339	403
ENSG00000031698.13|SARS	3227	3698	2683	3807	3286	3200
ENSG00000031823.14|RANBP3	1212	1471	1105	1449	1243	1336
ENSG00000032219.18|ARID4A	574	874	462	1065	684	754
ENSG00000032389.12|EIPR1	480	494	407	545	516	497
ENSG00000032444.16|PNPLA6	860	770.13	725	784	777	780
ENSG00000032742.17|IFT88	355	263	258	334	334	258
ENSG00000033011.12|ALG1	408.08	423.94	360.06	524.45	424.84	472.75
ENSG00000033030.13|ZCCHC8	448	490	367	578	477	438
ENSG00000033050.9|ABCF2	1557.23	1625.7	1434.14	1800.51	1747.89	1734.48
ENSG00000033100.16|CHPF2	1801.43	1945.33	1437.34	2064.52	1659.51	1939.69
ENSG00000033170.16|FUT8	1387.7	1338.16	1099.24	1507.51	1466.54	1173.81
ENSG00000033178.13|UBA6	1423	1228	1056	1412	1464	1196
ENSG00000033327.13|GAB2	2166	1614	1824	1875	2228	1539
ENSG00000033627.16|ATP6V0A1	1816	1845	1459	1902	1737	1619
ENSG00000033800.13|PIAS1	1021.53	1053.65	760.14	1242.66	913.8	907.67
ENSG00000033867.16|SLC4A7	1630	1793	1262	2021	1821	1657
ENSG00000034053.14|APBA2	1504	1382	1299	1516	1360	1365
ENSG00000034152.18|MAP2K3	395	430	351	464	446	552
ENSG00000034510.6|TMSB10	19331	20935	15860	21516	19307	18215
ENSG00000034533.11|ASTE1	91.7	91.78	74.08	139.03	115.79	106.35
ENSG00000034677.13|RNF19A	2597	3439.73	1894	3689	2574	2875.32
ENSG00000034693.15|PEX3	226.69	212	184	293	272	212
ENSG00000034713.8|GABARAPL2	1218	1315	858	1299	1228	1139
ENSG00000035115.21|SH3YL1	499	406	333	451	436	358
ENSG00000035141.8|FAM136A	1353	1314	1048	1676	1438	1272
ENSG00000035403.17|VCL	907.41	1059.1	704.69	1206.21	925.23	1084.04
ENSG00000035499.13|DEPDC1B	548	501	417	558	554	415
ENSG00000035664.11|DAPK2	104	109	77	93	94	70
