Ola_923_R2B1	LMP.Olap_923_R2B1	Ola_923_R3B1	LMP.Olap_923_R3B1	Ola_923_R1B2	LMP.Olap_923_R1B2
ENSG00000000003.14|TSPAN6	988	779	758	825	994	635
ENSG00000000419.12|DPM1	734	777	551	906	758	777
ENSG00000000457.14|SCYL3	215.39	191.83	186.5	243.94	199.36	190.28
ENSG00000000460.17|C1orf112	492.61	635.17	363.5	740.06	512.64	569.72
ENSG00000001036.13|FUCA2	1903.87	1819.71	1503.09	2222.88	2018.83	1866.85
ENSG00000001084.12|GCLC	452	401	345	529	554	376
ENSG00000001167.14|NFYA	985	880	751	969	1056	837
ENSG00000001461.17|NIPAL3	245	413.99	168	362	210	311
ENSG00000001497.16|LAS1L	1725	1583	1385	1714	1538	1386
ENSG00000001617.12|SEMA3F	4	14	6	13	5	13
ENSG00000001629.10|ANKIB1	2284	2062	1679.83	2281	2215.82	1886.8
ENSG00000001630.17|CYP51A1	1762.98	1629.98	1412	2160.99	1959.97	1717
ENSG00000001631.15|KRIT1	1270.85	1282.74	948.35	1459.28	1371.19	1254.53
ENSG00000002016.17|RAD52	201	217	155	252.27	254	216
ENSG00000002330.13|BAD	147.04	195.63	123.29	167.31	155.03	174.46
ENSG00000002549.12|LAP3	1473	1613	1145	1806	1591	1468
ENSG00000002586.20|CD99	453	440	337.5	405	391.5	305.5
ENSG00000002586.20|PAR|Y|CD99	453	440	337.5	405	391.5	305.5
ENSG00000002822.15|MAD1L1	623.53	711.67	598.86	714.49	630.57	652.06
ENSG00000002834.18|LASP1	3370.45	3867.52	2794.75	4049.97	3388.35	3692.16
ENSG00000002919.14|SNX11	321	368	264	393	395	321
ENSG00000003056.8|M6PR	2676.18	2654.57	2149.87	2981.57	2665.59	2551.83
ENSG00000003096.14|KLHL13	513	512	389	488	603	416
ENSG00000003147.19|ICA1	151	203	128	186	181	153
ENSG00000003249.13|DBNDD1	498	533	500	522	555	495
ENSG00000003393.15|ALS2	413	494	376	487	445	389
ENSG00000003402.20|CFLAR	580.58	749.72	535	812	628.43	636
ENSG00000003509.16|NDUFAF7	303.82	393.52	238.23	415.47	318.91	326.19
ENSG00000003756.16|RBM5	3157.24	4013.9	2486.67	4122.41	2875.35	3339.9
ENSG00000003987.14|MTMR7	29.69	21.59	14.13	24.79	19.19	34.08
ENSG00000003989.17|SLC7A2	151	99	127	117	146	68
ENSG00000004059.11|ARF5	1435.05	1486	1229.74	1336	1393	1257.12
ENSG00000004139.14|SARM1	1297.44	1255.18	1337.36	1421.91	1461	1187.47
ENSG00000004142.12|POLDIP2	1958.11	1990.88	1751.26	2127.75	1959.84	1967.28
ENSG00000004399.12|PLXND1	958	1104	817	1056	873	864
ENSG00000004455.16|AK2	2718.04	2730.33	2303.63	3059.84	2742.56	2407.33
ENSG00000004478.8|FKBP4	2438	2695	2128	2955	2693	2713
ENSG00000004487.16|KDM1A	4785	4555	3649	5085	4731	3956
ENSG00000004534.15|RBM6	2523.52	2445	1946	2640	2345	1989
ENSG00000004660.14|CAMKK1	60	66	57	73	37	36
ENSG00000004700.16|RECQL	1029.76	1270.02	825.49	1399.19	1070.01	1132.54
ENSG00000004766.17|VPS50	683	720	539	786	678	613
ENSG00000004777.18|ARHGAP33	958.43	1043.01	917.2	986.87	858.8	859.71
ENSG00000004779.10|NDUFAB1	754	840	666	941	922	728
ENSG00000004799.8|PDK4	23	53	7	39	17	34
ENSG00000004838.14|ZMYND10	70	81	51	81	40	81
ENSG00000004848.8|ARX	24	14	11	11	23	9
ENSG00000004864.13|SLC25A13	1809	1570	1513	1871	1891	1512
ENSG00000004866.20|ST7	389.35	324.47	286.36	347.54	360.76	311.77
ENSG00000004897.12|CDC27	2084	1809.98	1643	2138	2251	1741.91
ENSG00000004961.15|HCCS	444	480	366	537	509	416
ENSG00000004975.12|DVL2	1431	1600	1234	1631	1363	1439
ENSG00000005007.12|UPF1	2219	2192	1938	2242	2334	2047
ENSG00000005020.13|SKAP2	350	402	247	373	342	323
ENSG00000005022.6|SLC25A5	3731.83	3438.81	3057.86	3981.81	4007.85	3364.79
ENSG00000005059.16|MCUB	742	863	622	906	808	716
ENSG00000005075.15|POLR2J	910.07	1100.05	779.08	1164.95	941.4	1018.66
ENSG00000005100.13|DHX33	1741	1943	1377	2148	1763	1893
ENSG00000005108.16|THSD7A	14	14	12	20	8	7
ENSG00000005156.11|LIG3	1473.72	1129.21	1330.4	1312.01	1504.4	1048.31
ENSG00000005175.10|RPAP3	820	946	681	1152	937	901
ENSG00000005189.19|REXO5	156	212.88	148	261	173	163.98
ENSG00000005194.15|CIAPIN1	1298.99	1252	1085	1419	1455	1345
ENSG00000005206.17|SPPL2B	1158	1354	942	1303	957	1092
ENSG00000005238.19|FAM214B	434	466	339	490	359	425
ENSG00000005243.10|COPZ2	19	27	15	33	19	24
ENSG00000005249.13|PRKAR2B	113	93	105	153	112	89
ENSG00000005302.18|MSL3	505	567	422	650	568	535
ENSG00000005339.14|CREBBP	1787	1649	1555	1965	1890	1763
ENSG00000005379.17|TSPOAP1	146	127	105	91	108	84
ENSG00000005436.13|GCFC2	313.75	304.97	269.92	350	354	253.84
ENSG00000005448.16|WDR54	790	1077	723	1108	762	895
ENSG00000005469.11|CROT	125	141	112	168	164	141
ENSG00000005483.20|KMT2E	2215	2180.92	1908.8	2277.93	2404.93	1754
ENSG00000005486.17|RHBDD2	1795	1937	1663	1960	1887	2030
ENSG00000005513.10|SOX8	1338	884	1239	1033	1394	938
ENSG00000005700.15|IBTK	1124	1101	758	1177	1148	927
ENSG00000005801.18|ZNF195	1059	1161	743	1211	993	1070
ENSG00000005810.18|MYCBP2	556.06	569.77	402	531.99	616.34	513.42
ENSG00000005812.11|FBXL3	354.45	399.44	245.15	473.61	418.24	363.91
ENSG00000005882.11|PDK2	318.68	456.6	290.62	408.84	320.74	375.98
ENSG00000005884.18|ITGA3	353	311	265	347	329	308
ENSG00000005889.15|ZFX	1044	964	758	1171	1140	930
ENSG00000005893.15|LAMP2	2755	2742	2099	3056	3051	2300
ENSG00000005961.18|ITGA2B	30	38	16	34	9	16
ENSG00000006007.12|GDE1	699	718.17	620	733	853.81	715
ENSG00000006015.17|REX1BD	144	147	126	178	144	165
ENSG00000006016.11|CRLF1	42.79	46.13	35	45.42	34.66	31.33
ENSG00000006025.12|AC003665.1	355	417	272	428	315	370
ENSG00000006042.12|TMEM98	135	88	76	84	125	52
ENSG00000006047.13|YBX2	84	136	65	124	70	87
ENSG00000006062.16|MAP3K14	191.25	270.38	176.72	337.37	228.64	290.55
ENSG00000006071.13|ABCC8	479	611	379	589	441	471
ENSG00000006118.14|TMEM132A	3197.92	3591.75	2688.93	3433.95	2840.93	3323.62
ENSG00000006125.18|AP2B1	5692	5157	4533	6028	6115	4845
ENSG00000006194.10|ZNF263	1074.01	1124.31	842.33	1115.58	947.16	877.9
ENSG00000006210.7|CX3CL1	1133	1684	1187	2015	1187	1909
ENSG00000006282.21|SPATA20	319	514	228	481	320	421
ENSG00000006283.18|CACNA1G	101.09	128	92	116	124	91.22
ENSG00000006327.13|TNFRSF12A	549	391	525	575	641	519
ENSG00000006432.15|MAP3K9	690	789	675	896	791	846
ENSG00000006451.8|RALA	1147	1051	854	1320	1203	1079
ENSG00000006453.14|BAIAP2L1	303.7	338.02	220.91	358.03	287.42	347.28
ENSG00000006459.11|KDM7A	238	159	177	175	228	124
ENSG00000006468.14|ETV1	9450	8237	6789	8896	10037	7089
ENSG00000006530.17|AGK	1382.45	1226.23	1100.75	1429.32	1456.79	1161.1
ENSG00000006534.16|ALDH3B1	139	254	139	260	131	231
ENSG00000006576.16|PHTF2	2017	2328	1746	2996	2520	2422
ENSG00000006607.14|FARP2	1277.43	1370.72	1015.68	1607.04	1411.2	1215.31
ENSG00000006625.18|GGCT	1591	1846	1307.58	2162	1695	1768.99
ENSG00000006634.8|DBF4	1294.06	1189.96	1044.05	1550.89	1449.18	1185.07
ENSG00000006638.11|TBXA2R	33	36	25	35	38	17
ENSG00000006652.14|IFRD1	2044	1894	1660	1974	2178	1619
ENSG00000006695.11|COX10	240.84	238.99	199.98	263.93	270.95	221
ENSG00000006704.10|GTF2IRD1	637	647	509	619	588	509
ENSG00000006712.15|PAF1	1728	1899	1483	1890	1872	1696
ENSG00000006715.16|VPS41	1941	1910	1574	2066	2068	1586
ENSG00000006744.19|ELAC2	1274	1215	1096	1375	1347	1281
ENSG00000006756.16|ARSD	266	309.17	177	346.77	285	272
ENSG00000006831.10|ADIPOR2	2114	2120	1664	2315	2204	2026
ENSG00000006837.12|CDKL3	40.47	30.96	42.62	66.59	49.4	49.05
ENSG00000007047.15|MARK4	579	611	431	667	537	543
ENSG00000007062.11|PROM1	1884	1510	1353	1361	1815	959
ENSG00000007080.11|CCDC124	606	522	550	615	633	610
ENSG00000007168.13|PAFAH1B1	4105	4096.24	3272	4453	4366.34	3676
ENSG00000007171.17|NOS2	10	34	14	43	17	20
ENSG00000007174.18|DNAH9	310	256	303	285	350	245
ENSG00000007202.15|KIAA0100	5365.57	5630.15	4468.41	6256.51	5499.75	5398.87
ENSG00000007237.18|GAS7	12550	14152	10441	15553	13150	13343
ENSG00000007255.10|TRAPPC6A	73	122	64	88	90	100
ENSG00000007341.19|ST7L	354.52	396.12	237.14	404.4	339.14	385.06
ENSG00000007372.22|PAX6	313.81	294.51	234.83	322.99	307.7	240.96
ENSG00000007376.8|RPUSD1	284	298	266.99	254	294	326
ENSG00000007384.15|RHBDF1	205	243	196	200	187	179
ENSG00000007392.16|LUC7L	1491	1766	1031	1789	1243	1367
ENSG00000007402.11|CACNA2D2	34	49	26	35	32	26
ENSG00000007516.13|BAIAP3	813.26	926.87	747.15	810.12	657.56	693.93
ENSG00000007520.4|TSR3	258.74	311.13	273.85	290.88	298.44	297.07
ENSG00000007541.16|PIGQ	531.06	600.84	469.19	596.92	500.88	566.07
ENSG00000007545.15|CRAMP1	1200.85	1277.94	945.48	1444.12	1151.12	1185.63
ENSG00000007866.21|TEAD3	222	260	196	226	191	196
ENSG00000007923.16|DNAJC11	1842.01	1959.47	1618.69	2109.6	1863.46	1946.56
ENSG00000007944.15|MYLIP	371	476	241	406	284	329
ENSG00000007968.7|E2F2	337	490	276	627	281	483
ENSG00000008018.9|PSMB1	2322	2247	1872	2562	2598	2173
ENSG00000008056.14|SYN1	157.95	179.62	152	180	172	166
ENSG00000008083.14|JARID2	1063	1235	843	1299	1110	1197
ENSG00000008086.11|CDKL5	209	188	145	213	208	188
ENSG00000008128.23|CDK11A	772.22	835.11	651.53	954.61	651.73	791.26
ENSG00000008130.15|NADK	1621	1871	1392	1985	1564	1836
ENSG00000008256.16|CYTH3	584	611	451	576	555	555
ENSG00000008277.14|ADAM22	1589	1117	1183	1218	1508	1020
ENSG00000008282.8|SYPL1	2053	2327	1556	2612	2176	2072
ENSG00000008283.16|CYB561	244	252	201	309	192	243
ENSG00000008294.21|SPAG9	6030	6453	4565	7085	5810	5313
ENSG00000008300.17|CELSR3	2746	2920	2377	2924	2552	2704
ENSG00000008311.15|AASS	1221	1160	925	1314.99	1144	1011
ENSG00000008324.11|SS18L2	249.24	319	172	285	221	235
ENSG00000008382.15|MPND	275.86	347.17	244.94	361.76	293.69	302.95
ENSG00000008405.12|CRY1	478	353	394	458	499	364
ENSG00000008441.16|NFIX	1486	1840	1321	1880	1629	1627
ENSG00000008513.16|ST3GAL1	158	118	122	115	144	159
ENSG00000008710.19|PKD1	1296.2	1538.23	1339.41	1313.78	1147.29	1307.91
ENSG00000008735.14|MAPK8IP2	580	526	441	550	499	495
ENSG00000008838.20|MED24	1774	2093	1474	2227	1697	2006
ENSG00000008853.16|RHOBTB2	1047.41	1483.76	923.41	1534.91	1163.66	1435.7
ENSG00000008869.12|HEATR5B	636	710	442	774	669	639
ENSG00000008952.17|SEC62	1841	1857	1443	2156	1999	1600
ENSG00000008988.9|RPS20	5896	5513	4438	5624.98	5874	4501
ENSG00000009307.16|CSDE1	11274.96	10842	9063	12544	12411	9777.96
ENSG00000009335.18|UBE3C	3180	2961	2568	3444	3288	3019
ENSG00000009413.15|REV3L	3520.44	3034.55	2775.22	3759.05	3717.38	2630.72
ENSG00000009724.16|MASP2	47	69	27	26	35	36
ENSG00000009780.15|FAM76A	126	106	93	144	143	104
ENSG00000009830.11|POMT2	885	867	806	1028	898	887
ENSG00000009844.16|VTA1	1386	1163	1088	1385	1454	1142
ENSG00000009950.16|MLXIPL	65	74	57	93	57	70
ENSG00000009954.11|BAZ1B	8474	8593	6482	9618	8884	7939
ENSG00000010017.13|RANBP9	2969.81	3017.85	2136.57	3063.03	2787.71	2568.95
ENSG00000010072.16|SPRTN	241.37	330.69	237.02	375.64	295.88	338.67
ENSG00000010165.20|EEF1AKNMT	921	938	742	1020	976	953
ENSG00000010219.13|DYRK4	136.86	145	92.72	135.63	146.87	111.49
ENSG00000010244.18|ZNF207	4130	4020	3370	4472	4218	3568
ENSG00000010256.11|UQCRC1	2946	3149	2707	3425	3119	3028
ENSG00000010270.13|STARD3NL	1196	1261	849	1361	1268	1037
ENSG00000010278.14|CD9	2129	2345	1555	2147	2080	1642
ENSG00000010292.13|NCAPD2	4983.66	5147.15	4026.67	5404.53	5014.98	4685.93
