Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000111275.13|ALDH2	876	944	857	774
ENSG00000111276.11|CDKN1B	1333	1611	1504	1552
ENSG00000111300.10|NAA25	559	659	649	608
ENSG00000111325.16|OGFOD2	162.32	232.61	110.21	203.59
ENSG00000111328.7|CDK2AP1	2837.59	3186.99	3128.14	2846.46
ENSG00000111331.13|OAS3	1847	2136	1698	1700
ENSG00000111341.9|MGP	61	78	36	24
ENSG00000111358.14|GTF2H3	486	634	580	589
ENSG00000111361.12|EIF2B1	736.98	743.02	747.84	684.42
ENSG00000111364.16|DDX55	497.02	559.98	458.16	480.58
ENSG00000111371.15|SLC38A1	2396	3203	3136	3156
ENSG00000111405.9|ENDOU	10	11	12	12
ENSG00000111412.6|C12orf49	493	551	566	522
ENSG00000111445.14|RFC5	479.67	532.54	500.06	436.92
ENSG00000111450.14|STX2	606	668	648	589
ENSG00000111481.10|COPZ1	1718	1892	1881	1824
ENSG00000111490.13|TBC1D30	32	39	22	26
ENSG00000111530.13|CAND1	1731	2256	2201	1904
ENSG00000111540.16|RAB5B	1456	1776	1669	1484
ENSG00000111554.14|MDM1	202	265	203	201
ENSG00000111581.10|NUP107	1187	1391.98	1436	1214
ENSG00000111596.12|CNOT2	748	875.54	870.28	760.89
ENSG00000111602.12|TIMELESS	2531	2741	2303	2269
ENSG00000111605.18|CPSF6	1796	1907	1884	1781
ENSG00000111615.14|KRR1	1075.21	1449.68	1213.4	1017.47
ENSG00000111639.8|MRPL51	1266.73	1322.5	1268.64	1156.38
ENSG00000111640.15|GAPDH	27670.78	29485.07	27605.22	28773.87
ENSG00000111641.11|NOP2	1074.06	1303.69	1113.8	1267.13
ENSG00000111642.15|CHD4	6987.31	7764.89	6614.83	6568
ENSG00000111644.8|ACRBP	29	31	34	37
ENSG00000111647.13|UHRF1BP1L	344	393	389	408
ENSG00000111652.10|COPS7A	548	566	548	509
ENSG00000111653.20|ING4	441	400	377	360
ENSG00000111664.10|GNB3	359.68	402.81	342.56	403.8
ENSG00000111665.11|CDCA3	849.32	1032.19	769.44	969.2
ENSG00000111666.11|CHPT1	159	201.96	216.99	143.43
ENSG00000111667.13|USP5	2201	2300	1889	1857
ENSG00000111669.15|TPI1	5541	5729.98	5232	5132
ENSG00000111670.16|GNPTAB	411	484	462	380
ENSG00000111671.9|SPSB2	52	65	62	76
ENSG00000111674.9|ENO2	1142	1308	1048	1133
ENSG00000111676.15|ATN1	4312	4659	3820	3967
ENSG00000111678.11|C12orf57	551.96	648.58	574.59	628.34
ENSG00000111684.11|LPCAT3	362.09	341.9	348.2	336.69
ENSG00000111696.12|NT5DC3	55	60	68	27
ENSG00000111707.12|SUDS3	559.96	766.97	652.87	622.96
ENSG00000111711.10|GOLT1B	413	490	489	432
ENSG00000111716.12|LDHB	5653.41	6106.01	5735.55	5138.64
ENSG00000111725.11|PRKAB1	339	355	313	327
ENSG00000111726.13|CMAS	298	335	329	320
ENSG00000111727.12|HCFC2	175	277	272	256
ENSG00000111728.10|ST8SIA1	147	225	180	159
ENSG00000111731.12|C2CD5	558	692	628	614
ENSG00000111737.12|RAB35	760.32	884	685.27	745.26
ENSG00000111752.11|PHC1	1431.88	1645.25	1491.22	1403.42
ENSG00000111775.3|COX6A1	1320.75	1490.68	1305	1406.65
ENSG00000111783.12|RFX4	1397.98	1681.07	1518.43	1476.65
ENSG00000111785.20|RIC8B	444	511	480	461
ENSG00000111786.9|SRSF9	1587.64	1777.34	1606.26	1663.19
ENSG00000111788.10|AC009533.1	208.54	257.8	242.05	204.57
ENSG00000111790.14|FGFR1OP2	442	526	626	506
ENSG00000111799.21|COL12A1	1469	1942	1285	1357
ENSG00000111801.16|BTN3A3	185.8	175.57	171.33	171.15
ENSG00000111802.14|TDP2	599	685	657	630
ENSG00000111817.17|DSE	63.17	67	50.96	68.67
ENSG00000111832.13|RWDD1	353	412	358	336
ENSG00000111843.14|TMEM14C	496	494	515	463
ENSG00000111845.5|PAK1IP1	481	448	485	445
ENSG00000111846.17|GCNT2	698	890	875	851
ENSG00000111850.11|SMIM8	82	149	158	127
ENSG00000111859.17|NEDD9	840	872	862	894
ENSG00000111860.14|CEP85L	407	555	471	403
ENSG00000111875.8|ASF1A	700.91	818.18	757.09	821.1
ENSG00000111877.17|MCM9	263.09	328.78	342.91	304.9
ENSG00000111879.19|FAM184A	245	297.97	292	261
ENSG00000111880.16|RNGTT	582	630	630	595
ENSG00000111886.10|GABRR2	16	25	23	24
ENSG00000111897.7|SERINC1	3202	3867	3874	3520
ENSG00000111906.17|HDDC2	493	516	500	421
ENSG00000111911.7|HINT3	263.27	329	344.34	331
ENSG00000111912.20|NCOA7	117	137	153	135
ENSG00000111913.18|RIPOR2	18	18	21	23
ENSG00000111961.18|SASH1	1527	1809	1804	1743
ENSG00000111962.8|UST	274	338	333	317
ENSG00000112029.10|FBXO5	550	669	576.96	537.94
ENSG00000112031.16|MTRF1L	443.31	612.16	569.2	529.34
ENSG00000112033.14|PPARD	454	456	421	431
ENSG00000112039.4|FANCE	236	225	209	217
ENSG00000112062.10|MAPK14	626	738	760	778
ENSG00000112078.14|KCTD20	1486	1740	1657	1563
ENSG00000112079.9|STK38	509	618	635	574
ENSG00000112081.17|SRSF3	5568	6381	5613	5269
ENSG00000112096.18|SOD2	671	799	644	650
ENSG00000112110.10|MRPL18	363	419	408	412
ENSG00000112118.19|MCM3	4287	4571	3977	3516
ENSG00000112130.17|RNF8	359	385	369	354
ENSG00000112139.16|MDGA1	239	238	177	223
ENSG00000112144.15|ICK	389	456	461	404
ENSG00000112146.16|FBXO9	538	573	647	559
ENSG00000112149.10|CD83	409	394	403	328
ENSG00000112159.12|MDN1	654	874	739	693
ENSG00000112167.10|SAYSD1	211	238	204	176
ENSG00000112182.15|BACH2	148	194	190	179
ENSG00000112183.15|RBM24	8	12	18	17
ENSG00000112186.12|CAP2	804	914	931	820
ENSG00000112200.17|ZNF451	801.46	999.48	986.98	917.58
ENSG00000112208.11|BAG2	157.51	165.21	127.53	117.94
ENSG00000112210.12|RAB23	319.49	354.79	370.47	337.06
ENSG00000112232.9|KHDRBS2	126.79	122.78	157.64	150.91
ENSG00000112234.9|FBXL4	244	357	318	284
ENSG00000112237.13|CCNC	680.67	816.63	796.42	682.28
ENSG00000112242.15|E2F3	1202	1332	1258	1169
ENSG00000112245.11|PTP4A1	1240.71	1418.16	1532.96	1340.65
ENSG00000112249.14|ASCC3	526	544	560	478
ENSG00000112276.14|BVES	802	939	943	809
ENSG00000112280.16|COL9A1	172	199	241	181
ENSG00000112282.18|MED23	630	785	762	687
ENSG00000112290.13|WASF1	694	704	805	740
ENSG00000112293.15|GPLD1	75.34	67.41	68.66	75.09
ENSG00000112294.12|ALDH5A1	694	701	752	654
ENSG00000112297.15|CRYBG1	53	63	85	73
ENSG00000112304.11|ACOT13	581.04	645.86	629	522.74
ENSG00000112305.14|SMAP1	719.62	781.46	752.79	688.29
ENSG00000112306.8|RPS12	3896.99	4584.99	4250.99	3916.98
ENSG00000112308.13|C6orf62	1593.58	1973.69	1822.68	1738.77
ENSG00000112309.10|B3GAT2	20.38	31.54	25.21	22.71
ENSG00000112312.10|GMNN	538	571	543	551
ENSG00000112319.19|EYA4	1622	1854	1712	1395
ENSG00000112320.12|SOBP	1418	1642	1441	1459
ENSG00000112333.11|NR2E1	84	131	133	115
ENSG00000112335.15|SNX3	1620	1847	1727	1663
ENSG00000112339.14|HBS1L	700	762	725	597
ENSG00000112343.11|TRIM38	320.79	383.97	403.17	361
ENSG00000112357.13|PEX7	52	49	44	44
ENSG00000112365.4|ZBTB24	349.44	409	373	326
ENSG00000112367.10|FIG4	272	331	373	337
ENSG00000112378.12|PERP	15	19	36	24
ENSG00000112379.9|ARFGEF3	179	237	187	187
ENSG00000112394.17|SLC16A10	63	99	73	64
ENSG00000112406.5|HECA	304	409	373.49	336
ENSG00000112414.14|ADGRG6	221	335	264	208
ENSG00000112419.14|PHACTR2	55	73	81	54
ENSG00000112425.15|EPM2A	54	78.54	54	39
ENSG00000112473.18|SLC39A7	2809.24	3065.59	2811.32	2809.71
ENSG00000112511.17|PHF1	1014	996	892	884
ENSG00000112514.15|CUTA	1197	1268	1179	1268
ENSG00000112531.17|QKI	7422	9416	9041	7957
ENSG00000112559.14|MDFI	944	965	888	980
ENSG00000112561.18|TFEB	181	172	151	182
ENSG00000112576.12|CCND3	612	670	598	648
ENSG00000112578.10|BYSL	522	622	555	514
ENSG00000112584.13|FAM120B	478	544	559	498
ENSG00000112592.14|TBP	236	254	243	248
ENSG00000112599.9|GUCA1B	34	37	37	41
ENSG00000112624.12|BICRAL	283	303	283	285
ENSG00000112640.15|PPP2R5D	1419.23	1532.06	1337.45	1432.84
ENSG00000112651.12|MRPL2	345	343	290	296
ENSG00000112655.16|PTK7	1936	2084	1726	1810
ENSG00000112658.8|SRF	930	1018	790	844
ENSG00000112659.14|CUL9	1461	1603.37	1350.68	1312
ENSG00000112667.12|DNPH1	177	209	141	174
ENSG00000112679.14|DUSP22	502	587	598	570
ENSG00000112685.14|EXOC2	1215	1393	1535	1377
ENSG00000112695.11|COX7A2	1175	1225	1151	1106
ENSG00000112697.16|TMEM30A	2784	3272	3345	2919
ENSG00000112699.11|GMDS	191	213	208	183
ENSG00000112701.18|SENP6	1251	1435	1323	1219
ENSG00000112715.21|VEGFA	1785.19	2001.8	1664.93	1763.06
ENSG00000112739.17|PRPF4B	1848	2243	2206	1855
ENSG00000112742.10|TTK	967	1243	1086	1008
ENSG00000112759.18|SLC29A1	906	979	783	727
ENSG00000112763.17|BTN2A1	549	641.57	578.8	548.62
ENSG00000112769.19|LAMA4	6175	7259.98	6604.99	6078
ENSG00000112773.16|TENT5A	169	172	168	155
ENSG00000112787.13|FBRSL1	433	493	403	406
ENSG00000112851.14|ERBIN	3678	4522	4413	4075
ENSG00000112852.6|PCDHB2	25.35	16.55	27.41	18.09
ENSG00000112855.16|HARS2	402.68	486.19	485.2	434.52
ENSG00000112874.10|NUDT12	351	441	381	395
ENSG00000112877.8|CEP72	316.28	357.64	280.57	285.08
ENSG00000112893.9|MAN2A1	780	958	871	824
ENSG00000112902.12|SEMA5A	5334	6533	5361	5015
ENSG00000112941.14|TENT4A	1054	1120	954	918
ENSG00000112964.14|GHR	10	9	4	10
ENSG00000112972.15|HMGCS1	5363.32	6738.97	7523.87	6640.53
ENSG00000112977.15|DAP	2357	2474	2083	1966
ENSG00000112981.5|NME5	26	33	36	33
ENSG00000112983.17|BRD8	1616	1782	1686	1543
ENSG00000112984.12|KIF20A	1525	1692	1314	1468
ENSG00000112992.17|NNT	3041.3	3664.01	3202.62	3096
ENSG00000112996.11|MRPS30	720	874	740	787
ENSG00000113013.14|HSPA9	4215	4632	4227	4086
ENSG00000113048.16|MRPS27	2010	2248	2172	1905
ENSG00000113068.9|PFDN1	782	818	740	690
ENSG00000113070.8|HBEGF	68	100	95	82
ENSG00000113083.14|LOX	42	49	35	27
ENSG00000113108.19|APBB3	389	462	439	443
ENSG00000113119.12|TMCO6	168	155	145	163
ENSG00000113140.11|SPARC	12558	13855	15500	15982
ENSG00000113141.18|IK	1591	1732	1566.99	1417.99
ENSG00000113161.16|HMGCR	3587	4691	5367	4964
ENSG00000113163.16|COL4A3BP	1408.1	1813.73	2138.27	2070.09
ENSG00000113194.13|FAF2	1209	1482	1217	1168
ENSG00000113205.5|PCDHB3	563.45	703.86	598.96	584.93
ENSG00000113209.8|PCDHB5	1584.88	1691.48	1604.51	1506.12
ENSG00000113211.5|PCDHB6	26.22	29.09	14.04	31.05
ENSG00000113212.6|PCDHB7	24.03	20.04	19.03	8
ENSG00000113231.13|PDE8B	318	315.6	289.84	305.15
ENSG00000113240.13|CLK4	314	387	422	433
ENSG00000113248.6|PCDHB15	60.12	67.45	69.76	55.48
ENSG00000113262.16|GRM6	27	38	34	35
ENSG00000113269.14|RNF130	695	740	786	650.44
ENSG00000113272.14|THG1L	221	225	214	198
ENSG00000113273.17|ARSB	408	497	440	398
ENSG00000113282.13|CLINT1	971	1236	1197	1034
ENSG00000113296.14|THBS4	343	274.97	314.98	273
ENSG00000113300.12|CNOT6	789	983	983	767
ENSG00000113312.11|TTC1	548	550	540	503
ENSG00000113318.10|MSH3	532.56	648.53	613.66	516.15
ENSG00000113319.13|RASGRF2	23	32	25	21
ENSG00000113328.19|CCNG1	430	492	478	418
ENSG00000113356.12|POLR3G	216	274	296	275
ENSG00000113360.16|DROSHA	2617	3068	2765	2413
ENSG00000113361.13|CDH6	1765	2055	1496	1258
ENSG00000113368.12|LMNB1	3375	4054	3751	3266
ENSG00000113369.9|ARRDC3	1647	1887	1836	1595
ENSG00000113384.14|GOLPH3	1487	1698	1699	1551
ENSG00000113387.12|SUB1	4179	4473	4243	3832
ENSG00000113391.19|FAM172A	509	623	526	482
ENSG00000113407.13|TARS	2984	3308	3166	3023
ENSG00000113441.16|LNPEP	936.24	1310	1235.1	1065.57
ENSG00000113448.19|PDE4D	36	49	28	26
ENSG00000113456.19|RAD1	763.79	856.95	773.05	826.22
ENSG00000113460.12|BRIX1	1042.21	1168.05	1108.95	1041.78
ENSG00000113504.21|SLC12A7	623	729	629	698
ENSG00000113522.14|RAD50	689.15	817.57	789.18	756.15
ENSG00000113532.13|ST8SIA4	72	98	116	103
ENSG00000113552.16|GNPDA1	1001	1234	1061	1020
ENSG00000113555.5|PCDH12	37	38	25	23
ENSG00000113558.18|SKP1	3447.98	3957.91	3804.74	3342.79
ENSG00000113569.16|NUP155	2010	2524	2160	2117
ENSG00000113575.10|PPP2CA	1729.9	2062.73	1963.49	1924.08
ENSG00000113578.18|FGF1	185	168	133	143
ENSG00000113580.15|NR3C1	407	527	496	484
ENSG00000113583.8|C5orf15	766	873.99	959	794
ENSG00000113593.12|PPWD1	712	833	826	744
ENSG00000113594.10|LIFR	920	1274.07	1014.92	748
ENSG00000113595.15|TRIM23	466	594	605	557
ENSG00000113597.18|TRAPPC13	623.66	769.27	752.24	672.37
ENSG00000113615.13|SEC24A	512.55	665.11	654.67	561.91
ENSG00000113621.14|TXNDC15	620	704	732	655
ENSG00000113638.14|TTC33	290	324	332	280
ENSG00000113643.9|RARS	813	909	958	836
ENSG00000113648.16|H2AFY	3346.49	3570.91	3256.56	3104.37
ENSG00000113649.11|TCERG1	1335	1574	1505	1305
ENSG00000113657.13|DPYSL3	1758	1971	1805	1758
ENSG00000113658.18|SMAD5	945	1126	1113	989.38
ENSG00000113712.17|CSNK1A1	2695.06	3127.1	3073.45	2910
ENSG00000113716.13|HMGXB3	1054	1166.05	923	983.27
ENSG00000113719.16|ERGIC1	3030	3244	2692	2639
ENSG00000113721.14|PDGFRB	144	187	146	200
ENSG00000113732.9|ATP6V0E1	457	532	512	493
ENSG00000113734.17|BNIP1	151	195	206	170
ENSG00000113742.13|CPEB4	307	349	289	287
ENSG00000113749.7|HRH2	738	876	679	717
ENSG00000113758.13|DBN1	2946	3465	2686	2914
ENSG00000113761.12|ZNF346	257	301	286	258
ENSG00000113790.11|EHHADH	546	635	576	550
ENSG00000113810.16|SMC4	5958.14	7482.61	6673.78	6180.85
ENSG00000113811.11|SELENOK	336	387	434	395
ENSG00000113812.14|ACTR8	449	521	483	460
ENSG00000113838.13|TBCCD1	381.1	488	451	459.45
ENSG00000113845.9|TIMMDC1	839	823	824	761
ENSG00000113851.14|CRBN	578.21	742.4	679.1	585.33
ENSG00000113916.18|BCL6	1296	1467.05	1646.98	1667.97
ENSG00000113966.10|ARL6	85	126	117	128
ENSG00000113971.20|NPHP3	505.99	584.79	616.23	525.06
ENSG00000114019.14|AMOTL2	369	410	317	283
ENSG00000114021.12|NIT2	540	563	581	510
ENSG00000114023.15|FAM162A	254	319	331	265
ENSG00000114026.21|OGG1	741.44	813.27	783.78	738.57
ENSG00000114030.13|KPNA1	1468.66	1619.14	1563.49	1313.84
ENSG00000114054.14|PCCB	1039.57	1271.81	1111.25	1036.64
ENSG00000114062.19|UBE3A	2407	3136	2982	2518.99
ENSG00000114098.17|ARMC8	918	1068	1026	965
ENSG00000114107.9|CEP70	376	488	397	366
ENSG00000114120.12|SLC25A36	1143	1481	1370	1163
ENSG00000114125.14|RNF7	672	786	743	711
ENSG00000114126.17|TFDP2	1713	1970	1513	1442
ENSG00000114127.10|XRN1	485	682	541	543
ENSG00000114166.8|KAT2B	846	1144	1170	1106
ENSG00000114200.10|BCHE	2660	2944	3154	2831
ENSG00000114209.15|PDCD10	558	609	655	590
ENSG00000114251.14|WNT5A	94	145	115	111
ENSG00000114268.12|PFKFB4	135	122.69	123	115.85
ENSG00000114270.17|COL7A1	227	238	179	170
ENSG00000114279.13|FGF12	70	75	53	56
ENSG00000114302.16|PRKAR2A	829	951	786	780
ENSG00000114315.4|HES1	243	282	257	279
ENSG00000114316.12|USP4	566	678	654	646
ENSG00000114331.14|ACAP2	874	1171	1165	989
ENSG00000114346.13|ECT2	2143	2674	2369	2313
ENSG00000114353.17|GNAI2	2392	2672	2353	2525
ENSG00000114354.14|TFG	1668	1862	1787	1653
ENSG00000114383.10|TUSC2	330	344	296	306
ENSG00000114388.12|NPRL2	281.92	280.62	366.74	313.77
ENSG00000114391.13|RPL24	4406.99	4342.98	3983	3825
ENSG00000114395.10|CYB561D2	97.74	115.08	84.83	82.84
ENSG00000114416.18|FXR1	1820	2210	2097	1867
ENSG00000114423.21|CBLB	510	621	470	429
ENSG00000114439.19|BBX	1628	1930	1905	1618
ENSG00000114446.5|IFT57	566	662	627	596
ENSG00000114450.10|GNB4	1540.79	1918.75	2007.66	1772.98
ENSG00000114473.14|IQCG	157	202	231	193
ENSG00000114480.13|GBE1	722	797	861	797
ENSG00000114491.14|UMPS	871	940	889	914
ENSG00000114503.11|NCBP2	1945.86	2132	2116.5	1838.51
ENSG00000114520.11|SNX4	1109	1284	1251	1105
ENSG00000114529.12|C3orf52	138	150	148	134
ENSG00000114541.15|FRMD4B	16	21	23	16
ENSG00000114544.16|SLC41A3	482	579	473	491
ENSG00000114554.11|PLXNA1	1543	1927	1388	1712
ENSG00000114573.10|ATP6V1A	1529	1823	1655	1564
ENSG00000114626.18|ABTB1	213	247	202	210
ENSG00000114631.11|PODXL2	1836	1927	1450	1569
ENSG00000114646.10|CSPG5	1582	1672	1493	1358
ENSG00000114648.12|KLHL18	269.89	349.71	292.72	351
ENSG00000114650.20|SCAP	1006	1037	820	857
ENSG00000114654.7|EFCC1	14	11	13	12
ENSG00000114656.11|KIAA1257	32.04	29.19	19	27.05
ENSG00000114670.14|NEK11	33	22	32.82	41
ENSG00000114686.9|MRPL3	1423	1648	1460	1423
ENSG00000114698.15|PLSCR4	123	115	136	120
ENSG00000114735.9|HEMK1	506	616	524	549
ENSG00000114737.15|CISH	25	18	28	23
ENSG00000114738.11|MAPKAPK3	467	475	386	364
ENSG00000114739.14|ACVR2B	357	496	370	383
ENSG00000114742.14|WDR48	695	798	772	651
ENSG00000114744.9|COMMD2	3184	3924	3909	3622
ENSG00000114745.13|GORASP1	730	759	688	714.14
ENSG00000114767.7|RRP9	471	391	311	345
ENSG00000114770.17|ABCC5	954	1215	1052	1021
ENSG00000114779.19|ABHD14B	170	194	153	170
ENSG00000114784.4|EIF1B	437	448	418	388
ENSG00000114786.16|ABHD14A-ACY1	52.49	48.5	63.53	48.1
ENSG00000114790.13|ARHGEF26	209	224	183	165
ENSG00000114796.16|KLHL24	706	940	825	704
ENSG00000114805.17|PLCH1	248	313	306	247
ENSG00000114812.13|VIPR1	163.43	197.56	221.61	231.39
ENSG00000114841.17|DNAH1	113	114	101	121
ENSG00000114850.6|SSR3	1453	1786	1686	1614
ENSG00000114853.14|ZBTB47	363	372	289	312
ENSG00000114857.18|NKTR	1560	2008	1916	1654
ENSG00000114859.16|CLCN2	231	280.08	228	256
ENSG00000114861.20|FOXP1	391	514	416	383
ENSG00000114867.20|EIF4G1	9097	10037	8597	8305
ENSG00000114902.14|SPCS1	612.22	733.75	690	591.07
ENSG00000114904.13|NEK4	541.78	650.25	616	622.93
ENSG00000114923.17|SLC4A3	1150	1378	1283	1522
ENSG00000114933.16|INO80D	295.33	413.02	372.21	352.58
ENSG00000114942.14|EEF1B2	4229.98	4377.36	4042.07	3890.15
ENSG00000114948.13|ADAM23	489	589	587	539
ENSG00000114956.20|DGUOK	661	659	653	660
ENSG00000114978.18|MOB1A	1401	1701	1576	1402
ENSG00000114982.18|KANSL3	1286	1478	1231	1147
ENSG00000114988.11|LMAN2L	811	949	900	884
ENSG00000114993.16|RTKN	1253	1322	1150	1192
ENSG00000114999.8|TTL	1840	2244	1995	1888
ENSG00000115020.17|PIKFYVE	1301	1759	1582	1454
ENSG00000115042.10|FAHD2A	411.18	458.3	371.57	370.49
ENSG00000115053.16|NCL	12180	12869	11528	10511
ENSG00000115073.7|ACTR1B	793	791	693	723
ENSG00000115084.14|SLC35F5	824	1038	1086	1006
ENSG00000115091.11|ACTR3	3727	4220	4338	3863
ENSG00000115107.20|STEAP3	1380.7	1535.29	1234.29	1308.42
ENSG00000115109.14|EPB41L5	1807	2236	2373	2031
ENSG00000115112.8|TFCP2L1	56	98	85	87
ENSG00000115128.7|SF3B6	1006	1130	1038	961
ENSG00000115129.14|TP53I3	593	619	705	710
ENSG00000115137.11|DNAJC27	133	175	166	134
ENSG00000115145.10|STAM2	400	491	498	475
ENSG00000115159.16|GPD2	1071	1357	1329	1288
ENSG00000115163.15|CENPA	319.17	447	338.51	377.11
ENSG00000115170.13|ACVR1	211	213	197	178
ENSG00000115183.15|TANC1	4008	4983	4109	3931
ENSG00000115194.10|SLC30A3	69	63	43	51
ENSG00000115204.15|MPV17	686	773	723	689
ENSG00000115207.13|GTF3C2	1754.84	1896.65	1587.21	1634
ENSG00000115211.15|EIF2B4	1014.82	1161.75	1027.61	1071
ENSG00000115216.14|NRBP1	2524	2649	2562	2490
ENSG00000115226.10|FNDC4	374	438	348	362
ENSG00000115232.14|ITGA4	29.24	54	54	75
ENSG00000115233.12|PSMD14	1520	1852	2021	1775
ENSG00000115234.11|SNX17	1386.89	1566.21	1443.42	1478.56
ENSG00000115239.21|ASB3	486.64	574	573	503
ENSG00000115241.11|PPM1G	3487	3553	3197	3129
ENSG00000115255.11|REEP6	41	64	21	40
ENSG00000115257.15|PCSK4	63	88	79	92
ENSG00000115266.11|APC2	616.1	772.34	491.86	613.07
ENSG00000115267.7|IFIH1	181	228	210	186
ENSG00000115268.9|RPS15	4689.98	4979.84	3884.88	4627.45
ENSG00000115271.11|GCA	136	154	151	158
ENSG00000115274.15|INO80B	360.27	521.49	445.18	471.22
ENSG00000115275.12|MOGS	1347	1344	1233	1123
ENSG00000115282.19|TTC31	858	891	835	880
ENSG00000115286.20|NDUFS7	757.8	879.79	719.99	832.01
ENSG00000115289.14|PCGF1	238	223	211	210
ENSG00000115290.9|GRB14	178	198	137	103
ENSG00000115295.20|CLIP4	185	268	227	222
ENSG00000115297.11|TLX2	73	94	60	66
ENSG00000115306.16|SPTBN1	6152.05	7083.82	5905	6162.93
ENSG00000115307.17|AUP1	2506	2480.92	2358	2298.88
ENSG00000115310.18|RTN4	3598	4066	4137	4176
ENSG00000115317.11|HTRA2	739.14	780.02	747.22	811.92
ENSG00000115318.12|LOXL3	263.86	285.06	330.78	330.2
ENSG00000115325.13|DOK1	55	48	49	41
ENSG00000115350.11|POLE4	256	297	248	313
ENSG00000115355.16|CCDC88A	3395	4509.92	4013	3575
ENSG00000115364.14|MRPL19	907.49	1103.48	1165.23	989.65
ENSG00000115365.11|LANCL1	1944	2348	2277	2075
ENSG00000115368.10|WDR75	942	1215	1181	1101
ENSG00000115380.20|EFEMP1	10	15	9	4
ENSG00000115392.11|FANCL	536.17	584.4	582.15	494
ENSG00000115414.19|FN1	4781	6189	5654	6045
ENSG00000115415.18|STAT1	1498	1937	1609	1538.55
ENSG00000115419.12|GLS	2020	2654.82	2742.96	2608.33
ENSG00000115421.13|PAPOLG	343	373	404	337
ENSG00000115423.18|DNAH6	32	27	38	39
ENSG00000115425.14|PECR	155.1	217.3	191.07	161
ENSG00000115446.11|UNC50	462	568	625	599
ENSG00000115457.10|IGFBP2	7329	7610	6692	7026
ENSG00000115459.18|ELMOD3	341.03	406.34	358.15	364.17
ENSG00000115461.5|IGFBP5	19740	24339	19328	21812
ENSG00000115464.14|USP34	2124.03	2544.59	2484.77	2200.22
ENSG00000115468.12|EFHD1	404	461	420	395
ENSG00000115484.15|CCT4	2650.87	3107.95	2815	2710.86
ENSG00000115486.12|GGCX	546.13	734.94	646.13	618.38
ENSG00000115504.14|EHBP1	1040.8	1125.68	1177	988
ENSG00000115507.10|OTX1	88	92	85	76
ENSG00000115514.12|TXNDC9	555	612	670	544
ENSG00000115520.8|COQ10B	335	440	385	375
ENSG00000115524.16|SF3B1	7556	8737	8606	7715
ENSG00000115525.18|ST3GAL5	1389	1654	1196	1065
ENSG00000115526.11|CHST10	695	649	613	580
ENSG00000115539.14|PDCL3	501.73	542.07	525.43	458.63
ENSG00000115540.15|MOB4	800.64	842.65	887.93	714.8
ENSG00000115541.11|HSPE1	1828.7	1889.78	1856.33	1671.95
ENSG00000115548.17|KDM3A	1667	2046	1773	1604
ENSG00000115556.14|PLCD4	672.38	685.07	527.29	552.27
ENSG00000115561.16|CHMP3	1833.5	2076.68	1987.97	1880
ENSG00000115568.15|ZNF142	888	980	692	784
ENSG00000115594.12|IL1R1	163	212	248	256
ENSG00000115604.10|IL18R1	10	21	11	11
ENSG00000115616.2|SLC9A2	34	46	36	29
ENSG00000115649.16|CNPPD1	979.82	1097	1032	1052
ENSG00000115652.14|UXS1	628	735	640	644
ENSG00000115657.14|ABCB6	1749.57	1749.98	1797.83	1762.62
ENSG00000115661.14|STK16	633.43	696.37	647.32	678.98
ENSG00000115677.17|HDLBP	9097	9802	8091	7832
ENSG00000115685.15|PPP1R7	839	886	917	954
ENSG00000115687.13|PASK	600	693	540	518
ENSG00000115694.15|STK25	1989.63	2081.08	1725.93	1817.65
ENSG00000115738.10|ID2	102	103	111	108
ENSG00000115750.17|TAF1B	341	373	395	343
ENSG00000115756.13|HPCAL1	137	165	147	160
ENSG00000115758.13|ODC1	4538	4892	4619	4459
ENSG00000115760.14|BIRC6	1242	1642	1494	1435
ENSG00000115761.16|NOL10	682	767	734	683
ENSG00000115762.16|PLEKHB2	1787	2129	1985	1903
ENSG00000115806.13|GORASP2	2020	1996	1843	1929
ENSG00000115808.12|STRN	880	1146	1109	1013
ENSG00000115816.15|CEBPZ	1342.61	1552.4	1417.75	1425.75
ENSG00000115825.10|PRKD3	2012.69	2451.34	2240.3	2159.08
ENSG00000115827.14|DCAF17	553	632	604	512
ENSG00000115839.17|RAB3GAP1	889	1057	1040	917
ENSG00000115840.14|SLC25A12	612	609	653	629
ENSG00000115841.20|RMDN2	43	44	53	51
ENSG00000115844.11|DLX2	10	10	9	13
ENSG00000115866.11|DARS	3114	3719	3591.99	3467
ENSG00000115875.19|SRSF7	3226	3370	3004	2792
ENSG00000115884.11|SDC1	592	669	531	588
ENSG00000115902.11|SLC1A4	718	819	797	840
ENSG00000115904.12|SOS1	822	1161	1034	969
ENSG00000115935.17|WIPF1	1579	1888	1855	1803
ENSG00000115942.9|ORC2	434	520.9	478.92	445
ENSG00000115944.15|COX7A2L	919	961	927	875
ENSG00000115946.8|PNO1	458.68	451.79	460.46	409.6
ENSG00000115947.13|ORC4	503.13	582.89	567.99	544.64
ENSG00000115956.10|PLEK	48	77	41	53
ENSG00000115963.13|RND3	1666	1848	1571	1533
ENSG00000115966.17|ATF2	707	886.91	872	822.96
ENSG00000115970.18|THADA	800	869.72	809	767
ENSG00000115977.19|AAK1	634	867	779	764
