Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000006534.16|ALDH3B1	232	247	202	173
ENSG00000006576.16|PHTF2	928	1155	981	1015
ENSG00000006607.14|FARP2	948.37	1131.92	987.07	1019.35
ENSG00000006625.18|GGCT	794	946	895	765
ENSG00000006634.8|DBF4	1083.46	1330.89	1206.73	1172.11
ENSG00000006638.11|TBXA2R	25	42	26	40
ENSG00000006652.14|IFRD1	1550	1925	1888	1770
ENSG00000006695.11|COX10	215.86	235.59	223.23	201.22
ENSG00000006704.10|GTF2IRD1	649	740	617	631
ENSG00000006712.15|PAF1	1922	2105	1843	1810
ENSG00000006715.16|VPS41	1708	1966	1900	1818
ENSG00000006744.19|ELAC2	1417	1513	1343	1284
ENSG00000006747.15|SCIN	15.36	34	25	23
ENSG00000006756.16|ARSD	68	52.56	51	50
ENSG00000006831.10|ADIPOR2	1258	1458	1439	1331
ENSG00000006837.12|CDKL3	23.42	30.26	25.45	19.65
ENSG00000007047.15|MARK4	739	824	684	645
ENSG00000007062.11|PROM1	326	467	446	391
ENSG00000007080.11|CCDC124	755	788	685	713
ENSG00000007168.13|PAFAH1B1	3963	4598	4473.05	4079
ENSG00000007171.17|NOS2	302	327	229	241
ENSG00000007174.18|DNAH9	97	86	101	97
ENSG00000007202.15|KIAA0100	4574.04	5281.59	4083.96	4240.91
ENSG00000007237.18|GAS7	8116	9659	8096	8226
ENSG00000007255.10|TRAPPC6A	90	84	88	79
ENSG00000007314.12|SCN4A	12	12	1	1
ENSG00000007341.19|ST7L	384.31	373.29	341.17	318.67
ENSG00000007372.22|PAX6	770.38	908.08	857.71	771.3
ENSG00000007376.8|RPUSD1	149	139	138	198
ENSG00000007384.15|RHBDF1	541	550	529	543
ENSG00000007392.16|LUC7L	1043	1247	1220	1075
ENSG00000007402.11|CACNA2D2	153	199	115	119
ENSG00000007516.13|BAIAP3	267.16	354.42	294.15	358.13
ENSG00000007520.4|TSR3	223.84	334.58	282.85	262.87
ENSG00000007541.16|PIGQ	304.7	354.88	323.59	383
ENSG00000007545.15|CRAMP1	1040.03	1281.62	1059.04	1051.99
ENSG00000007866.21|TEAD3	98	113	97	89
ENSG00000007923.16|DNAJC11	541.95	633	518.92	469.84
ENSG00000007944.15|MYLIP	131	148	86	94
ENSG00000007968.7|E2F2	981	1028	790	787
ENSG00000008018.9|PSMB1	1350	1431	1452	1350
ENSG00000008056.14|SYN1	39	44.52	36	36
ENSG00000008083.14|JARID2	808	1080	953	956
ENSG00000008086.11|CDKL5	373	537	484	466
ENSG00000008118.10|CAMK1G	129	156	136	117
ENSG00000008128.23|CDK11A	280.71	292.22	258.12	255.88
ENSG00000008130.15|NADK	687	981	745	956
ENSG00000008256.16|CYTH3	585	705	706	727
ENSG00000008277.14|ADAM22	1871	2398	2229	2070
ENSG00000008282.8|SYPL1	1220	1527	1628	1337
ENSG00000008283.16|CYB561	166	158	125	168
ENSG00000008294.21|SPAG9	4072	5192	4771	4156
ENSG00000008300.17|CELSR3	966	1109	854	923
ENSG00000008311.15|AASS	2099	2392.99	2384	2084
ENSG00000008324.11|SS18L2	117	102	136	98
ENSG00000008382.15|MPND	318	294.9	285.19	259
ENSG00000008405.12|CRY1	422	473	460	435
ENSG00000008441.16|NFIX	3136	3730	2892	3016
ENSG00000008513.16|ST3GAL1	596	755	669	674
ENSG00000008710.19|PKD1	845.29	1145.35	779.8	1042.67
ENSG00000008735.14|MAPK8IP2	285	333	279	283
ENSG00000008838.20|MED24	2325	2465	2203	2228
ENSG00000008853.16|RHOBTB2	1072.24	1042.33	949.5	880.9
ENSG00000008869.12|HEATR5B	1123	1417	1560	1429
ENSG00000008952.17|SEC62	1835	2093	2057	1858
ENSG00000008988.9|RPS20	5353	5729	5048.98	4828.99
